lag,direction,F_statistic,p_value,ETF
1,Returns → Flows,0.04667702074588882,0.8299957059912998,ARKG
2,Returns → Flows,3.132866398462686,0.0547335359202818,ARKG
3,Returns → Flows,1.974973536913622,0.1351311563823173,ARKG
4,Returns → Flows,1.2345570478439185,0.3152863267838564,ARKG
5,Returns → Flows,0.916151272676747,0.4839508143594833,ARKG
1,Flows → Returns,2.0797062341001573,0.15668487400813408,ARKG
2,Flows → Returns,0.6916125113664874,0.5068043776303341,ARKG
3,Flows → Returns,1.0554073631705632,0.3800525440746497,ARKG
4,Flows → Returns,0.3442802444143335,0.846051715605707,ARKG
5,Flows → Returns,0.4538148822573075,0.807142559735895,ARKG
1,Returns → Flows,0.2245347030706561,0.6380602963564908,ARKK
2,Returns → Flows,0.20420050171076332,0.8161650051979565,ARKK
3,Returns → Flows,0.10375825669477566,0.9573381541377978,ARKK
4,Returns → Flows,0.08706503480595423,0.9858607865239172,ARKK
5,Returns → Flows,0.06831016277263514,0.9964489453556937,ARKK
1,Flows → Returns,1.8153882971305941,0.1850874493126856,ARKK
2,Flows → Returns,0.9621834656972698,0.3909411834547686,ARKK
3,Flows → Returns,0.8597592335980268,0.4707769897206694,ARKK
4,Flows → Returns,0.4219355446624329,0.7916368133528842,ARKK
5,Flows → Returns,0.35752750678781703,0.8732913634887143,ARKK
1,Returns → Flows,1.8159011652118973,0.18860556874205855,ARTY
2,Returns → Flows,1.6041327970302124,0.22107788831020553,ARTY
3,Returns → Flows,1.7039400930540778,0.19536760983022264,ARTY
4,Returns → Flows,1.2749320795192745,0.31452270981307706,ARTY
5,Returns → Flows,2.9084395210494507,0.047008696684844094,ARTY
1,Flows → Returns,6.759092933837312,0.01472198924348333,ARTY
2,Flows → Returns,2.96641923063582,0.06982371284335383,ARTY
3,Flows → Returns,1.565537648011807,0.22604086313181312,ARTY
4,Flows → Returns,0.8001079949220617,0.5399921394212216,ARTY
5,Flows → Returns,0.7800224294991074,0.5784783833333669,ARTY
1,Returns → Flows,0.1551933052606879,0.6960110052552785,BOTZ
2,Returns → Flows,0.08855939642128284,0.9154722646887347,BOTZ
3,Returns → Flows,1.6418334930547667,0.20135981848059248,BOTZ
4,Returns → Flows,1.4679904118437646,0.24054017394868032,BOTZ
5,Returns → Flows,1.626978201970047,0.19273673295750418,BOTZ
1,Flows → Returns,0.2415775246078527,0.626137389568219,BOTZ
2,Flows → Returns,0.49413825465523764,0.6146751192917826,BOTZ
3,Flows → Returns,0.2905786583708937,0.8318289159904013,BOTZ
4,Flows → Returns,0.28288095728172513,0.886380988426547,BOTZ
5,Flows → Returns,1.073088421207118,0.4009223535724675,BOTZ
1,Returns → Flows,0.8013008545399912,0.37546803858575173,CGW
2,Returns → Flows,0.4514795397289262,0.6397391197359399,CGW
3,Returns → Flows,0.513253496440396,0.6755392966117619,CGW
4,Returns → Flows,0.5048186941412064,0.7323994106369782,CGW
5,Returns → Flows,0.4234149212906477,0.8290045513602964,CGW
1,Flows → Returns,0.014554857655213863,0.9045104737411764,CGW
2,Flows → Returns,0.653999179009177,0.5251758583070651,CGW
3,Flows → Returns,1.7141153798870996,0.17994759993001525,CGW
4,Flows → Returns,1.0870885005729918,0.37749190358937745,CGW
5,Flows → Returns,0.8867053510906859,0.5010424788504996,CGW
1,Returns → Flows,0.11448894600346736,0.7366639531528867,DSI
2,Returns → Flows,0.5567033023147563,0.5772659731792296,DSI
3,Returns → Flows,0.3452586403176856,0.7927355745887945,DSI
4,Returns → Flows,0.6263257544145948,0.6467923319517851,DSI
5,Returns → Flows,0.7221993824448357,0.611538976569737,DSI
1,Flows → Returns,2.1250856233864313,0.1518487075438131,DSI
2,Flows → Returns,1.0472983929358097,0.35986715453529583,DSI
3,Flows → Returns,0.5847824474443146,0.6285802145415478,DSI
4,Flows → Returns,0.457970037029607,0.7659718272317171,DSI
5,Flows → Returns,0.38003502777893416,0.8587918024389194,DSI
1,Returns → Flows,1.9298213573514849,0.17161447713536004,FPX
2,Returns → Flows,1.877372883645749,0.16560598204708385,FPX
3,Returns → Flows,1.1567500484928366,0.3385190681631474,FPX
4,Returns → Flows,0.7482767361441724,0.5656489118920502,FPX
5,Returns → Flows,0.6395261681902485,0.6711266918224565,FPX
1,Flows → Returns,0.07267305614308629,0.788716193189888,FPX
2,Flows → Returns,0.11278096262681013,0.8936159374766901,FPX
3,Flows → Returns,0.13314351628201576,0.9397388660108608,FPX
4,Flows → Returns,0.17234820420603095,0.9511367207306761,FPX
5,Flows → Returns,0.2939774766475725,0.9128254098780223,FPX
1,Returns → Flows,0.5402681532583055,0.466135159821499,GII
2,Returns → Flows,0.2329082294210742,0.793242642838644,GII
3,Returns → Flows,0.8843226705890648,0.4576637873202849,GII
4,Returns → Flows,0.6097266535588448,0.6582673319641844,GII
5,Returns → Flows,0.5240232220039571,0.7563094635377274,GII
