model,r2,beta_lag1,beta_lag1_p,f_stat,n_obs,n_etfs,gate_pass,extra_json,experiment_id,factors,freq,flow_unit,benchmark,r2_delta_bp
univariate_r2_by_lag,0.023532649787504578,130.6683051863593,0.1425228184694498,,44,44,False,"{""best_lag"": 1, ""best_r2"": 0.023532649787504578}",baseline,(none),ME,raw,SPY,0.0
multilag_ols,0.08071824696152463,146.8366546196557,0.11397615453255859,0.11510562882292882,4360,44,False,{},baseline,(none),ME,raw,SPY,0.0
multilag_ols_month_fe,0.1891012439619406,132.66147630411453,0.13107765224927415,0.2783360441998604,4360,44,False,{},baseline,(none),ME,raw,SPY,0.0
cross_correlation,,0.1533907090768255,0.14252281846944925,,0,44,False,"{""best_lag"": 1, ""best_corr"": 0.1533907090768255}",baseline,(none),ME,raw,SPY,
panel_pooled,0.03509651836689587,259.246259157594,6.883328792128829e-05,52.33028688035472,4360,44,True,"{""r2_overall"": 0.03478643442649554, ""r2_between"": 0.00992452854003889}",baseline,(none),ME,raw,SPY,0.0
panel_entity_fe,0.03509726912125943,257.8853722491048,5.225197404645776e-05,52.293534147956656,4360,44,True,"{""r2_overall"": 0.03478570383718371, ""r2_between"": 0.009810497170210764}",baseline,(none),ME,raw,SPY,0.0
panel_entity_time_fe,0.034556378572594304,292.36803097614387,0.0019114630710339586,34.33308926856886,4360,44,True,"{""r2_overall"": 0.034262303929687765, ""r2_between"": 0.009346687093036987}",baseline,(none),ME,raw,SPY,0.0
panel_entity_fe_excess,0.042321560954935666,58.64322599869944,0.12738811179753662,31.74446318635172,4360,44,False,"{""r2_overall"": 0.041988396491768, ""r2_between"": 0.015649844379868494}",baseline,(none),ME,raw,SPY,0.0
panel_entity_fe_controls,0.03605272847198182,260.0044755188779,3.243091096272188e-05,40.31843072825866,4360,44,True,"{""r2_overall"": 0.03387593311163939, ""r2_between"": 0.014586511866677587}",baseline,(none),ME,raw,SPY,0.0
asymmetry,0.3320945949494755,106.15923275176094,,,4009,44,False,"{""beta_pos_median"": 106.15923275176094, ""beta_neg_median"": 64.3073257729997, ""asymmetry_ratio_median"": 1.384423225431752, ""wald_p_median"": 0.014970755697568406}",baseline,(none),ME,raw,SPY,0.0
relative_performance,0.3553934419809688,,,,4009,44,False,"{""r2_absolute_median"": 0.18226400491419226, ""r2_excess_median"": 0.25450406571393897, ""r2_combined_median"": 0.3553934419809688}",baseline,(none),ME,raw,SPY,0.0
granger,,,0.28525904670772706,1.1595389660768518,0,41,False,"{""pct_significant_lag1"": 0.17073170731707318}",baseline,(none),ME,raw,SPY,
seasonality,,,,,4492,44,False,"{""jan_mean"": 38.08867015706806, ""best_month"": 1, ""worst_month"": 8}",baseline,(none),ME,raw,SPY,
drawdown,0.019611954152245814,-0.8469637160412001,0.2587179778887826,,729,42,False,"{""1m"": {""beta_depth"": -0.8469637160412001, ""beta_depth_p"": 0.2587179778887826, ""r2"": 0.019611954152245814}, ""2m"": {""beta_depth"": -1.292655384868348, ""beta_depth_p"": 0.12059698729061025, ""r2"": 0.017557683177877093}, ""3m"": {""beta_depth"": -2.0577090248200682, ""beta_depth_p"": 0.1772912080497078, ""r2"": 0.010327127448528817}, ""6m"": {""beta_depth"": 1.142923952206538, ""beta_depth_p"": 0.7202666986727942, ""r2"": 0.00686137491608807}}",baseline,(none),ME,raw,SPY,0.0
univariate_r2_by_lag,0.0247310925849763,128.50201944627847,0.22543069631416657,,44,44,False,"{""best_lag"": 2, ""best_r2"": 0.02587850820425136}",N-A,A,ME,raw,SPY,11.984427974717216
multilag_ols,0.07876441789300209,146.53815092492573,0.22064087936094776,0.09994692303402211,3494,44,False,{},N-A,A,ME,raw,SPY,-19.53829068522539
