ETF,Beta_Pos,Beta_Neg,Asymmetry_Ratio,Wald_P,R²,N
AIQ,-398.41471261068904,664.4619908898468,-0.5996049707480371,0.6564080388775033,0.42218858333347586,60
ARKB,279.9618889848183,-804.0201860324158,0.34820256238383923,0.17204312050750456,0.7912488170211621,21
ARKF,-207.35994667033506,331.50098648353037,-0.6255183396886728,0.6878772338448805,0.3320404765793379,51
ARKG,74.16599315371595,267.23540149822554,0.2775305694451879,0.15112216266802106,0.40408360806290633,103
ARKK,291.8578012230275,698.1388874481075,0.4180512022326234,0.004298096109205258,0.432104675123678,103
ARKQ,52.24064239592045,-60.32187018277148,0.8660315444072704,0.9337318133707441,0.7007032505022448,26
ARKW,108.33864947648932,75.05377104511668,1.4434804270043178,0.23509944958445259,0.684877900763138,26
ARKX,-6.449855518023178,70.51020354646838,-0.09147407316407087,0.3679649069927584,0.6515221033577275,35
ARTY,59.131066417838156,-180.4055327338757,0.3277674776475123,0.2633416536142039,0.3620743410143462,59
BKGI,-354.362536870807,264.46413885085025,-1.339926609371627,0.6801799859587783,0.6569354762021893,26
BLOK,16.979703643129188,-3.5544892586608996,4.776974245106042,0.8443595100175076,0.5300933310336033,64
BOTZ,81.9338901331088,214.07353153464555,0.38273713497293643,0.047561510785028675,0.4176738515117019,80
BUG,-38.44438060773605,-490.2537083394407,-0.07841731730689536,0.2410389095328797,0.616469563768842,44
CGW,-63.058595361617904,-213.70761604045614,-0.29506948105059827,0.00105958381738055,0.2217296212779536,110
DSI,-97.35441967990964,-257.28226862458615,-0.3783953717462143,0.014834138171667134,0.17537574264607847,110
DTCR,249.0494897707166,112.63453649693868,2.211128997520983,0.0006936721340562501,0.6075620077962155,39
EUAD,203.59566273495602,-1356.9350620285302,0.15004082983204345,0.3422303457684018,0.5838271316475309,15
FPX,-81.15389021180158,-76.72496500572241,-1.0577246950291714,0.015302112201830972,0.2694599439300849,110
GII,15.331214081008994,-429.8653372147193,0.03566515546553826,1.1616367290325937e-05,0.3489666337813998,110
GNR,80.3859089057865,7.319897032432668,10.981836021683947,0.4534649066805716,0.17511781524092263,110
GRID,71.109667456387,-7.730712844106672,9.198332532891296,0.7698983845639259,0.11681431100570805,110
GRNY,2052.388462991518,2280.1779714193617,0.9001001188139495,0.022115795865117454,0.8034837376770221,14
GUNR,448.26000141503147,-28.083681473503123,15.961582595143858,0.03199848427814376,0.29436835529346694,110
IFRA,136.38925940614615,84.94202555002512,1.6056746766160184,0.37098742639708504,0.4749488858588763,61
IGE,9.514224676825712,38.25841487053656,0.2486831905875111,0.5282786660825254,0.2645358740051761,110
IGF,718.3259946602826,-545.6247324335753,1.3165202234444753,0.48099101314267,0.33556784324951683,110
IZRL,-51.16222411525889,-131.58489207801497,-0.38881533667957463,0.013606563021191344,0.4833649950091561,65
JUST,-51.84430230350758,-444.5509485379325,-0.1166217336258452,0.019905884511784593,0.5213234384838176,59
KOMP,-138.2182153953025,-76.55490941293236,-1.8054781392237322,0.008550602429925624,0.7272291066365406,55
LIT,156.16733046092443,75.92039074425577,2.05698797029361,2.7067456365219015e-05,0.34578131034706383,110
MOO,-24.579729503915445,-65.88980137277072,-0.37304300501462945,0.17654853546146013,0.31552542903278025,110
MSOS,-37.51240656364944,94.90698235463077,-0.3952544442249787,0.4422145678620202,0.33260793695899693,40
NFRA,15.221082690275969,-374.73012515554495,0.040618785810075775,0.026212754858459985,0.2716878138959532,110
PAVE,514.7982441854871,735.669534907592,0.6997683331417975,0.0002798903725245255,0.3676288815957661,74
PBW,-19.65335980583415,-5.9717537230278595,-3.2910533014863352,0.2841976843639513,0.35778914496171565,110
PHO,115.12193759079265,-152.77455329638292,0.7535413136993822,0.6003752030412008,0.24406895177073662,110
PRNT,136.31016358552927,-233.80835695123733,0.5829995358718417,0.6512115664928021,0.5350900267864451,26
PWRD,41.530889300806244,314.6031736694227,0.1320103952430114,0.0932739342030627,0.6181139702281403,26
ROBO,-156.91458550685653,132.4554334793813,-1.1846594842127232,0.742012007382856,0.3344598103831722,110
ROBT,-213.59456772090155,-109.7471542221275,-1.9462424263738773,0.00013003648162289915,0.6132571626738443,63
SAMT,-36.63099475437787,21.458965610853017,-1.7070251855873007,0.9522059783306246,0.3406836650482906,27
SIXG,-153.7040337671675,-96.7334439119913,-1.5889440874968577,0.09417505638239992,0.5718263868552771,50
SUSA,259.57939042699667,-198.99868885572792,1.3044276418081788,0.7929773436775546,0.2634250030589036,110
XT,-278.62991034569677,68.7559377082175,-4.052448699458226,0.15715391158802516,0.22480997744237374,98
