model,r2,beta_lag1,beta_lag1_p,f_stat,n_obs,n_etfs,gate_pass,extra_json,experiment_id,factors,freq,flow_unit,benchmark,r2_delta_bp
univariate_r2_by_lag,0.009797713998515867,3.397543021942967,0.3874072501035736,,44,44,False,"{""best_lag"": 2, ""best_r2"": 0.026273157445407536}",N-ABC,A+B+C,ME,raw,SPY,-137.3493578898871
multilag_ols,0.06634659161498085,-8.996099292400075,0.3668799323704329,0.1678100280328114,3494,44,False,{},N-ABC,A+B+C,ME,raw,SPY,-143.71655346543776
multilag_ols_month_fe,0.19852334063712485,-40.36416873585112,0.36409891409212247,0.27941874813123524,3494,44,False,{},N-ABC,A+B+C,ME,raw,SPY,94.22096675184233
cross_correlation,,0.002830257455353406,0.38740725010357313,,0,44,False,"{""best_lag"": 20, ""best_corr"": 0.045361635035268064}",N-ABC,A+B+C,ME,raw,SPY,
panel_pooled,0.010899671954145651,153.12826756279918,0.13296587723976017,13.326755339588226,3494,44,False,"{""r2_overall"": 0.011325917712241451, ""r2_between"": 0.010108354265308428}",N-ABC,A+B+C,ME,raw,SPY,-241.96846412750216
panel_entity_fe,0.010907289681034271,148.0081875904583,0.14470027804774,12.670678605514043,3494,44,False,"{""r2_overall"": 0.01131842506515146, ""r2_between"": 0.009842929418396706}",N-ABC,A+B+C,ME,raw,SPY,-241.89979440225162
panel_entity_time_fe,-0.0002839589665963871,298.30502540847226,0.01619975301124099,26.237011458673287,3494,44,True,"{""r2_overall"": 0.000798985424997456, ""r2_between"": 0.00743470056817086}",N-ABC,A+B+C,ME,raw,SPY,-348.40337539190693
panel_entity_fe_excess,0.010907289681034271,148.0081875904583,0.14470027804774,12.670678605514043,3494,44,False,"{""r2_overall"": 0.01131842506515146, ""r2_between"": 0.009842929418396706}",N-ABC,A+B+C,ME,raw,SPY,-314.142712739014
panel_entity_fe_controls,0.011586315835392935,153.1159959844233,0.1239342508809469,10.09861685659212,3494,44,False,"{""r2_overall"": 0.010354190662108076, ""r2_between"": 0.00909452102504682}",N-ABC,A+B+C,ME,raw,SPY,-244.66412636588885
asymmetry,0.33665600403122486,19.34903588113012,,,3170,44,False,"{""beta_pos_median"": 19.34903588113012, ""beta_neg_median"": -10.192380361511205, ""asymmetry_ratio_median"": 0.32436956321411864, ""wald_p_median"": 0.21934950805065423}",N-ABC,A+B+C,ME,raw,SPY,45.614090817493455
relative_performance,0.34774892958619724,,,,3170,44,False,"{""r2_absolute_median"": 0.17752345949224568, ""r2_excess_median"": 0.2012387002509669, ""r2_combined_median"": 0.34774892958619724}",N-ABC,A+B+C,ME,raw,SPY,-76.44512394771542
granger,,,0.447524639545716,0.5871493822711151,0,41,False,"{""pct_significant_lag1"": 0.0975609756097561}",N-ABC,A+B+C,ME,raw,SPY,
seasonality,,,,,3626,44,False,"{""jan_mean"": 4.51515450817455e-15, ""best_month"": 1, ""worst_month"": 2}",N-ABC,A+B+C,ME,raw,SPY,
drawdown,0.007294768019173614,-0.6682459676835456,0.4258352216526179,,524,41,False,"{""1m"": {""beta_depth"": -0.6682459676835456, ""beta_depth_p"": 0.4258352216526179, ""r2"": 0.007294768019173614}, ""2m"": {""beta_depth"": -1.8729040969995383, ""beta_depth_p"": 0.044666337450108354, ""r2"": 0.04224112658026302}, ""3m"": {""beta_depth"": -2.7073567617395127, ""beta_depth_p"": 0.013596838508247822, ""r2"": 0.0761907193175333}, ""6m"": {""beta_depth"": -0.3815295145604205, ""beta_depth_p"": 0.8784541711660346, ""r2"": 0.03575599375701377}}",N-ABC,A+B+C,ME,raw,SPY,-123.171861330722
