lag,r_squared,coefficient,p_value,f_statistic,f_pvalue,ETF
1,,inf,,,,AIQ
2,,inf,,,,AIQ
3,,-inf,,,,AIQ
4,,-inf,,,,AIQ
5,,inf,,,,AIQ
6,,inf,,,,AIQ
7,,inf,,,,AIQ
8,,-inf,,,,AIQ
9,,inf,,,,AIQ
10,,-inf,,,,AIQ
11,,-inf,,,,AIQ
1,,inf,,,,ARKF
2,,inf,,,,ARKF
3,,-inf,,,,ARKF
4,,-inf,,,,ARKF
5,,inf,,,,ARKF
6,,inf,,,,ARKF
7,,inf,,,,ARKF
8,,inf,,,,ARKF
9,,inf,,,,ARKF
10,,-inf,,,,ARKF
1,,,,,,ARKG
2,,,,,,ARKG
3,,,,,,ARKG
4,,-inf,,,,ARKG
5,,,,,,ARKG
6,,,,,,ARKG
7,,,,,,ARKG
8,,,,,,ARKG
9,,,,,,ARKG
10,,,,,,ARKG
11,,,,,,ARKG
12,,-inf,,,,ARKG
13,,inf,,,,ARKG
14,,inf,,,,ARKG
15,,-inf,,,,ARKG
16,,inf,,,,ARKG
17,,-inf,,,,ARKG
18,,-inf,,,,ARKG
19,,-inf,,,,ARKG
1,,,,,,ARKK
2,,,,,,ARKK
3,,,,,,ARKK
4,,-inf,,,,ARKK
5,,,,,,ARKK
6,,,,,,ARKK
7,,,,,,ARKK
8,,,,,,ARKK
9,,,,,,ARKK
10,,,,,,ARKK
11,,,,,,ARKK
12,,-inf,,,,ARKK
13,,inf,,,,ARKK
14,,inf,,,,ARKK
15,,-inf,,,,ARKK
16,,inf,,,,ARKK
17,,inf,,,,ARKK
18,,-inf,,,,ARKK
19,,inf,,,,ARKK
1,,inf,,,,ARKQ
1,,inf,,,,ARKW
1,,-inf,,,,ARKX
2,,inf,,,,ARKX
3,,inf,,,,ARKX
4,,-inf,,,,ARKX
5,,inf,,,,ARKX
1,,inf,,,,ARTY
2,,inf,,,,ARTY
3,,inf,,,,ARTY
4,,-inf,,,,ARTY
5,,inf,,,,ARTY
6,,inf,,,,ARTY
7,,inf,,,,ARTY
8,,-inf,,,,ARTY
9,,-inf,,,,ARTY
10,,-inf,,,,ARTY
