lag,correlation,p_value,ETF
-20,-0.058821806846480036,0.678714524020486,AIQ
-19,-0.014002604438054848,0.9207297556373766,AIQ
-18,-0.055042550288967394,0.6926111070999239,AIQ
-17,-0.03758828296095657,0.7852717352445678,AIQ
-16,0.005970425176253867,0.9651664656945961,AIQ
-15,0.2800203291236759,0.03488621540333563,AIQ
-14,0.05136356851049443,0.7017858630294105,AIQ
-13,0.022209921582159356,0.8673951815956359,AIQ
-12,-0.004552605010986574,0.9724603663866815,AIQ
-11,0.14278126032123512,0.2723255017472869,AIQ
-10,-0.02818310446215623,0.827864709260209,AIQ
-9,0.07715544464004534,0.5478159801569975,AIQ
-8,-0.117517316038067,0.3550600256623521,AIQ
-7,-0.028202628042579142,0.8235282430764032,AIQ
-6,-0.07486415295575663,0.5502283872457752,AIQ
-5,-0.07243063842730968,0.5602440762717681,AIQ
-4,-0.038481275230726655,0.7553772182699954,AIQ
-3,-0.0016923516790241996,0.9889888123715185,AIQ
-2,-0.15998517742889304,0.18584521370959742,AIQ
-1,-0.035539457362865845,0.7685757991180466,AIQ
0,0.15532943922487838,0.192618948825098,AIQ
1,0.09468636575086346,0.43219164427568835,AIQ
2,0.011741319933495406,0.9231477449716877,AIQ
3,0.137229511434907,0.2608355715197518,AIQ
4,0.12381060962726484,0.3144556259883634,AIQ
5,-0.08863026904814125,0.4757078771737868,AIQ
6,-0.12744479574486178,0.30784721829378403,AIQ
7,-0.07992230515575688,0.5268216320299719,AIQ
8,-0.08126173205980788,0.5232536547019132,AIQ
9,-0.1871225498854899,0.14196757950623295,AIQ
10,-0.07625461810452464,0.5558150947789127,AIQ
11,0.06660420180999885,0.6100510169334863,AIQ
12,0.06728150294672344,0.6095075321699941,AIQ
13,0.11379628256019458,0.3907951202518275,AIQ
14,-0.0233310168672783,0.8619916923308589,AIQ
15,-0.11168979185736061,0.40815184733902576,AIQ
16,0.06677748025362522,0.6248469952865322,AIQ
17,-0.019176453437758995,0.8894797404218514,AIQ
18,-0.1358196144421101,0.3274515116100781,AIQ
19,0.23656716581609355,0.0881068886487593,AIQ
20,0.0627302323939406,0.6586387031154287,AIQ
-16,0.4009316273106249,0.2508657158013074,ARKB
-15,0.31823256746171624,0.3402162977610086,ARKB
-14,0.6248481657592351,0.02982795323456143,ARKB
-13,-0.11419559477701505,0.7102875230136788,ARKB
-12,-0.08157688159398727,0.7815986729681899,ARKB
-11,0.0526244128889653,0.8522413020354868,ARKB
