ETF,R²,Adj_R²,F_p_value,N,Return_lag1,Return_lag1_pval,Return_lag2,Return_lag2_pval,Return_lag3,Return_lag3_pval
AIQ,0.1747143609978049,0.09484800883630218,0.056016137920216515,69,505.7220707911769,0.26545524149963606,67.33423764028669,0.8817462072344625,884.1684791687638,0.05847400700274774
ARKB,0.40693998794324904,0.18454248342196744,0.1563571918746417,23,-583.2913878147026,0.13029427223714168,908.8689549329929,0.028735952974528488,140.28933253889352,0.6691769291934035
ARKF,0.09705511684931967,-0.005165058601700689,0.4681502826061258,60,240.5427829699742,0.4035656465544819,303.9442748154291,0.29369549280780577,121.20408611380356,0.683319766596205
ARKG,0.1974156275446053,0.151553663404297,0.0006396508549751148,112,1184.6143140355523,0.00048816745691496037,782.3338464808817,0.019406199789320722,203.27823227589198,0.5400747327737891
ARKK,0.19030870089537866,0.14404062666082884,0.0009509117917417346,112,1346.3736430151243,0.007853518379638658,939.3720241728612,0.060749539748347424,372.29376697004045,0.454219765667647
ARKQ,0.40863286304757307,0.24735091660600206,0.05108882525589406,29,-11.935255713332614,0.8640240533579102,-124.52636257474396,0.08504983166932546,219.85394917715703,0.004006098121715037
ARKW,0.3616854426960827,0.18759965434046888,0.09757028339954259,29,202.56107559391418,0.08111757054312063,84.88278691156808,0.4538707617717419,-96.86865921804056,0.3667437901012194
ARKX,0.4188048167436246,0.31313296524246537,0.004294241260100079,40,-35.153305049738336,0.6055817519151201,-209.9277129968546,0.004253503185860393,159.64138777064403,0.027263979075904783
ARTY,0.15693043883527213,0.07400556396661029,0.09655112878402329,68,-109.8603878992675,0.3252545024914757,-146.93552183926363,0.19459447841549318,12.689977770240267,0.91104259780178
BKGI,0.24204062896132095,0.035324436859863084,0.3571418106031457,29,412.775891431232,0.03204422823903573,-41.98750019822108,0.7993178823545048,-121.55201270716627,0.4680744850872225
BLOK,0.04563362824789241,-0.04112695100229913,0.7866043204696738,73,-82.32836133015707,0.42704416659428146,-85.8294726635593,0.40613571472492316,1.661978377361308,0.9869228535562324
BOTZ,0.2247263906268422,0.16799905335563547,0.001576146749634616,89,168.48261690111443,0.3361388178650203,89.51746543990313,0.6029147013386678,293.68231369677534,0.09436870293473722
BUG,0.2835811202443722,0.18805860294362187,0.015785140823061216,52,-46.25506494910944,0.8121567205419282,639.2282553763324,0.0016053477399465062,362.5462666186799,0.08461514730304998
CGW,0.101832481438073,0.053716364372255465,0.05681834383855968,119,-99.1793336600287,0.3937599903009713,-241.0228085861563,0.03746869084392191,-147.67386630694637,0.2102456886563382
DSI,0.16080876060895266,0.11585208707014649,0.002793413328345015,119,-242.88356418418175,0.0988066641156615,-110.50545818063736,0.45678499860599475,5.468262578101161,0.9703983193301988
DTCR,0.1378149477395828,0.0016804658037273823,0.43189298041007335,45,100.46021096610045,0.5783620394063165,-117.95922040637697,0.5107076530654124,139.82196449299988,0.47209841986388246
EUAD,0.5355385028129287,0.18719237992262516,0.279695543982574,15,170.9143601960395,0.8466032547942206,218.93716105201332,0.7803093155186076,-334.4002853759954,0.707775538448602
FPX,0.2171580829024624,0.17522012305795143,9.82472299071806e-05,119,-131.6304850830362,0.10012662954037152,-148.9465776435954,0.06159718116774332,-119.14677744426524,0.1388428053846638
GII,0.1523486501849043,0.10693875644480988,0.004449569761193152,119,-217.9391668750506,0.08091815312940061,-343.29019067906444,0.007615237819543285,-159.25693951491436,0.20703086623859981
GNR,0.018086013604446394,-0.034516521381029674,0.9121567147403049,119,-7.54414613360774,0.9601934335808735,-29.4490382544365,0.8494347895606469,39.86371462421675,0.7972269966455973
GRID,0.01720791029097468,-0.03544166594343734,0.9216631889130152,119,270.49010670841915,0.3861179710680047,7.737534102776088,0.980131762332674,70.89646009738058,0.8221975642023234
