model,r2,beta_lag1,beta_lag1_p,f_stat,n_obs,n_etfs,gate_pass,extra_json,experiment_id,factors,freq,flow_unit,benchmark,r2_delta_bp
univariate_r2_by_lag,0.11451606315892149,-1.5158536641916716,0.19459661592017202,,44,44,False,"{""best_lag"": 14, ""best_r2"": 0.12189976848944006}",N-ABCD,A+B+C+D,ME,raw,SPY,909.8341337141691
multilag_ols,0.16278552634439264,-40.70418499942389,0.32452540192379675,0.08462949600953107,3494,44,False,{},N-ABCD,A+B+C+D,ME,raw,SPY,820.67279382868
multilag_ols_month_fe,0.2411811088704789,-50.18156257448106,0.35965690584128196,0.19015442959059928,3494,44,False,{},N-ABCD,A+B+C+D,ME,raw,SPY,520.7986490853827
cross_correlation,,0.002830257455353406,0.38740725010357313,,0,44,False,"{""best_lag"": 20, ""best_corr"": 0.045361635035268064}",N-ABCD,A+B+C+D,ME,raw,SPY,
panel_pooled,0.010956786351201009,154.71370339615635,0.1502156741273728,6.689393464826393,3494,44,False,"{""r2_overall"": 0.011379305102902415, ""r2_between"": 0.010428517423976436}",N-ABCD,A+B+C+D,ME,raw,SPY,-241.39732015694858
panel_entity_fe,0.010966435113299533,149.46151138738244,0.1635473001929617,6.364529959865472,3494,44,False,"{""r2_overall"": 0.011369873698347521, ""r2_between"": 0.01027560596607735}",N-ABCD,A+B+C+D,ME,raw,SPY,-241.308340079599
panel_entity_time_fe,-0.0002839589665963871,298.30502540847226,0.01619975301124099,26.237011458673287,3494,44,True,"{""r2_overall"": 0.000798985424997456, ""r2_between"": 0.00743470056817086}",N-ABCD,A+B+C+D,ME,raw,SPY,-348.40337539190693
panel_entity_fe_excess,0.017996584975455088,-92.37227734511826,0.2280202027202325,7.006792661826273,3494,44,False,"{""r2_overall"": 0.01875759764870888, ""r2_between"": 0.026601094369078204}",N-ABCD,A+B+C+D,ME,raw,SPY,-243.24975979480578
panel_entity_fe_controls,0.011664694915707985,154.91496423768547,0.14380173329220725,5.8050779771052925,3494,44,False,"{""r2_overall"": 0.01039299463152299, ""r2_between"": 0.009724678111100338}",N-ABCD,A+B+C+D,ME,raw,SPY,-243.88033556273837
asymmetry,0.4378414296897205,23.395839742818097,,,3170,44,False,"{""beta_pos_median"": 23.395839742818097, ""beta_neg_median"": -17.737740201721444, ""asymmetry_ratio_median"": 0.19126743371778454, ""wald_p_median"": 0.1907138401822816}",N-ABCD,A+B+C+D,ME,raw,SPY,1057.4683474024498
relative_performance,0.34774892958619724,,,,3170,44,False,"{""r2_absolute_median"": 0.17752345949224568, ""r2_excess_median"": 0.2012387002509669, ""r2_combined_median"": 0.34774892958619724}",N-ABCD,A+B+C+D,ME,raw,SPY,-76.44512394771542
granger,,,0.447524639545716,0.5871493822711151,0,41,False,"{""pct_significant_lag1"": 0.0975609756097561}",N-ABCD,A+B+C+D,ME,raw,SPY,
seasonality,,,,,3626,44,False,"{""jan_mean"": 4.51515450817455e-15, ""best_month"": 1, ""worst_month"": 2}",N-ABCD,A+B+C+D,ME,raw,SPY,
drawdown,0.007294768019173614,-0.6682459676835456,0.4258352216526179,,524,41,False,"{""1m"": {""beta_depth"": -0.6682459676835456, ""beta_depth_p"": 0.4258352216526179, ""r2"": 0.007294768019173614}, ""2m"": {""beta_depth"": -1.8729040969995383, ""beta_depth_p"": 0.044666337450108354, ""r2"": 0.04224112658026302}, ""3m"": {""beta_depth"": -2.7073567617395127, ""beta_depth_p"": 0.013596838508247822, ""r2"": 0.0761907193175333}, ""6m"": {""beta_depth"": -0.3815295145604205, ""beta_depth_p"": 0.8784541711660346, ""r2"": 0.03575599375701377}}",N-ABCD,A+B+C+D,ME,raw,SPY,-123.171861330722
