ETF,R²,Adj_R²,F_p_value,N,Return_lag1,Return_lag1_pval
AIQ,0.9992622617369693,0.9989460881956704,4.276197864022567e-21,21,-11.765521235949166,0.6553363966226536
ARKB,1.0,,,7,2.932324447402877,
ARKF,0.9994132476603615,0.9991198714905423,1.1414320524691583e-18,19,7.705627261305921,0.6038374555776131
ARKG,0.9900610068447157,0.9878523416990969,1.0155872151158179e-25,34,-36.864009784633055,0.2180871806395565
ARKK,0.9706321604495779,0.9641059738828174,2.202232834589674e-19,34,-94.75085638182497,0.08177892117064628
ARKQ,0.9999530362654926,0.9998121450619704,0.00014088458684883456,9,-10.84331478438375,0.6457109830298127
ARKW,0.9999472945125638,0.9997891780502552,0.00015810812884967465,9,-4.928870206534427,0.7958035898781028
ARKX,0.999723976850185,0.99944795370037,2.102116069090165e-10,13,-4.092485618068467,0.8874005305042953
ARTY,0.998676215856314,0.9981467021988397,1.0440618112075272e-20,22,0.31087950847032175,0.9906675201875417
BKGI,0.9999487362556072,0.9997949450224288,0.00015378334939866446,9,45.63294611540056,0.4099867783245891
BLOK,0.9986958887842174,0.9981742442979045,9.331946052073796e-21,22,-12.483358254088856,0.37196999886442794
BOTZ,0.9287268369013282,0.9073448879717266,1.952703965565981e-10,27,-56.20521455343999,0.7876450602514065
BUG,0.9987734640710072,0.9979557734516786,1.4139537650883158e-12,16,-47.79484031542478,0.38334487103784876
CGW,0.9755346690995748,0.9706416029194898,8.742830566030102e-23,37,63.34210338762921,0.5903148159211415
DSI,0.9752324200260123,0.9702789040312148,1.0504789353441736e-22,37,30.861195905441207,0.8126777219942962
DTCR,0.9990199454223279,0.9981798986414661,3.641319517331563e-10,14,77.08941974972936,0.3483622175165908
FPX,0.9769293645764433,0.972315237491732,3.63446486608493e-23,37,-0.7866546700470565,0.9921102004306808
GII,0.9732951938326398,0.9679542325991678,3.238611544613495e-22,37,25.433951726726832,0.8778133450746378
GNR,0.976208885308906,0.9714506623706872,5.75664144115865e-23,37,-75.50043881888031,0.4358244948655715
GRID,0.9719871134242307,0.9663845361090768,6.618998067763971e-22,37,-46.64712764985063,0.5986559041783814
GUNR,0.9770228095174153,0.9724273714208983,3.420414700043634e-23,37,-139.65010237324742,0.180651994977563
IFRA,0.9981983308584318,0.9974776632018045,1.0526729186949454e-19,22,-140.26274322119087,0.012705746352305347
IGE,0.9757639825543193,0.9709167790651831,7.594436797098807e-23,37,-150.13551010583228,0.07243829835800604
IGF,0.9757134010643354,0.9708560812772025,7.834929581549235e-23,37,-23.477124867105317,0.8794561134793744
IZRL,0.9976600888022686,0.9967241243231761,7.469864313098305e-19,22,-115.32860321285727,0.018254154093981508
JUST,0.9991057936530395,0.9987481111142553,5.510741734059449e-22,22,-61.6328089923814,0.1334422218018405
KOMP,0.9880954771372337,0.982601081969803,9.695517698850975e-12,20,-51.33469575542816,0.5843859397141529
LIT,0.9589885639665571,0.9507862767598685,1.963638918427698e-19,37,-50.66988973907101,0.4074928346090593
MOO,0.9711625807212343,0.9653950968654812,1.0211286584865572e-21,37,62.246853180780775,0.6330580429029254
MSOS,0.9963230363677028,0.9935653136434799,2.7257748050949587e-09,15,54.268921868311025,0.16013039253242323
NFRA,0.9755016916565353,0.9706020299878424,8.920714008009554e-23,37,157.35317825947527,0.35837978058723685
PAVE,0.9873406839090118,0.9831209118786823,4.488513048537778e-16,25,1.9133891494782276,0.9822080672578857
PBW,0.9749651072355795,0.9699581286826954,1.2333800379662507e-22,37,-39.04152163929244,0.3021524841041081
PHO,0.9735459960249262,0.9682551952299114,2.8125357543482823e-22,37,60.50603455548156,0.5660605863818335
PRNT,0.999945288804397,0.9997811552175881,0.00016412460702794793,9,-6.381269879957323,0.8662437065336978
PWRD,0.9999616759690013,0.9998467038760053,0.00011496768685832302,9,-25.695436642665072,0.4350614661365658
ROBO,0.9692503491733128,0.9631004190079753,2.6652363263372456e-21,37,-38.03470567870163,0.6594725127267926
ROBT,0.9987782108826813,0.9982894952357537,5.72331368216429e-21,22,-13.585390511464482,0.6142678089931678
SAMT,0.9999572927760735,0.9998291711042939,0.0001281162001364437,9,-35.34726178207745,0.4960206234070651
SIXG,0.993620878752515,0.9904313181287725,1.866212644338085e-12,19,47.83958517617134,0.6665348073480759
SUSA,0.9763554070254716,0.971626488430566,5.2486422321601446e-23,37,39.24210159857563,0.7624464355018066
XT,0.9952377611541875,0.994138782959,6.743496071601022e-29,33,30.37782206446127,0.5562278171152542
