ETF,R²,Adj_R²,F_p_value,N,Return_lag1,Return_lag1_pval,Return_lag2,Return_lag2_pval,Return_lag3,Return_lag3_pval
AIQ,0.995722657073164,0.995383185412304,3.376183344113058e-73,69,51.69402319433754,0.1113559212589167,57.579231748239486,0.07764269663874242,55.46140800861463,0.0972321299200472
ARKB,0.9996501997932097,0.9995473173794478,9.589157192667129e-29,23,8.413703835865114,0.37722828210378223,-5.369496008231465,0.610259150057759,2.1332216280075897,0.7760264840848258
ARKF,0.9987503950657023,0.9986346909051191,4.623035922950022e-77,60,8.205583111539186,0.43609341874476815,2.0096199326971202,0.8496550574539553,-11.734348956618192,0.28670773479469225
ARKG,0.9991297294233039,0.9990886789244031,1.901398490764442e-160,112,-2.1826350290473755,0.8467999301314663,-4.0347978902564705,0.7150889951605994,0.1681896394731126,0.9875188183035131
ARKK,0.996179300801675,0.9959990791413768,2.13341492002822e-126,112,-31.31505718319019,0.3677191030553184,-70.31008686020675,0.043146497843464346,-27.45721184187537,0.41818500218782617
ARKQ,0.9997031841349858,0.9996386589469393,9.286332462681355e-40,29,-1.611875963357221,0.2964056513186864,-4.211338590515368,0.014068228758889972,2.1586382062937304,0.24434229737357654
ARKW,0.999655616097056,0.9995807500311986,5.131054658623786e-39,29,-2.8444172651490027,0.29936161891854246,-0.5796082807982046,0.8189567855899902,3.835560769347186,0.12251171665824048
ARKX,0.9913140747613934,0.9900367328145395,5.2803618904028726e-34,40,-12.240906525294774,0.14133104547006325,-18.863596754096328,0.04083960329521296,8.94798770377949,0.32093836241219564
ARTY,0.9912812972762044,0.9905781760888015,1.9391354058079962e-62,68,26.45568147732248,0.021694157591440184,27.010645520743246,0.020901107514201583,19.317801006154973,0.09245625662900786
BKGI,0.9998391650721657,0.9998042009574192,8.085338533562129e-43,29,-0.7603492957607969,0.751402029727178,-0.7494761290447602,0.7492991572229859,-3.1362950767793905,0.1907082069901861
BLOK,0.9921283880529596,0.9915409543255684,5.022300433635799e-69,73,-4.255366916841709,0.6326045460342001,-0.691855396988359,0.9393297497862441,-9.166899096164926,0.31194209955356894
BOTZ,0.9682596594842098,0.9663475907784392,1.3155888160923187e-60,89,13.131180097811296,0.7064437660897784,-27.885057404011228,0.41984775812060815,-24.083706363444634,0.49829138036622755
BUG,0.9950339997721604,0.9944942171386997,9.087009186287353e-52,52,19.297257865084077,0.22987329704391632,-1.1546026777375005,0.9468965880777993,2.2622560989743903,0.8976678877522798
CGW,0.950606548897834,0.9484209979641098,4.770795759063931e-72,119,12.360754069050401,0.6408086783230641,-35.58724696117683,0.18646418549961555,-16.632777683928772,0.5377472224773505
