model,r2,beta_lag1,beta_lag1_p,f_stat,n_obs,n_etfs,gate_pass,extra_json,experiment_id,factors,freq,flow_unit,benchmark,r2_delta_bp
univariate_r2_by_lag,0.9888203555087338,0.21520386559070026,0.5404826153363964,,44,44,False,"{""best_lag"": 7, ""best_r2"": 0.9899453448487823}",N-ABCE,A+B+C+E,ME,raw,SPY,9652.877057212292
multilag_ols,0.9907808485374707,1.5774048733874224e-12,0.46265392759753704,2.9712659353168946e-63,3494,44,False,{},N-ABCE,A+B+C+E,ME,raw,SPY,9100.62601575946
multilag_ols_month_fe,0.9916689428220127,-0.40300002227346887,0.5285362882551288,2.028470303528278e-49,3494,44,False,{},N-ABCE,A+B+C+E,ME,raw,SPY,8025.6769886007205
cross_correlation,,0.002830257455353406,0.38740725010357313,,0,44,False,"{""best_lag"": 20, ""best_corr"": 0.045361635035268064}",N-ABCE,A+B+C+E,ME,raw,SPY,
panel_pooled,0.960121492811713,-0.7536229632999252,0.9100213959600096,16279.49426795041,3494,44,False,"{""r2_overall"": 0.9589093404919746, ""r2_between"": 0.9344685132689927}",N-ABCE,A+B+C+E,ME,raw,SPY,9250.24974444817
panel_entity_fe,0.9601225138236233,-0.7366723127156898,0.9140096792849628,16588.91959986091,3494,44,False,"{""r2_overall"": 0.95890833866796, ""r2_between"": 0.9345154068646847}",N-ABCE,A+B+C+E,ME,raw,SPY,9250.252447023639
panel_entity_time_fe,0.9600811827379189,-0.253641832696953,0.9832621760862619,20052.713745305995,3494,44,False,"{""r2_overall"": 0.9588674734418848, ""r2_between"": 0.9345223149578842}",N-ABCE,A+B+C+E,ME,raw,SPY,9255.248041653245
panel_entity_fe_excess,0.960143970942635,-4.299989763870729,0.7172419870397313,10364.854534391496,3494,44,False,"{""r2_overall"": 0.9589290676363146, ""r2_between"": 0.934613063062731}",N-ABCE,A+B+C+E,ME,raw,SPY,9178.224099876994
panel_entity_fe_controls,0.960123048814498,-0.5869013614775302,0.9343556098901211,13820.279977168551,3494,44,False,"{""r2_overall"": 0.9589185645302708, ""r2_between"": 0.9348032485158426}",N-ABCE,A+B+C+E,ME,raw,SPY,9240.70320342516
asymmetry,0.9946265396533028,-2.7745034746017803,,,3170,44,False,"{""beta_pos_median"": -2.7745034746017803, ""beta_neg_median"": 0.8882926469070992, ""asymmetry_ratio_median"": -0.6022474380595035, ""wald_p_median"": 0.2956338915201737}",N-ABCE,A+B+C+E,ME,raw,SPY,6625.319447038274
relative_performance,0.34774892958619724,,,,3170,44,False,"{""r2_absolute_median"": 0.17752345949224568, ""r2_excess_median"": 0.2012387002509669, ""r2_combined_median"": 0.34774892958619724}",N-ABCE,A+B+C+E,ME,raw,SPY,-76.44512394771542
granger,,,0.447524639545716,0.5871493822711151,0,41,False,"{""pct_significant_lag1"": 0.0975609756097561}",N-ABCE,A+B+C+E,ME,raw,SPY,
seasonality,,,,,3626,44,False,"{""jan_mean"": 4.51515450817455e-15, ""best_month"": 1, ""worst_month"": 2}",N-ABCE,A+B+C+E,ME,raw,SPY,
drawdown,0.007294768019173614,-0.6682459676835456,0.4258352216526179,,524,41,False,"{""1m"": {""beta_depth"": -0.6682459676835456, ""beta_depth_p"": 0.4258352216526179, ""r2"": 0.007294768019173614}, ""2m"": {""beta_depth"": -1.8729040969995383, ""beta_depth_p"": 0.044666337450108354, ""r2"": 0.04224112658026302}, ""3m"": {""beta_depth"": -2.7073567617395127, ""beta_depth_p"": 0.013596838508247822, ""r2"": 0.0761907193175333}, ""6m"": {""beta_depth"": -0.3815295145604205, ""beta_depth_p"": 0.8784541711660346, ""r2"": 0.03575599375701377}}",N-ABCE,A+B+C+E,ME,raw,SPY,-123.171861330722
