ETF,R²,Adj_R²,F_p_value,N,Return_lag1,Return_lag1_pval,Return_lag2,Return_lag2_pval,Return_lag3,Return_lag3_pval
AIQ,0.08347801570866886,0.010738175685547358,0.3449366265840338,69,463.58603540990214,0.32791506550755656,55.2628458034814,0.9070185858799501,690.467679254884,0.14950837176315787
ARKB,0.40101491374378906,0.22484282955078583,0.09327929403344766,23,-549.256189363975,0.1316437094421725,903.1097452343373,0.025359737051791603,99.06183947454622,0.7434007298762236
ARKF,0.06301813593832484,-0.023739444067385707,0.606660339701895,60,266.2437866292307,0.35889647422279647,300.3779602836604,0.30361340616170795,214.35218432765794,0.4640753776152442
ARKG,0.15446802950387428,0.11458444598990603,0.0029059896574650363,112,1128.8815681852248,0.0010615616258500332,720.7282247444398,0.03401281184793626,298.4468252280084,0.37545826708096186
ARKK,0.1002543243266466,0.05781349056846952,0.04478914396340099,112,1262.4405459629936,0.016989273451696988,815.6278619494815,0.11868585292740094,557.3760198195796,0.2833050949872584
ARKQ,0.4080148278590138,0.2793223991327124,0.025410407692135314,29,-12.819699805802806,0.850295950807504,-125.99578229742353,0.07236878597702501,220.41503166784076,0.003154113170669253
ARKW,0.35620573102289743,0.21625045515830987,0.05658333637152263,29,200.9044246885104,0.07762960604159791,77.71020532115284,0.47960158031817923,-95.24391303297448,0.3655275745146205
ARKX,0.3514941656733399,0.25612566062530173,0.009002588812373721,40,-26.516824394671797,0.7072410297271821,-185.4734450088879,0.012073364558409868,145.06124091963045,0.05033300474894639
ARTY,0.04242188673560643,-0.03480215465668324,0.7381906129718262,68,-108.09619789932815,0.3595453617328871,-121.51525735383268,0.3073721518905284,-34.286052659586524,0.7729622442752748
BKGI,0.24089641489851088,0.07587389639818709,0.241243898734803,29,416.86366031551734,0.0259683969559267,-33.76416316215278,0.8278119947659877,-116.89410085145123,0.4701113594080627
BLOK,0.039609903337445296,-0.032060999398566326,0.7357374281054967,73,-74.65497595268984,0.4662492862347002,-89.3566670747517,0.3844415715504038,12.282500814045697,0.9018628035942367
BOTZ,0.07082958744802759,0.014855466209956925,0.286668895036717,89,208.29908603733634,0.2740721516478002,127.52014737394978,0.4954355647590877,236.74584269246006,0.21194374652150025
BUG,0.28356420865286125,0.20569075307165052,0.007378315405363325,52,-44.46221955169272,0.8096150270424802,640.0092688285636,0.0012974062386616482,364.99523566784075,0.059996001065287505
CGW,0.07269774815962704,0.03166667506934495,0.12428345183796576,119,-92.81577965266452,0.4298209027716724,-227.2314778992631,0.05170765585581806,-176.03083083064962,0.1371802386510565
DSI,0.15985913150077924,0.12268475678842428,0.0012830229709440205,119,-240.46274443360988,0.10047200809723184,-106.80545840314281,0.46913453677306394,0.8351076654175245,0.9954426819659463
DTCR,0.050755250253260886,-0.07094279458606456,0.833990855145579,45,86.56402642047595,0.643273479366912,-119.31889041730068,0.5204794187566752,111.12387480755109,0.579396150689276
EUAD,0.33118595845412147,-0.04037739796025552,0.5252415067194209,15,1108.6860266197962,0.19160319520166524,666.6750805271083,0.4345068002697048,524.6967251579746,0.5403994402653614
FPX,0.15377470553642303,0.11633110843626471,0.001830956771565193,119,-129.99120185556117,0.1164812240737845,-145.41870881894442,0.07758050496373867,-153.90119985811899,0.062682414302606
