ETF,R²,Adj_R²,F_p_value,N,Return_lag1,Return_lag1_pval,Return_lag2,Return_lag2_pval,Return_lag3,Return_lag3_pval
AIQ,0.17438243622722072,-0.039666561787944365,0.6501047963953306,69,638.2025678386865,0.2170404124009089,122.25644735270434,0.8100023323550222,706.8887323494569,0.16511270856135188
ARKB,0.7632613927290717,0.34896883000494716,0.19400618458220056,23,-376.90411462744015,0.39198851344399466,943.1802647202622,0.05095102683089653,175.81831497586103,0.585711969443746
ARKF,0.21746866084002037,-0.02598553356530653,0.5712026267802014,60,134.67074282931708,0.6691781178455029,188.6133468132224,0.5334217525402918,239.9567791045664,0.4550998693170438
ARKG,0.20722305320029055,0.0928016381982707,0.04746654281216077,112,1057.7492569716653,0.004335106673077374,947.0921786958043,0.009199618586092063,359.5689270271769,0.30968668988342757
ARKK,0.12769496281164605,0.0017952667226053265,0.4458807852223883,112,1182.0318680284327,0.038556698755317864,921.7651614361879,0.09685608266405,625.0022814352795,0.2573076020596039
ARKQ,0.5642572965885811,0.1285145931771623,0.31763075941600116,29,-94.09953139660081,0.29191919945587375,-97.44961121174379,0.2669753428684211,203.98730142512443,0.02747681095744233
ARKW,0.5762590674254969,0.15251813485099386,0.28641070990296336,29,181.1757617212375,0.19041661211527752,47.791136617632816,0.7147071388293555,-2.6817411845534025,0.9828110430813299
ARKX,0.42201393439400325,0.09834173765464505,0.2724267863595072,40,-13.408550346478194,0.874078713315041,-188.29381497078936,0.029157848082523797,124.94853603217337,0.1485834462141525
ARTY,0.07993090591671115,-0.1631062132751009,0.9871525593207309,68,-116.08399187057438,0.3992403203554997,-136.448603871082,0.31530985258385247,-43.098133483258366,0.7493370776632889
BKGI,0.5582550507264112,0.11651010145282248,0.3337051706295413,29,181.8665554891912,0.37250438411429176,3.7678805857294932,0.9834072474044556,-189.62670903722432,0.29917821880153983
BLOK,0.1347475053523821,-0.07410654507980152,0.8157506732742356,73,-32.77951741057385,0.7680190828685237,-122.23067650745156,0.2698380589988825,33.04214282262872,0.7581637804493886
BOTZ,0.0943542663852055,-0.07698411565002594,0.8937719500006123,89,189.75821120156806,0.3686498934752447,99.78777533518607,0.6252302101289142,243.0560305723974,0.24379679279342212
BUG,0.4186502146253218,0.19868002556463282,0.0590560843198975,52,-143.22238718302174,0.4764963276431011,513.7846750769338,0.01784205920036597,508.15272261493715,0.020718037038916427
CGW,0.1709914632731211,0.05939416025219513,0.1124285172106608,119,-111.15608013191908,0.3696055784495793,-333.11435245584477,0.006622111493500186,-234.76030502282367,0.0556444170277711
DSI,0.2365334550437186,0.13375911245344996,0.008574783740982882,119,-247.1802501260102,0.10162582524934552,-114.39738998623915,0.44808801488046135,34.66657431609303,0.8151560884645539
DTCR,0.09657645412501681,-0.32502120061664197,0.9973178701545647,45,118.17762405580382,0.5886388675784293,-86.37489989236396,0.6898588190715647,86.64872590433893,0.7094990026038352
EUAD,1.0,,,15,3574.126904872207,,263.33301289316756,,287.4296017641317,
FPX,0.22686594967301277,0.12279021212899532,0.013172834930551202,119,-111.3245004414246,0.19183878136499966,-159.56503967119082,0.05735669664577616,-149.7863059818405,0.07380388189721127
GII,0.17715500375480664,0.0663874081064153,0.09145078174506456,119,-266.2263894346211,0.050570016417031086,-420.2341097013797,0.0030134281624298992,-228.1707194433902,0.09869015550342408
GNR,0.10223653405965172,-0.01861624020154906,0.6183728338143628,119,90.21386771878011,0.5607341170221456,-27.965176783140414,0.8587411115954727,13.953594414066309,0.9295274758937477
GRID,0.04309801539300029,-0.08571571330409578,0.9878947829825135,119,268.226201288134,0.41157476690194805,2.580485706524925,0.9936365478192881,69.2662931581308,0.8311942452755665
GRNY,1.0,,,14,-6583.997464711494,,-483.54066824856943,,6144.101753083835,
GUNR,0.19862908737314378,0.09075223375029773,0.04194204832256394,119,186.3325424194276,0.4900051450594366,426.75369082879837,0.12074850340702603,788.3439358396497,0.004894111617691656
IFRA,0.26353157813257755,0.07606688892996083,0.18194541023390765,70,199.89083835854416,0.5138665268203707,190.42858599369532,0.5358359086772242,-399.4145095940934,0.19524117446221323
IGE,0.16254601055916207,0.049811819672895497,0.14726188066831242,119,-149.81670751374637,0.21172168772502836,-397.45877284234336,0.0014188408842729036,93.89197106379677,0.44517994088995405
IGF,0.06458661853435677,-0.06133441358601832,0.9209279810470745,119,21.513433498635777,0.9558328720387317,-371.56233631318486,0.352576267619349,114.7177018465772,0.7719035537976789
IZRL,0.21692397706554933,0.031109327555679633,0.3236094806102536,74,-216.0491675992747,0.023886579434774763,-153.85506649667286,0.10557024744575257,-55.97505184526951,0.5414606810748062
JUST,0.18028421571892983,-0.036244482015692414,0.6318019730701154,68,-263.76884280961303,0.21274699090916158,-406.9698896942858,0.05687647756471953,-109.57259912061923,0.5923266372898306
KOMP,0.4251439523657381,0.2608993673273775,0.0071248141953070806,64,-488.1052346859917,0.0029188574708259346,-400.738313869624,0.009046406138523703,-196.68563346777097,0.19390642504783215
LIT,0.1984175939011058,0.09051227000317774,0.042283867180741404,119,307.23383631160175,0.006494416281923061,160.17641418569943,0.1702759448465973,170.30661687163007,0.12513584317612994
MOO,0.0986447909774425,-0.022691487160209523,0.6534743560898377,119,135.94661657464147,0.4848855350415804,-102.62017708144083,0.6069663187063274,-107.0317867538305,0.5934052122642233
MSOS,0.20097491819461144,-0.15987511874975757,0.8771462648672392,46,-55.99211416252526,0.4480213045774728,-25.563282886719076,0.7254354350327042,-63.5004522815278,0.38733063000470935
NFRA,0.1597631155399929,0.04665430417037664,0.1604129498725409,119,-60.49537144490962,0.762374124393854,55.731000830490686,0.7894298062713433,18.297365315593844,0.9288254145548731
PAVE,0.24260844516351576,0.08667488975600435,0.11531794443033692,83,391.0016164039595,0.35954793470900015,777.82874313097,0.06988287114667568,571.8684496911441,0.17484018445092298
PBW,0.14349861146371012,0.028200347622286515,0.2553443495443832,119,100.24037616767984,0.07444755644810071,112.90798593581047,0.039901845913218686,2.680839920257864,0.9614021631536591
PHO,0.15001938122230596,0.03559891330992415,0.2134857256377166,119,-47.94882006112899,0.6755392163244752,-235.0291406413753,0.03715463091590913,-172.52039953325718,0.1276683891036297
PRNT,0.5891344378119137,0.17826887562382732,0.2544486448701852,29,-133.55863544579236,0.26929883685071737,-41.54760202822612,0.6984437256101153,-100.71565855494043,0.333449336566343
PWRD,0.43651852212925624,-0.12696295574148753,0.6803079194007589,29,-3.274056255295079,0.982757811697346,-10.613323443112208,0.9418661510306814,-69.55573524073785,0.6330327061412255
ROBO,0.04895317734710636,-0.07907235647155231,0.9772540430451879,119,23.97418711528781,0.8472334437484488,-31.34311503070564,0.798933332919655,-27.221063126905,0.823992941242961
ROBT,0.30404815030394317,0.1331126082733326,0.06490855833445115,72,-280.645829709788,0.0192166729218127,-265.9558898063435,0.022209755044408933,-238.7443343699195,0.03877694154594079
SAMT,0.6000786925388162,0.22681880557504464,0.1860851292663183,30,-168.97176483620672,0.2556124394655976,-113.15577476165319,0.4480892288789097,-74.20953766902947,0.5916946795161262
SIXG,0.16991934105319073,-0.09419723224806664,0.8137516863874521,59,-132.5176162975801,0.32872208611053555,-128.0330514076099,0.33064054883909944,-160.73870085464986,0.22096527039706979
SUSA,0.18310335686795598,0.07313650106171932,0.0743711144692368,119,-670.3425052938123,0.01741161770653294,-426.2375550296509,0.12756215575711805,-122.40772801703719,0.6549167838481742
XT,0.13149042400158217,-0.0006740766938293508,0.46514894417730623,107,-391.48101736912713,0.03144602161309952,-174.889730172399,0.32274044265646573,-173.23620907894562,0.3194159769994946
