ETF,R²_Absolute,R²_Excess,R²_Combined,F_Abs,F_Exc,F_Comb,N
AIQ,0.15219767638810433,0.21494641230383138,0.43827062711930953,0.7031209389870617,1.0723770471014369,1.1378159936185948,60
ARKB,0.47796842541936213,0.45973061414078853,0.5503160695298069,2.7467788273343072,2.5527854779870287,1.2237841564727296,21
ARKF,0.1370400895944508,0.13457204392777533,0.3546290018903777,0.5028742105897138,0.4924093366539274,0.5952877024841438,51
ARKG,0.2121843014870014,0.23883714302231718,0.36442210034687883,2.019993082336697,2.3533446965343696,1.8634565908816996,103
ARKK,0.19625993408968767,0.19631280842478194,0.27868398116130133,1.8313750528356887,1.8319889611530111,1.255653437771174,103
ARKQ,0.475658940159264,0.5349545084349041,0.5791610115026267,2.872659468937732,3.642703005984821,1.4908894999678999,26
ARKW,0.4371150555048562,0.4615734952101678,0.5527546731888286,2.459112984460574,2.714668368841538,1.3389017765501527,26
ARKX,0.3734906930309686,0.4681129118618824,0.5555359158957116,1.9374728177990959,2.860319412672145,1.4061381509423188,35
ARTY,0.1612728911721144,0.07871077273124227,0.34347460292100085,0.7370844974321294,0.3275026125048528,0.7411579551524957,59
BKGI,0.37100064152308965,0.5069731795617605,0.5468218696204585,1.8677846789350003,3.256242869678423,1.3071909676209739,26
BLOK,0.26549170914632025,0.3502158453040134,0.5250446438110383,1.5361838360741333,2.2906334846506695,1.7963741961749584,64
BOTZ,0.07556231490112342,0.17581115853852125,0.3020830627449226,0.4563742892914925,1.1910041151484776,0.9919141498125001,80
BUG,0.4377123549751437,0.6299468816251663,0.7369549945118115,2.2645794264227064,4.952188363103297,2.674283964868541,44
CGW,0.14989929158931858,0.09311702558105361,0.1756208202681102,1.425343995551207,0.8299813515216189,0.7544955287668857,110
DSI,0.06491174912798403,0.1405900633691065,0.24478561800855425,0.5611270433158501,1.3223448986662465,1.1479509453914454,110
DTCR,0.38404689163906514,0.399502254661253,0.5245567570006695,2.00905622817253,2.143696712918047,1.2258894193868601,39
EUAD,0.18918115455032136,0.2986885246962566,0.3472198159190659,0.8555107435452782,1.5616331627045914,0.7092123288187241,15
FPX,0.13547346488581324,0.08056915095902295,0.26012372060285227,1.2666784997513343,0.708337450570369,1.2451696805567118,110
GII,0.11490399722913147,0.01956141934347766,0.17909409642888285,1.0493859513858035,0.161276265689752,0.7726727128647211,110
GNR,0.08068910725876044,0.13136762249821488,0.2128424922912021,0.709484631903773,1.2224829621417008,0.9576446299701378,110
GRID,0.07891903245855147,0.06862621296687454,0.13768549390017415,0.6925871537758349,0.5956024987375336,0.5654968352965783,110
GRNY,0.702504842634893,0.680656911736928,0.7795863576509219,7.871330846266849,7.1047611670472826,4.126411630270004,14
GUNR,0.19706512702154622,0.18921853387338694,0.34827804325332856,1.9839007666734858,1.8864719360819222,1.8926548718407978,110
IFRA,0.11137351200431245,0.20700619965552203,0.3208031989535748,0.5013287967839773,1.0441756269246905,0.7084909671084719,61
IGE,0.19353416575029503,0.16841527779644894,0.28796581501326957,1.9398232469496464,1.6370632991516199,1.4323454543000675,110
IGF,0.12895566490476407,0.2783936363178401,0.42229011619970946,1.1967147740337152,3.118526489640365,2.588861416683542,110
IZRL,0.28256506678425386,0.16313873515967292,0.3996331617397111,1.706703376212031,0.8447451790711479,1.1094138235486901,65
JUST,0.13267779317931794,0.19620046633102306,0.24731599134242543,0.5864005362571534,0.9356832843249543,0.4654866013339609,59
KOMP,0.3445913770117085,0.4577035401379257,0.5788300105391819,1.8401799690122866,2.9540343871877335,1.7179227658177878,55
LIT,0.290624462233798,0.32742698538941917,0.4002598929622626,3.31166537043852,3.9351883107644103,2.3636690364261637,110
MOO,0.15231374913242834,0.15012664989468583,0.2513229042831283,1.4524274803643962,1.4278877589996202,1.1888996708482507,110
MSOS,0.10146307541380606,0.11407617553448612,0.28547988751062503,0.37640106057423356,0.4292173976444283,0.46613085193924275,40
NFRA,0.11683442688316903,0.14970965431274963,0.24410819827267605,1.0693483148042537,1.4232233085628525,1.1437481752107521,110
PAVE,0.2764553697238974,0.34744536329389486,0.48694558613180383,1.9422641497045097,2.706563554063612,1.9377682850247762,74
PBW,0.19378773447525577,0.20616459207715188,0.2789237581875875,1.942975715775571,2.0992980442266638,1.3699729926358637,110
PHO,0.05127386656917954,0.09206963215860253,0.19048451403219058,0.43686343209365824,0.8196989031050633,0.833378317719836,110
PRNT,0.05454257763630632,0.054530865733263933,0.0806639948568516,0.18268211601022244,0.18264062629175767,0.09505337976472399,26
PWRD,0.21305101272223415,0.2154109468213482,0.5464517527774537,0.8573129277678867,0.8694164953878686,1.3052401866118672,26
ROBO,0.027543765921533403,0.10251760329186022,0.18668713698488615,0.22895163134004556,0.9233428566198655,0.8129511289218578,110
ROBT,0.42466590801503534,0.4613684271523767,0.7208478269767402,3.0755022308711406,3.5689858214309815,4.088602930624767,63
SAMT,0.2211962577357408,0.23326814827032682,0.3983221336607843,0.9467351260735887,1.0141231155068375,0.7723554113183659,27
SIXG,0.16106312148027058,0.24124555983691465,0.4018617723249087,0.5919531063017341,0.9803441492928072,0.6998482850118608,50
SUSA,0.16586576443417,0.051061976983359236,0.18111598230210302,1.6073531157728493,0.4349609464518731,0.7833251394052645,110
XT,0.05251174832103256,0.15284282498195412,0.26944421597836077,0.392572906962027,1.2779643599576975,1.12183013014546,98
