model,r2,beta_lag1,beta_lag1_p,f_stat,n_obs,n_etfs,gate_pass,extra_json,experiment_id,factors,freq,flow_unit,benchmark,r2_delta_bp
univariate_r2_by_lag,0.05560300183415512,-6.990782291213419,0.10332201655446915,,44,44,False,"{""best_lag"": 24, ""best_r2"": 0.06707600973443567}",N-ABD,A+B+D,ME,raw,SPY,320.70352046650544
multilag_ols,0.11865286282468751,-25.60415602370835,0.3015300603613787,0.14607497484928222,3494,44,False,{},N-ABD,A+B+D,ME,raw,SPY,379.3461586316288
multilag_ols_month_fe,0.1985233406371248,-40.36416873585142,0.3640989140921224,0.27941874813123524,3494,44,False,{},N-ABD,A+B+D,ME,raw,SPY,94.22096675184177
cross_correlation,,0.002830257455353406,0.38740725010357313,,0,44,False,"{""best_lag"": 20, ""best_corr"": 0.045361635035268064}",N-ABD,A+B+D,ME,raw,SPY,
panel_pooled,0.010940630907544269,154.6522083569438,0.14762062141758725,8.02358488548735,3494,44,False,"{""r2_overall"": 0.011370913695847418, ""r2_between"": 0.010136539388406418}",N-ABD,A+B+D,ME,raw,SPY,-241.55887459351598
panel_entity_fe,0.010948749323495766,149.3408714501979,0.1598565508749774,7.627196546921878,3494,44,False,"{""r2_overall"": 0.011362935375725192, ""r2_between"": 0.009854301458189774}",N-ABD,A+B+D,ME,raw,SPY,-241.4851979776367
panel_entity_time_fe,-0.0002839589665963871,298.30502540847226,0.01619975301124099,26.237011458673287,3494,44,True,"{""r2_overall"": 0.000798985424997456, ""r2_between"": 0.00743470056817086}",N-ABD,A+B+D,ME,raw,SPY,-348.40337539190693
panel_entity_fe_excess,0.01799639168149092,-92.25362606005024,0.17531265146915143,7.884846303385537,3494,44,False,"{""r2_overall"": 0.01875655004264465, ""r2_between"": 0.02664186701692406}",N-ABD,A+B+D,ME,raw,SPY,-243.25169273444746
panel_entity_fe_controls,0.011627061184083076,154.64648273236924,0.1386951688947431,6.752444201537034,3494,44,False,"{""r2_overall"": 0.010398048261806903, ""r2_between"": 0.009102774662406832}",N-ABD,A+B+D,ME,raw,SPY,-244.25667287898744
asymmetry,0.37112360654244525,22.440414305767675,,,3170,44,False,"{""beta_pos_median"": 22.440414305767675, ""beta_neg_median"": -30.088647721339093, ""asymmetry_ratio_median"": 0.18616556677563484, ""wald_p_median"": 0.12135152994390005}",N-ABD,A+B+D,ME,raw,SPY,390.2901159296973
relative_performance,0.34774892958619724,,,,3170,44,False,"{""r2_absolute_median"": 0.17752345949224568, ""r2_excess_median"": 0.2012387002509669, ""r2_combined_median"": 0.34774892958619724}",N-ABD,A+B+D,ME,raw,SPY,-76.44512394771542
granger,,,0.447524639545716,0.5871493822711151,0,41,False,"{""pct_significant_lag1"": 0.0975609756097561}",N-ABD,A+B+D,ME,raw,SPY,
seasonality,,,,,3626,44,False,"{""jan_mean"": 4.51515450817455e-15, ""best_month"": 1, ""worst_month"": 2}",N-ABD,A+B+D,ME,raw,SPY,
drawdown,0.007294768019173614,-0.6682459676835456,0.4258352216526179,,524,41,False,"{""1m"": {""beta_depth"": -0.6682459676835456, ""beta_depth_p"": 0.4258352216526179, ""r2"": 0.007294768019173614}, ""2m"": {""beta_depth"": -1.8729040969995383, ""beta_depth_p"": 0.044666337450108354, ""r2"": 0.04224112658026302}, ""3m"": {""beta_depth"": -2.7073567617395127, ""beta_depth_p"": 0.013596838508247822, ""r2"": 0.0761907193175333}, ""6m"": {""beta_depth"": -0.3815295145604205, ""beta_depth_p"": 0.8784541711660346, ""r2"": 0.03575599375701377}}",N-ABD,A+B+D,ME,raw,SPY,-123.171861330722
