ETF,R²,Adj_R²,F_p_value,N,Return_lag1,Return_lag1_pval,Return_lag2,Return_lag2_pval,Return_lag3,Return_lag3_pval
AIQ,0.9960725552878111,0.9949610143315313,3.806061431791038e-58,69,59.668139759153405,0.10327977033550481,63.05908271456693,0.07920289192116244,91.87134903598022,0.012333509212586162
ARKB,0.9997659379531145,0.9992643764240742,3.266859994856069e-11,23,11.672057507927889,0.4545683667905671,-7.48331180940778,0.6876911575797832,1.1430116694223784,0.9172550595088028
ARKF,0.9989473927245935,0.9985885493352504,2.3855305851301723e-60,60,1.7669765102565869,0.8800054864097294,4.99989519101436,0.6572722468468546,-6.10100343717977,0.6104507220757263
ARKG,0.9990199483353313,0.9988668152627268,2.7778570935777515e-137,112,6.350589834043028,0.6351647671109333,6.571706213233483,0.6154166053247929,-8.330354068532607,0.5072063090088061
ARKK,0.9964245430386683,0.9958658778884603,2.609040568460792e-110,112,-5.626554956924409,0.8797498741299247,-54.819975628561565,0.13063645449192351,-40.759803154550745,0.2546379714650323
ARKQ,0.999762936485938,0.9994894016620202,4.8535032084552946e-21,29,-4.044190648898201,0.0838072190215033,-3.5192735404525735,0.12223695421431499,2.4139174657053815,0.3315678456486624
ARKW,0.9997820581059512,0.999530586689741,2.8099340751269636e-21,29,-3.71969888682937,0.28140821333071125,1.1604625887301268,0.7078581387617688,3.6269246949425735,0.22972503729975635
ARKX,0.9932941202614828,0.9891029454249095,2.4565965038840118e-22,40,-15.435543888416717,0.10660141280254126,-20.78842951784545,0.04208316782726162,11.998254208991483,0.22097788687723938
ARTY,0.9916590493355372,0.9892530058746344,1.693837245275351e-48,68,22.398929098900712,0.09712037595751463,26.642650174241474,0.04737856488506608,23.032963162956502,0.08065872379965625
BKGI,0.9999027696151349,0.9997905807095213,1.480777601860925e-23,29,-2.0881697517636155,0.5166229427964435,0.7283635737224827,0.7945407660743639,0.4551159117669954,0.8742023404340915
BLOK,0.994257916364105,0.99274684172308,4.4300616445884996e-58,73,4.935219854297095,0.5896437496020563,-7.625644030239986,0.40557730647193624,-1.9012872923729134,0.8294370726592881
BOTZ,0.9710623596339228,0.9651162691477426,8.290906657240215e-50,89,-0.728527581061087,0.9847453436249578,-31.341572935010426,0.39615463913505067,-37.83513181437926,0.318987527739483
BUG,0.996438212585695,0.9949541344964012,2.145423997970216e-39,52,40.715606480855605,0.015269452037455385,9.598283619631218,0.5913477385627413,9.17586551815802,0.611716168606218
CGW,0.9503369477358496,0.9431044643964103,5.703966031864281e-60,119,13.788077725296173,0.6521345550019833,-18.23183935712304,0.5524282225575607,-22.846204610652514,0.4524657092937431
DSI,0.949787663948115,0.942475187824054,1.0013691266278794e-59,119,42.53566127803843,0.2816697227103848,-6.343486155862479,0.8705052548515047,24.789599392235008,0.5169131623544075
DTCR,0.995972600984581,0.9938894635628125,1.4913445571510454e-30,45,4.1319925437810525,0.781337422043807,-8.65780231114902,0.557497926671906,16.510125343008987,0.3007664469395125
EUAD,1.0,,,15,0.4815057432926082,,0.035476176835061324,,0.0387224650198732,
FPX,0.931871796755759,0.921950213759025,5.922855076022216e-53,119,-42.454772835599826,0.09721467097830248,-45.72464895802853,0.07040113841114176,-13.016383116929282,0.6050353806714723
GII,0.9615726090271555,0.9559763870408189,1.1271408277770135e-65,119,-20.0668175159577,0.5009986295021791,-45.400072228443236,0.147798043048942,1.3675590418712744,0.9639162156123848
GNR,0.9367835443137206,0.927577264359408,1.2986199402785295e-54,119,32.938000180816516,0.42637000330258834,71.28183461469072,0.09176326979313829,18.108366053502973,0.6670236692048445
GRID,0.9900260725956784,0.9885735588960199,9.231887274174846e-96,119,82.26900172126047,0.015517538343133772,77.87680988407075,0.0206146308742233,76.3157565730055,0.023751644660926424
GRNY,1.0,,,14,-0.14254499086018768,,-0.010468761644460756,,0.13302115210410648,
GUNR,0.8949391350019139,0.8796390090313189,2.231754847644903e-43,119,-9.149083204127265,0.9259108344474162,6.413691386343544,0.9492602137726321,15.435482606631442,0.8823515432920211
IFRA,0.9905199377111324,0.9878865870753359,5.5168555750306334e-49,70,64.9745231957031,0.06805201734493967,108.08814412835235,0.0031936533630552754,27.977859474622083,0.4341596466019937
IGE,0.9169807549525266,0.9048905736349334,1.4104923617944495e-48,119,-54.051414101523235,0.1563067984086451,-57.040531674967355,0.1562142632880173,13.164041887101739,0.735416917394495
IGF,0.9095820428153525,0.8964143791476854,1.0874057259753277e-46,119,175.33608450755355,0.15090208320645698,-16.30516378974096,0.8963369139563856,25.373381506783474,0.837419939469503
IZRL,0.9883287750925207,0.9853103548578278,3.0658613969752973e-50,74,-11.772506156104868,0.3281323297600911,-7.6558140834858435,0.5178014264607949,-10.505994894073972,0.354075087020954
JUST,0.9925184062286871,0.99036025417927,1.0080181852275997e-49,68,-16.054781104273886,0.4357201411587328,2.2856028382143307,0.9132807436401444,-14.058985318182781,0.4776979206962024
KOMP,0.9922406425389235,0.9898158433323371,2.738190816586767e-45,64,-12.809687325741606,0.5243030753481602,-0.14468834596218016,0.9938187753746643,3.500494814326089,0.8453650867519328
LIT,0.951278476592142,0.9441831091055608,2.142001743222686e-60,119,-17.597378862939195,0.5394993260302976,3.9597989339195188,0.8916630831360073,18.490355377053948,0.5036814952925146
MOO,0.9165942424274057,0.9044477728779988,1.7868742331036077e-48,119,-9.125538705391406,0.8783179266755283,-111.99823776502598,0.0683113446066355,-58.9607977328337,0.3368590008187363
MSOS,0.9951638458319404,0.9927457687479107,1.7503715560428427e-30,46,0.045890008648404645,0.993758088529896,1.8891897528296013,0.7433887977850064,-7.948801232577367,0.17937896794637892
NFRA,0.9429558367604405,0.9346484343469124,6.81974594640452e-57,119,92.62253805632413,0.08011410640174065,63.45560979999519,0.24697542652455232,52.7686244251389,0.3263791423938659
PAVE,0.9866293976766188,0.9836359792460111,1.3361413013438595e-56,83,-28.86159096259982,0.6152149671313765,32.61567613538489,0.5746775727114037,-11.499615930597258,0.8397241850050392
PBW,0.9569875306245492,0.9507235787737555,3.6295967873291496e-63,119,5.165510663727581,0.685289000090883,7.7304479477114185,0.5359747425532277,6.87314308806693,0.5819354984695704
PHO,0.9407914265628744,0.9321688187807687,4.574485740086079e-56,119,17.56065565116449,0.5640819152102381,-10.407235374914762,0.7305704411940463,11.705809310477441,0.6991628544298842
PRNT,0.9998535775276476,0.9996846285210871,2.1188817778075394e-22,29,-0.18978960575130088,0.9376416332370949,-0.9236742934682809,0.6626336956905974,0.9416118432570926,0.6520524380722712
PWRD,0.9998414940423032,0.9996586025526529,3.547506635450969e-22,29,-0.4061041216057859,0.8778218756718285,1.5255879495826719,0.5504477069307773,-1.8564908460964205,0.47096282118213983
ROBO,0.9618225760093542,0.9562627569815902,8.067371000896716e-66,119,-60.50499726191272,0.01747878894542315,-59.703094054258955,0.01747025470333132,-37.000285300613285,0.13529223478015354
ROBT,0.9948533867335725,0.9934748296086365,2.471239132569275e-58,72,-1.18443677048498,0.9114799533427999,13.748140999581508,0.18868369352665137,-5.7548814162085975,0.5731290435104663
SAMT,0.9998595781761247,0.9997091262219726,2.633901791239226e-24,30,-0.3833163789166196,0.8966716765111773,-1.8430878970116993,0.5314089967618121,0.30232098304544763,0.910876740139332
SIXG,0.9846454823310232,0.9792892552371941,6.270128841280046e-34,59,-9.064202789245932,0.6292306920364377,-5.0099826840968475,0.7831553423546912,-3.701108644682634,0.8390476418268379
SUSA,0.978681689683063,0.97557708138448,8.36654155413165e-79,119,-21.109906249609878,0.6489073693935932,-37.057538615263404,0.4170533995827622,21.353055584044057,0.6315157878833605
XT,0.957778868172802,0.9508193409485386,1.1722487158341522e-55,107,-93.13591429938923,0.023248267063991017,12.70752926719338,0.7468700919216187,-23.074828281136387,0.5507261688696672
