model,r2,beta_lag1,beta_lag1_p,f_stat,n_obs,n_etfs,gate_pass,extra_json,experiment_id,factors,freq,flow_unit,benchmark,r2_delta_bp
univariate_r2_by_lag,0.9891653662345319,-0.2796953580639643,0.26475162569734745,,44,44,False,"{""best_lag"": 7, ""best_r2"": 0.9897771290786325}",N-ABDE,A+B+D+E,ME,raw,SPY,9656.327164470273
multilag_ols,0.9900337413090374,4.778399897986674e-13,0.5249284454018798,1.5223925037388572e-61,3494,44,False,{},N-ABDE,A+B+D+E,ME,raw,SPY,9093.154943475129
multilag_ols_month_fe,0.9910894935233348,-0.39471025026120277,0.5204630090723019,5.678384027107757e-50,3494,44,False,{},N-ABDE,A+B+D+E,ME,raw,SPY,8019.8824956139415
cross_correlation,,0.002830257455353406,0.38740725010357313,,0,44,False,"{""best_lag"": 20, ""best_corr"": 0.045361635035268064}",N-ABDE,A+B+D+E,ME,raw,SPY,
panel_pooled,0.9601221403152301,-0.7424406640875604,0.913845763570897,13562.350684696728,3494,44,False,"{""r2_overall"": 0.9589093255780081, ""r2_between"": 0.9344314741884784}",N-ABDE,A+B+D+E,ME,raw,SPY,9250.256219483343
panel_entity_fe,0.9601228550272484,-0.6998371257097203,0.920803513847448,13820.21002662598,3494,44,False,"{""r2_overall"": 0.9589086191470858, ""r2_between"": 0.9345097818073638}",N-ABDE,A+B+D+E,ME,raw,SPY,9250.25585905989
panel_entity_time_fe,0.9600811827379189,-0.25364183269695717,0.9832621760862617,20052.713745305995,3494,44,False,"{""r2_overall"": 0.9588674734418848, ""r2_between"": 0.9345223149578842}",N-ABDE,A+B+D+E,ME,raw,SPY,9255.248041653245
panel_entity_fe_excess,0.9601440039191147,-4.000256426400485,0.7349771674318806,9210.535266849474,3494,44,False,"{""r2_overall"": 0.9589293765839435, ""r2_between"": 0.9346288375197576}",N-ABDE,A+B+D+E,ME,raw,SPY,9178.22442964179
panel_entity_fe_controls,0.9601233571957746,-0.5525897023752084,0.9402468161496023,11842.61006071158,3494,44,False,"{""r2_overall"": 0.9589184429088844, ""r2_between"": 0.9347854052552387}",N-ABDE,A+B+D+E,ME,raw,SPY,9240.706287237928
asymmetry,0.9947444324788859,-4.279459029804879,,,3170,44,False,"{""beta_pos_median"": -4.279459029804879, ""beta_neg_median"": 3.191218429112408, ""asymmetry_ratio_median"": -0.7389595887224863, ""wald_p_median"": 0.2699323434893691}",N-ABDE,A+B+D+E,ME,raw,SPY,6626.498375294103
relative_performance,0.34774892958619724,,,,3170,44,False,"{""r2_absolute_median"": 0.17752345949224568, ""r2_excess_median"": 0.2012387002509669, ""r2_combined_median"": 0.34774892958619724}",N-ABDE,A+B+D+E,ME,raw,SPY,-76.44512394771542
granger,,,0.447524639545716,0.5871493822711151,0,41,False,"{""pct_significant_lag1"": 0.0975609756097561}",N-ABDE,A+B+D+E,ME,raw,SPY,
seasonality,,,,,3626,44,False,"{""jan_mean"": 4.51515450817455e-15, ""best_month"": 1, ""worst_month"": 2}",N-ABDE,A+B+D+E,ME,raw,SPY,
drawdown,0.007294768019173614,-0.6682459676835456,0.4258352216526179,,524,41,False,"{""1m"": {""beta_depth"": -0.6682459676835456, ""beta_depth_p"": 0.4258352216526179, ""r2"": 0.007294768019173614}, ""2m"": {""beta_depth"": -1.8729040969995383, ""beta_depth_p"": 0.044666337450108354, ""r2"": 0.04224112658026302}, ""3m"": {""beta_depth"": -2.7073567617395127, ""beta_depth_p"": 0.013596838508247822, ""r2"": 0.0761907193175333}, ""6m"": {""beta_depth"": -0.3815295145604205, ""beta_depth_p"": 0.8784541711660346, ""r2"": 0.03575599375701377}}",N-ABDE,A+B+D+E,ME,raw,SPY,-123.171861330722
