lag,r_squared,coefficient,p_value,f_statistic,f_pvalue,ETF
1,0.9985682492866078,3.6106884875848895,0.04248453700671511,6625.7332924579705,9.56622029356673e-28,AIQ
2,0.9985323889496032,2.871039500003304,0.12603881856876253,6123.414986631715,3.1586300160577227e-26,AIQ
3,0.9985619631764352,2.9743496626829256,0.11649148901886255,5902.336120961583,6.93497756267951e-25,AIQ
4,0.999397919497624,2.2443572969025425,0.07480786020500317,13279.259707679144,1.7267779996654238e-26,AIQ
5,0.9994727738638388,0.18805765716091472,0.8809090143613036,14217.89492182358,2.600021776220474e-25,AIQ
6,0.9994015958030137,1.742606803997654,0.2538602562890158,11690.778918084596,2.74765635926064e-23,AIQ
7,0.9993789183083068,1.3445626588865003,0.39627270925157543,10459.111991041706,1.4304303863561403e-21,AIQ
8,0.9994979207265932,1.9913774284573944,0.19867771899584102,11944.3041009584,1.6018939474486437e-20,AIQ
9,0.9996502797705981,1.0592137749285362,0.42154803705785293,15721.356891879052,9.782821971516747e-20,AIQ
10,0.9997815126425931,1.0264227139462196,0.3544810574502838,22879.619317752375,4.978878860039272e-19,AIQ
11,0.999771739076464,0.4203824010102206,0.7269255414686853,19709.781052973445,4.1014938561566556e-17,AIQ
1,0.998722283096065,-0.8959524226870508,0.6060684071318052,6253.1678497499925,7.103577511440043e-24,ARKF
2,0.9987544170196742,-1.5781320093762687,0.43216517022798995,6013.776878749385,1.641704506878077e-22,ARKF
3,0.9987474291250555,-1.5913284782303094,0.45860856967807384,5581.506119711656,4.8374463802368694e-21,ARKF
4,0.998747043932167,-1.4027619100955278,0.4993854341864219,5181.231770389591,1.3695660565767553e-19,ARKF
5,0.9996120918102329,0.5896683117814057,0.6435924147272907,15461.577530661103,3.407012232105313e-21,ARKF
6,0.9996818299990259,0.9449204632090673,0.5053459380948027,17280.856297452654,5.81601825594468e-20,ARKF
7,0.9997588779809928,0.43693917537784177,0.7340563212469288,20731.389072174818,8.150501984522369e-19,ARKF
8,0.9997553834697085,0.49880864984792506,0.715325173199626,18391.640255266197,5.599975252503213e-17,ARKF
9,0.9997152347330786,0.9699690200499855,0.5434682832283569,14042.656894791346,6.575792001554282e-15,ARKF
10,0.9997227469503329,1.0726426705227112,0.5208847859252255,12620.346714051288,3.5486826375225814e-13,ARKF
1,0.9858945438732898,2.4873649550583625,0.40270177844049193,1083.365563847246,2.067762162726227e-29,ARKG
2,0.994562358392339,0.18996569610085778,0.9196860271061589,2743.54884935168,1.0743819435676666e-34,ARKG
3,0.9946422775152235,0.5031140334916282,0.7951284115836064,2691.873844707396,1.1754742278542078e-33,ARKG
4,0.9948358583137449,0.854562380504694,0.659914528252909,2697.0023021371444,9.593433959075541e-33,ARKG
5,0.9946192251245036,0.610263449018257,0.7671247206601572,2495.432321528253,2.324904395727658e-31,ARKG
6,0.9946107988476213,0.7991084013165164,0.7161989647651603,2399.2313553395343,3.234574226320649e-30,ARKG
7,0.9948659333635911,0.16975792637184073,0.9378427392278745,2422.2171326828056,2.4030829656500132e-29,ARKG
8,0.9950011422501452,-0.366912816933159,0.8721684936015092,2388.5484053529467,2.434721781081937e-28,ARKG
