model,r2,beta_lag1,beta_lag1_p,f_stat,n_obs,n_etfs,gate_pass,extra_json,experiment_id,factors,freq,flow_unit,benchmark,r2_delta_bp
univariate_r2_by_lag,0.9884380743270043,0.43432548281618377,0.5955507617530774,,44,44,False,"{""best_lag"": 7, ""best_r2"": 0.9895989512229766}",N-ABE,A+B+E,ME,raw,SPY,9649.054245394997
multilag_ols,0.9899466757054729,1.9895196601282805e-13,0.5365944629628351,3.416762118345092e-64,3494,44,False,{},N-ABE,A+B+E,ME,raw,SPY,9092.284287439483
multilag_ols_month_fe,0.9910894935233348,-0.3947102502611064,0.5204630090723288,5.678384027107772e-50,3494,44,False,{},N-ABE,A+B+E,ME,raw,SPY,8019.8824956139415
cross_correlation,,0.002830257455353406,0.38740725010357313,,0,44,False,"{""best_lag"": 20, ""best_corr"": 0.045361635035268064}",N-ABE,A+B+E,ME,raw,SPY,
panel_pooled,0.9601217957487822,-0.7824515297009333,0.9065726683742956,20355.016037034326,3494,44,False,"{""r2_overall"": 0.9589089806252853, ""r2_between"": 0.9344338883796243}",N-ABE,A+B+E,ME,raw,SPY,9250.252773818864
panel_entity_fe,0.9601225105197659,-0.7398565450828782,0.9139534407129009,20742.166911554614,3494,44,False,"{""r2_overall"": 0.9589082741392388, ""r2_between"": 0.9345121498792685}",N-ABE,A+B+E,ME,raw,SPY,9250.252413985065
panel_entity_time_fe,0.9600811827379189,-0.25364183269695717,0.9832621760862614,20052.713745305995,3494,44,False,"{""r2_overall"": 0.9588674734418848, ""r2_between"": 0.9345223149578842}",N-ABE,A+B+E,ME,raw,SPY,9255.248041653245
panel_entity_fe_excess,0.9601438852392747,-4.20371205320686,0.7157437094226584,11848.962974958904,3494,44,False,"{""r2_overall"": 0.9589292868335153, ""r2_between"": 0.9346284578361512}",N-ABE,A+B+E,ME,raw,SPY,9178.22324284339
panel_entity_fe_controls,0.9601230362788736,-0.5947992945286475,0.9339350834574904,16589.1459696485,3494,44,False,"{""r2_overall"": 0.9589183216148045, ""r2_between"": 0.9347936239359314}",N-ABE,A+B+E,ME,raw,SPY,9240.703078068918
asymmetry,0.994256938807512,-3.8755632450404542,,,3170,44,False,"{""beta_pos_median"": -3.8755632450404542, ""beta_neg_median"": 3.475415746322227, ""asymmetry_ratio_median"": -0.5922072189273055, ""wald_p_median"": 0.28513849822110815}",N-ABE,A+B+E,ME,raw,SPY,6621.623438580364
relative_performance,0.34774892958619724,,,,3170,44,False,"{""r2_absolute_median"": 0.17752345949224568, ""r2_excess_median"": 0.2012387002509669, ""r2_combined_median"": 0.34774892958619724}",N-ABE,A+B+E,ME,raw,SPY,-76.44512394771542
granger,,,0.447524639545716,0.5871493822711151,0,41,False,"{""pct_significant_lag1"": 0.0975609756097561}",N-ABE,A+B+E,ME,raw,SPY,
seasonality,,,,,3626,44,False,"{""jan_mean"": 4.51515450817455e-15, ""best_month"": 1, ""worst_month"": 2}",N-ABE,A+B+E,ME,raw,SPY,
drawdown,0.007294768019173614,-0.6682459676835456,0.4258352216526179,,524,41,False,"{""1m"": {""beta_depth"": -0.6682459676835456, ""beta_depth_p"": 0.4258352216526179, ""r2"": 0.007294768019173614}, ""2m"": {""beta_depth"": -1.8729040969995383, ""beta_depth_p"": 0.044666337450108354, ""r2"": 0.04224112658026302}, ""3m"": {""beta_depth"": -2.7073567617395127, ""beta_depth_p"": 0.013596838508247822, ""r2"": 0.0761907193175333}, ""6m"": {""beta_depth"": -0.3815295145604205, ""beta_depth_p"": 0.8784541711660346, ""r2"": 0.03575599375701377}}",N-ABE,A+B+E,ME,raw,SPY,-123.171861330722
