ETF,R²,Adj_R²,F_p_value,N,Return_lag1,Return_lag1_pval,Return_lag2,Return_lag2_pval,Return_lag3,Return_lag3_pval
AIQ,0.10269182997925796,0.046610069352961636,0.1337205368877785,69,631.7082494359456,0.17827936905997133,359.13701784946034,0.4453296518790988,870.1255681243929,0.06989810909080184
ARKB,0.39539692613197097,0.26104068749463116,0.04921097936691701,23,-605.4068612153839,0.10236220816060593,955.9864949246428,0.015209010599737506,23.288033232012964,0.9391468520054524
ARKF,0.10878228891359387,0.04396645538003707,0.16814822176941957,60,302.8459256987542,0.3661976881956842,366.8559731347714,0.2774719238268683,126.43932566448714,0.7178749904439006
ARKG,0.18543493110012954,0.15498390048705024,0.00018740559965743612,112,1260.9219676760033,0.0006060297936549458,1012.770979662213,0.005460557964867661,256.7748382913628,0.47539457110952166
ARKK,0.17558982836661097,0.14477075652984872,0.00033919841547615053,112,1391.653988706829,0.009512493180944222,1146.2295965579247,0.03204250012248884,387.35261464431517,0.46650551591416434
ARKQ,0.22038768515420548,0.09045229934657295,0.18373859096824685,29,49.781532786774505,0.6599239890101715,-78.7174250086402,0.4869384762812552,280.72264297321925,0.017907794013670694
ARKW,0.22608009162699305,0.0970934402314918,0.17142439392970552,29,262.64317275684596,0.031115497370114913,46.303211352260035,0.6920646748268213,-75.04510466211816,0.5009346160198709
ARKX,0.21394169992054113,0.12410646562574579,0.0702426824777886,40,-5.586637483786269,0.9525525508837118,-158.15590837593032,0.10205038820142127,233.03106575182244,0.01964931606916643
ARTY,0.1272802227546671,0.07186944324702693,0.06876004428932801,68,153.85327260441403,0.05395978293918463,96.94067788203905,0.2223391356211845,139.39559747665743,0.0853282574004114
BKGI,0.07128961114787302,-0.08349545366081479,0.7638689026360775,29,190.26572809633095,0.2633244658264529,141.08950234799738,0.43957855739237195,37.927526198840475,0.8343981322228504
BLOK,0.04594797995417266,-0.010172727107346624,0.5176881447556811,73,56.37261448282486,0.6080429797648186,9.158480056733119,0.934842446341969,9.761342608687798,0.9304022588576957
BOTZ,0.18526028367158198,0.1464631543226097,0.0016081771400613008,89,288.4795565559502,0.12564790833635248,320.1600958867987,0.08625406690396656,453.59468868324575,0.017304212775844152
BUG,0.30775771357640147,0.24884347643396765,0.0014507329004034989,52,110.3716750107981,0.6009140478196754,767.1448231999661,0.0005378238429534182,363.96723898630705,0.10970319838141138
CGW,0.0400642552281838,0.006382299271277869,0.31927274560875296,119,55.028546061156085,0.09892711466374896,17.12771527435258,0.6051028838678656,37.75071533587149,0.2630381839071919
DSI,0.032442081733887296,-0.0015073189070291537,0.43482059282654495,119,88.45772543446947,0.3938770384053323,90.49974198384804,0.38983706291597786,75.29278231806745,0.4701659648173049
DTCR,0.14142779030728525,0.05557056933801374,0.18137253538648032,45,128.88395486071846,0.24856446066938503,-15.204416667886946,0.8905764845086591,243.65332924909856,0.04783691623574437
EUAD,0.3822005854406275,0.13508081961687857,0.2619872186291043,15,-76.48347283456309,0.9228342446386959,-64.07983175062898,0.9281434913675002,-708.2404888040289,0.35466844287362054
FPX,0.09590805667681246,0.06418553234968294,0.020644522441976794,119,104.93571321480458,0.03075697593927363,72.91657416170975,0.1313933643756972,34.05521895853073,0.4834746647900161
GII,0.043615662970963864,0.010058317812050244,0.2744030120426557,119,38.413933572090855,0.2732303977960357,40.53204831008074,0.26383076165655633,62.75834941266265,0.08213424817436282
GNR,0.06447301482245271,0.031647506570608885,0.10471002537260325,119,299.69023198493835,0.04896421710656467,253.0548284672179,0.10195191787268075,185.10740702436584,0.23077512518816481
GRID,0.03957809610557783,0.005879081933843566,0.32584805303465114,119,476.9069636150426,0.12044897759054579,289.37667444845323,0.34576484868317114,311.77286866986844,0.314458397677218
GRNY,0.7278489982268543,0.6068929974387895,0.01223526539702092,14,2878.0571455180734,0.006522742220432423,726.1540519423781,0.4168266761505621,2781.237632999908,0.0069335897191140465
GUNR,0.1373338905332887,0.10706490423621107,0.0019449116713144505,119,468.0094022449904,0.08394869545842983,559.9642583156223,0.04291209055760222,901.9048334860132,0.0014023796222260299
IFRA,0.10437012962314274,0.0492544452922592,0.12213600939710892,70,176.32250314391302,0.5044506008971414,713.7785495288057,0.010493266304095288,-61.010102469934736,0.8209865769722828
IGE,0.05488955598033374,0.021727786014731354,0.16531789906570651,119,34.78626151222845,0.7254761144835987,-217.57875547833802,0.0316435582819886,123.95596955191532,0.22228297164952204
IGF,0.017437401987012158,-0.017038478645022614,0.7315488657045854,119,334.6626837462823,0.2970151294569337,50.14068688290279,0.8795034016744322,309.181351679746,0.34783058477126483
IZRL,0.15538241728169222,0.10641907915309468,0.018761974210078594,74,103.73433412281436,0.03568262188662142,102.86936552847385,0.040371486505401975,84.80688302684078,0.09357302506211725
JUST,0.14268337499890227,0.08825057341153097,0.04304071666085675,68,24.44248749019016,0.6044031538763275,-72.54577842095826,0.13253218497086142,88.43172425288067,0.06520961622941449
KOMP,0.05454553040682841,-0.009553077701183188,0.4987556784277637,64,-157.32020352725047,0.08846520868213394,-36.25286184127287,0.6895166814162105,16.398034339983653,0.8600672447756816
LIT,0.3030363646154657,0.27858150021600825,2.1124593923963522e-08,119,444.9110356137523,0.0005169315504209759,348.8148475372966,0.00829797672601203,294.84046163276713,0.02038842063463413
MOO,0.07875657460860042,0.046432243893112624,0.051149805259272305,119,447.01633539433743,0.015352264107003487,316.36089059099436,0.0903213229653861,155.1840909128679,0.41362513692358127
MSOS,0.20898870911442258,0.13181687585729296,0.04322448962274733,46,47.95607893809408,0.45427622261402245,82.65075066761457,0.19778511743418825,52.08141151309646,0.4180295846942511
NFRA,0.10106053156332229,0.06951879582870191,0.015581569644302917,119,234.12455051177045,0.1265846889894076,470.560467172989,0.0038697295844113077,311.5429336598405,0.04966229591356403
PAVE,0.1358433145831046,0.09152758712582787,0.02119836141586076,83,351.73867595692457,0.39896717533154424,1388.4187846554403,0.0015099075031251026,648.0134294717035,0.12920441802670052
PBW,0.3402699145594582,0.3171214905089128,1.0313603061592927e-09,119,235.4089832111095,0.0003621967189630096,263.69803780212754,5.7208456944301006e-05,130.90644971109637,0.04571555278826875
PHO,0.09976662307876094,0.06817948704643662,0.016728345504021875,119,139.50079552147034,0.003604561605204272,98.47815381398703,0.036998725894170255,35.014633066804734,0.45488126080826075
PRNT,0.1294746340322508,-0.015612926962374152,0.4836668190409784,29,-3.1368577635970256,0.6425064618936327,-2.081045180758122,0.7459678503121845,0.7513600516090739,0.9063323022241406
PWRD,0.08996567301334213,-0.06170671481776768,0.6709198049746946,29,154.89287329186175,0.25888474059586836,48.09031512602695,0.7220038186222504,17.59459486204321,0.8966036713807521
ROBO,0.1902108910687027,0.1617972381237448,7.089668297557955e-05,119,189.69867135886886,0.07576481189668784,228.4943354528478,0.032659376992462644,202.9748498935839,0.057496001188673186
ROBT,0.10338845921542605,0.0498594120044068,0.11532453596487426,72,15.924778317050608,0.542563000668103,47.526453038237186,0.07160090114405229,41.177680634926766,0.12488302815922223
SAMT,0.04557494139997831,-0.10713306797602518,0.8761650258316466,30,44.355385194919734,0.6339988669765431,33.71265731022048,0.7266872611628129,92.61197923431725,0.323483327432052
