ETF,R²,Adj_R²,F_p_value,N,Return_lag1,Return_lag1_pval
AIQ,0.2950114751739068,0.07470256116575269,0.2980552450384591,22,105.69397010335453,0.08910068704964379
ARKB,0.6292940878481397,-0.29747069253151115,0.6858521230552929,8,-2.6413824028799353,0.8537815827597572
ARKF,0.4608632423468315,0.2683144003278427,0.09093184525398292,20,43.05722287202196,0.5163427779746466
ARKG,0.1422062995139447,0.0038524768549034194,0.4185517467589839,37,77.67788560582099,0.05563489536540977
ARKK,0.24685499901991403,0.1253799988618356,0.1014971345857219,37,97.36455984449476,0.041351945880075056
ARKQ,0.4013948012929769,-0.34686169709080206,0.7451625857665575,10,45.8348230578716,0.20612604310810234
ARKW,0.67480058775188,0.26830132244173,0.3218338906237103,10,6.917044664270662,0.3295101017181497
ARKX,0.3697582768697807,-0.02414280008660641,0.5048191355472523,14,43.54383086194176,0.38411382988204545
ARTY,0.47733713398392963,0.32361276162626185,0.03589854430725054,23,29.35027663880693,0.3674176157981487
BKGI,0.6508151187951837,0.21433401728916335,0.3600101350031692,10,31.195590573160878,0.8613867917619028
BLOK,0.14148314549100605,-0.09699375853926995,0.7053910276533966,24,44.8074096588208,0.34932904043888113
BOTZ,0.20513292425665264,0.039535616810121965,0.32211706532421414,30,5.349304024538043,0.9887472570740544
BUG,0.5454909002290418,0.3388958548786062,0.08343023379968849,17,581.3490549331977,0.04531245081131503
CGW,0.1473661295001354,0.021978795603096568,0.34151508590874186,40,10.762375688700967,0.3168913676557105
DSI,0.3486303264212942,0.2528406685420729,0.009602067663389072,40,-3.3764289947536312,0.7944159538390215
DTCR,0.21561135482792992,-0.22016011471210906,0.773145880394705,15,41.50281158435302,0.9089163403099865
FPX,0.08536375092735038,-0.049141579818627434,0.6746527602075325,40,18.75146709368594,0.21126329776746183
GII,0.25770049292551744,0.14853880070868186,0.0608213126661867,40,43.631956880108724,0.2650455922519498
GNR,0.29492535530521613,0.19123790755598324,0.0299160949953571,40,48.723380758877624,0.004700431634242215
GRID,0.4503403606706209,0.3695080607692417,0.0007471034772662848,40,191.66064206782028,1.0944315810645019e-05
GUNR,0.3891683289495612,0.29934014203037906,0.0037103143364794863,40,68.29118928853916,0.0004088079707231338
IFRA,0.42680233636310694,0.25821478823460897,0.06895273011140973,23,492.65024301877696,0.008625898873260825
IGE,0.1134932109735437,-0.0168754344715234,0.5109864089525413,40,30.720380970839546,0.07944330618930791
IGF,0.21844886157741727,0.10351487063291986,0.12006077407502491,40,35.40151789572029,0.26809300540434605
IZRL,0.3166721453494531,0.13684902570457236,0.16927738988297789,25,316.8170839644902,0.08367228612015946
JUST,0.47006400060575415,0.31420047137215235,0.039641737137519006,23,106.3823341938935,0.010038344125214826
KOMP,0.3749369461181261,0.16658259482416815,0.17350560288229266,21,191.00507851047647,0.36424248257034986
LIT,0.1692856075098711,0.04712172626132283,0.25419025267148,40,85.40445537192745,0.029010893633392636
MOO,0.2267663231768252,0.11305548834988777,0.10456121184546216,40,78.04849890972916,0.04671238862481885
MSOS,0.40264764216616744,0.10397146324925122,0.3207876247104768,16,5.817173527018937,0.9833411944092474
NFRA,0.11557821059571372,-0.014483817257857634,0.4994823614227185,40,17.411568909716028,0.6162364451834937
PAVE,0.23702270384940238,0.06361877290608475,0.27469012861284553,28,207.5014764025246,0.12583862278912336
PBW,0.5915787651075383,0.5315168187998234,6.914045167202865e-06,40,66.44862435648422,1.4710281437434598e-06
PHO,0.08820709543416638,-0.04588009641375024,0.6577000849246871,40,6.141398241191616,0.48200134853837384
PRNT,0.8793965341854623,0.7286422019172901,0.05613705203124956,10,6.446179435006632,0.184866818304866
PWRD,0.40435753747138614,-0.3401955406893813,0.7412041686182755,10,84.02072296259601,0.6059951106652364
ROBO,0.22051637289388137,0.10588642773121693,0.1160402328068012,40,34.81889846087861,0.5596526209395954
ROBT,0.1400503038209796,-0.09882461178430368,0.7103822043742998,24,44.320569388857926,0.32359735155771774
SAMT,0.23287799383450547,-0.7260245138723627,0.9236379824463913,10,124.90929120064996,0.5019813629634716
SIXG,0.178564648360497,-0.11480512008218269,0.6949108680859829,20,-73.01074412018835,0.7905237436118092
SUSA,0.18729522327391535,0.06777981493184415,0.19576567322570324,40,-8.848249492466486,0.7600949355410991
XT,0.2547346586680491,0.1305237684460573,0.09977348047222406,36,13.4817882416722,0.4581558144300242
