model,r2,beta_lag1,beta_lag1_p,f_stat,n_obs,n_etfs,gate_pass,extra_json,experiment_id,factors,freq,flow_unit,benchmark,r2_delta_bp
univariate_r2_by_lag,,,,,0,44,False,{},N-AC,A+C,W,raw,SPY,
multilag_ols,,,,,0,44,False,{},N-AC,A+C,W,raw,SPY,
multilag_ols_month_fe,,,,,0,44,False,{},N-AC,A+C,W,raw,SPY,
cross_correlation,,0.08800726300747982,0.06637470606129538,,0,44,False,"{""best_lag"": 1, ""best_corr"": 0.08800726300747982}",N-AC,A+C,W,raw,SPY,
panel_pooled,,,,,0,44,False,{},N-AC,A+C,W,raw,SPY,
panel_entity_fe,,,,,0,44,False,{},N-AC,A+C,W,raw,SPY,
panel_entity_time_fe,,,,,0,44,False,{},N-AC,A+C,W,raw,SPY,
panel_entity_fe_excess,,,,,0,44,False,{},N-AC,A+C,W,raw,SPY,
panel_entity_fe_controls,,,,,0,44,False,{},N-AC,A+C,W,raw,SPY,
asymmetry,,,,,0,44,False,{},N-AC,A+C,W,raw,SPY,
relative_performance,0.1408753580101793,,,,14963,44,False,"{""r2_absolute_median"": 0.0835406270940009, ""r2_excess_median"": 0.1013004437639548, ""r2_combined_median"": 0.1408753580101793}",N-AC,A+C,W,raw,SPY,223.20885387350998
granger,,,0.09129948629257434,2.8743365322453562,0,44,False,"{""pct_significant_lag1"": 0.4090909090909091}",N-AC,A+C,W,raw,SPY,
seasonality,,,,,15491,44,False,"{""jan_mean"": 10.933463582089553, ""best_month"": 2, ""worst_month"": 5}",N-AC,A+C,W,raw,SPY,
drawdown,0.009824193728931507,0.0005914893772575591,0.9993995627760734,,852,44,False,"{""1m"": {""beta_depth"": 0.0005914893772575591, ""beta_depth_p"": 0.9993995627760734, ""r2"": 0.009824193728931507}, ""2m"": {""beta_depth"": 0.8038563400849865, ""beta_depth_p"": 0.7769890859555494, ""r2"": 0.00973213618788793}, ""3m"": {""beta_depth"": 2.0183810480275213, ""beta_depth_p"": 0.6938254185702881, ""r2"": 0.01028126559614917}, ""6m"": {""beta_depth"": 6.2648279066389865, ""beta_depth_p"": 0.44756984551772516, ""r2"": 0.01312354407677041}}",N-AC,A+C,W,raw,SPY,-116.69168814543495
panel_entity_fe_cum,,,,,0,44,False,{},N-AC,A+C,W,raw,SPY,
panel_entity_fe_cum_long,,,,,0,44,False,{},N-AC,A+C,W,raw,SPY,
panel_entity_time_fe_cum,,,,,0,44,False,{},N-AC,A+C,W,raw,SPY,
panel_gmm_ab,,,,,0,44,False,{},N-AC,A+C,W,raw,SPY,
panel_gmm_bb,,,,,0,44,False,{},N-AC,A+C,W,raw,SPY,
panel_entity_fe_trend,,,,,0,44,False,{},N-AC,A+C,W,raw,SPY,
univariate_r2_by_lag,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,SPY,
multilag_ols,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,SPY,
multilag_ols_month_fe,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,SPY,
cross_correlation,,0.09632956341098681,0.0734246309793936,,0,44,False,"{""best_lag"": 1, ""best_corr"": 0.09632956341098681}",N-AC,A+C,W,pct_aum,SPY,
panel_pooled,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,SPY,
panel_entity_fe,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,SPY,
panel_entity_time_fe,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,SPY,
panel_entity_fe_excess,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,SPY,
panel_entity_fe_controls,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,SPY,
asymmetry,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,SPY,
relative_performance,0.1361788715067589,,,,14954,44,False,"{""r2_absolute_median"": 0.08018349527962754, ""r2_excess_median"": 0.07705687136114481, ""r2_combined_median"": 0.1361788715067589}",N-AC,A+C,W,pct_aum,SPY,292.8409620953626
granger,,,0.1606948991789368,1.9890317569499674,0,42,False,"{""pct_significant_lag1"": 0.35714285714285715}",N-AC,A+C,W,pct_aum,SPY,
seasonality,,,,,15446,44,False,"{""jan_mean"": NaN, ""best_month"": 1, ""worst_month"": 8}",N-AC,A+C,W,pct_aum,SPY,
drawdown,0.025595074160245312,0.05192042296799601,0.5036112401697569,,852,44,False,"{""1m"": {""beta_depth"": 0.05192042296799601, ""beta_depth_p"": 0.5036112401697569, ""r2"": 0.025595074160245312}, ""2m"": {""beta_depth"": -0.015348455108117248, ""beta_depth_p"": 0.9188300309381308, ""r2"": 0.026530315961686646}, ""3m"": {""beta_depth"": -0.025518511244230796, ""beta_depth_p"": 0.9087224518192432, ""r2"": 0.020343640161701426}, ""6m"": {""beta_depth"": 0.06648965983635684, ""beta_depth_p"": 0.8585343305404125, ""r2"": 0.0152679950205582}}",N-AC,A+C,W,pct_aum,SPY,130.8079969986131
panel_entity_fe_cum,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,SPY,
panel_entity_fe_cum_long,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,SPY,
panel_entity_time_fe_cum,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,SPY,
panel_gmm_ab,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,SPY,
panel_gmm_bb,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,SPY,
panel_entity_fe_trend,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,SPY,
univariate_r2_by_lag,,,,,0,44,False,{},N-AC,A+C,W,raw,QQQ,
multilag_ols,,,,,0,44,False,{},N-AC,A+C,W,raw,QQQ,
multilag_ols_month_fe,,,,,0,44,False,{},N-AC,A+C,W,raw,QQQ,
cross_correlation,,0.08800726300747982,0.06637470606129538,,0,44,False,"{""best_lag"": 1, ""best_corr"": 0.08800726300747982}",N-AC,A+C,W,raw,QQQ,
panel_pooled,,,,,0,44,False,{},N-AC,A+C,W,raw,QQQ,
panel_entity_fe,,,,,0,44,False,{},N-AC,A+C,W,raw,QQQ,
panel_entity_time_fe,,,,,0,44,False,{},N-AC,A+C,W,raw,QQQ,
panel_entity_fe_excess,,,,,0,44,False,{},N-AC,A+C,W,raw,QQQ,
panel_entity_fe_controls,,,,,0,44,False,{},N-AC,A+C,W,raw,QQQ,
asymmetry,,,,,0,44,False,{},N-AC,A+C,W,raw,QQQ,
relative_performance,0.20932474885546232,,,,14839,42,False,"{""r2_absolute_median"": 0.08186063930040754, ""r2_excess_median"": 0.12366812936918531, ""r2_combined_median"": 0.20932474885546232}",N-AC,A+C,W,raw,QQQ,808.8939876159429
granger,,,0.09129948629257434,2.8743365322453562,0,44,False,"{""pct_significant_lag1"": 0.4090909090909091}",N-AC,A+C,W,raw,QQQ,
seasonality,,,,,15491,44,False,"{""jan_mean"": 10.933463582089553, ""best_month"": 2, ""worst_month"": 5}",N-AC,A+C,W,raw,QQQ,
drawdown,0.009824193728931507,0.0005914893772575591,0.9993995627760734,,852,44,False,"{""1m"": {""beta_depth"": 0.0005914893772575591, ""beta_depth_p"": 0.9993995627760734, ""r2"": 0.009824193728931507}, ""2m"": {""beta_depth"": 0.8038563400849865, ""beta_depth_p"": 0.7769890859555494, ""r2"": 0.00973213618788793}, ""3m"": {""beta_depth"": 2.0183810480275213, ""beta_depth_p"": 0.6938254185702881, ""r2"": 0.01028126559614917}, ""6m"": {""beta_depth"": 6.2648279066389865, ""beta_depth_p"": 0.44756984551772516, ""r2"": 0.01312354407677041}}",N-AC,A+C,W,raw,QQQ,-116.69168814543495
panel_entity_fe_cum,,,,,0,44,False,{},N-AC,A+C,W,raw,QQQ,
panel_entity_fe_cum_long,,,,,0,44,False,{},N-AC,A+C,W,raw,QQQ,
panel_entity_time_fe_cum,,,,,0,44,False,{},N-AC,A+C,W,raw,QQQ,
panel_gmm_ab,,,,,0,44,False,{},N-AC,A+C,W,raw,QQQ,
panel_gmm_bb,,,,,0,44,False,{},N-AC,A+C,W,raw,QQQ,
panel_entity_fe_trend,,,,,0,44,False,{},N-AC,A+C,W,raw,QQQ,
univariate_r2_by_lag,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,QQQ,
multilag_ols,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,QQQ,
multilag_ols_month_fe,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,QQQ,
cross_correlation,,0.09632956341098681,0.0734246309793936,,0,44,False,"{""best_lag"": 1, ""best_corr"": 0.09632956341098681}",N-AC,A+C,W,pct_aum,QQQ,
panel_pooled,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,QQQ,
panel_entity_fe,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,QQQ,
panel_entity_time_fe,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,QQQ,
panel_entity_fe_excess,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,QQQ,
panel_entity_fe_controls,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,QQQ,
asymmetry,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,QQQ,
relative_performance,0.24184762697045797,,,,14830,42,False,"{""r2_absolute_median"": 0.07826517913087366, ""r2_excess_median"": 0.13323390374980398, ""r2_combined_median"": 0.24184762697045797}",N-AC,A+C,W,pct_aum,QQQ,575.1055519967585
granger,,,0.1606948991789368,1.9890317569499674,0,42,False,"{""pct_significant_lag1"": 0.35714285714285715}",N-AC,A+C,W,pct_aum,QQQ,
seasonality,,,,,15446,44,False,"{""jan_mean"": NaN, ""best_month"": 1, ""worst_month"": 8}",N-AC,A+C,W,pct_aum,QQQ,
drawdown,0.025595074160245312,0.05192042296799601,0.5036112401697569,,852,44,False,"{""1m"": {""beta_depth"": 0.05192042296799601, ""beta_depth_p"": 0.5036112401697569, ""r2"": 0.025595074160245312}, ""2m"": {""beta_depth"": -0.015348455108117248, ""beta_depth_p"": 0.9188300309381308, ""r2"": 0.026530315961686646}, ""3m"": {""beta_depth"": -0.025518511244230796, ""beta_depth_p"": 0.9087224518192432, ""r2"": 0.020343640161701426}, ""6m"": {""beta_depth"": 0.06648965983635684, ""beta_depth_p"": 0.8585343305404125, ""r2"": 0.0152679950205582}}",N-AC,A+C,W,pct_aum,QQQ,130.8079969986131
panel_entity_fe_cum,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,QQQ,
panel_entity_fe_cum_long,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,QQQ,
panel_entity_time_fe_cum,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,QQQ,
panel_gmm_ab,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,QQQ,
panel_gmm_bb,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,QQQ,
panel_entity_fe_trend,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,QQQ,
univariate_r2_by_lag,,,,,0,44,False,{},N-AC,A+C,W,raw,peer_avg,
multilag_ols,,,,,0,44,False,{},N-AC,A+C,W,raw,peer_avg,
multilag_ols_month_fe,,,,,0,44,False,{},N-AC,A+C,W,raw,peer_avg,
cross_correlation,,0.08800726300747982,0.06637470606129538,,0,44,False,"{""best_lag"": 1, ""best_corr"": 0.08800726300747982}",N-AC,A+C,W,raw,peer_avg,
panel_pooled,,,,,0,44,False,{},N-AC,A+C,W,raw,peer_avg,
panel_entity_fe,,,,,0,44,False,{},N-AC,A+C,W,raw,peer_avg,
panel_entity_time_fe,,,,,0,44,False,{},N-AC,A+C,W,raw,peer_avg,
panel_entity_fe_excess,,,,,0,44,False,{},N-AC,A+C,W,raw,peer_avg,
panel_entity_fe_controls,,,,,0,44,False,{},N-AC,A+C,W,raw,peer_avg,
asymmetry,,,,,0,44,False,{},N-AC,A+C,W,raw,peer_avg,
relative_performance,0.14814993597209752,,,,14963,44,False,"{""r2_absolute_median"": 0.0835406270940009, ""r2_excess_median"": 0.06730537822577431, ""r2_combined_median"": 0.14814993597209752}",N-AC,A+C,W,raw,peer_avg,254.79809848565293
granger,,,0.09129948629257434,2.8743365322453562,0,44,False,"{""pct_significant_lag1"": 0.4090909090909091}",N-AC,A+C,W,raw,peer_avg,
seasonality,,,,,15491,44,False,"{""jan_mean"": 10.933463582089553, ""best_month"": 2, ""worst_month"": 5}",N-AC,A+C,W,raw,peer_avg,
drawdown,0.009824193728931507,0.0005914893772575591,0.9993995627760734,,852,44,False,"{""1m"": {""beta_depth"": 0.0005914893772575591, ""beta_depth_p"": 0.9993995627760734, ""r2"": 0.009824193728931507}, ""2m"": {""beta_depth"": 0.8038563400849865, ""beta_depth_p"": 0.7769890859555494, ""r2"": 0.00973213618788793}, ""3m"": {""beta_depth"": 2.0183810480275213, ""beta_depth_p"": 0.6938254185702881, ""r2"": 0.01028126559614917}, ""6m"": {""beta_depth"": 6.2648279066389865, ""beta_depth_p"": 0.44756984551772516, ""r2"": 0.01312354407677041}}",N-AC,A+C,W,raw,peer_avg,-116.69168814543495
panel_entity_fe_cum,,,,,0,44,False,{},N-AC,A+C,W,raw,peer_avg,
panel_entity_fe_cum_long,,,,,0,44,False,{},N-AC,A+C,W,raw,peer_avg,
panel_entity_time_fe_cum,,,,,0,44,False,{},N-AC,A+C,W,raw,peer_avg,
panel_gmm_ab,,,,,0,44,False,{},N-AC,A+C,W,raw,peer_avg,
panel_gmm_bb,,,,,0,44,False,{},N-AC,A+C,W,raw,peer_avg,
panel_entity_fe_trend,,,,,0,44,False,{},N-AC,A+C,W,raw,peer_avg,
univariate_r2_by_lag,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,peer_avg,
multilag_ols,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,peer_avg,
multilag_ols_month_fe,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,peer_avg,
cross_correlation,,0.09632956341098681,0.0734246309793936,,0,44,False,"{""best_lag"": 1, ""best_corr"": 0.09632956341098681}",N-AC,A+C,W,pct_aum,peer_avg,
panel_pooled,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,peer_avg,
panel_entity_fe,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,peer_avg,
panel_entity_time_fe,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,peer_avg,
panel_entity_fe_excess,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,peer_avg,
panel_entity_fe_controls,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,peer_avg,
asymmetry,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,peer_avg,
relative_performance,0.13544566081564297,,,,14954,44,False,"{""r2_absolute_median"": 0.08018349527962754, ""r2_excess_median"": 0.049110219862804116, ""r2_combined_median"": 0.13544566081564297}",N-AC,A+C,W,pct_aum,peer_avg,155.48901632049748
granger,,,0.1606948991789368,1.9890317569499674,0,42,False,"{""pct_significant_lag1"": 0.35714285714285715}",N-AC,A+C,W,pct_aum,peer_avg,
seasonality,,,,,15446,44,False,"{""jan_mean"": NaN, ""best_month"": 1, ""worst_month"": 8}",N-AC,A+C,W,pct_aum,peer_avg,
drawdown,0.025595074160245312,0.05192042296799601,0.5036112401697569,,852,44,False,"{""1m"": {""beta_depth"": 0.05192042296799601, ""beta_depth_p"": 0.5036112401697569, ""r2"": 0.025595074160245312}, ""2m"": {""beta_depth"": -0.015348455108117248, ""beta_depth_p"": 0.9188300309381308, ""r2"": 0.026530315961686646}, ""3m"": {""beta_depth"": -0.025518511244230796, ""beta_depth_p"": 0.9087224518192432, ""r2"": 0.020343640161701426}, ""6m"": {""beta_depth"": 0.06648965983635684, ""beta_depth_p"": 0.8585343305404125, ""r2"": 0.0152679950205582}}",N-AC,A+C,W,pct_aum,peer_avg,130.8079969986131
panel_entity_fe_cum,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,peer_avg,
panel_entity_fe_cum_long,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,peer_avg,
panel_entity_time_fe_cum,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,peer_avg,
panel_gmm_ab,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,peer_avg,
panel_gmm_bb,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,peer_avg,
panel_entity_fe_trend,,,,,0,44,False,{},N-AC,A+C,W,pct_aum,peer_avg,
univariate_r2_by_lag,0.15372839908835723,261.0396426147887,0.15966827307444356,,41,44,False,"{""best_lag"": 1, ""best_r2"": 0.15372839908835723}",N-AC,A+C,QE,raw,SPY,1050.4083717430324
multilag_ols,0.15402659913001338,260.34785486786393,0.17220436064057099,0.2172034251481117,1163,42,False,{},N-AC,A+C,QE,raw,SPY,1065.007140231078
multilag_ols_month_fe,0.25693663280908874,284.5005477576135,0.19870967029882058,0.3217882496578602,1163,42,False,{},N-AC,A+C,QE,raw,SPY,1209.3618793735604
cross_correlation,,0.28518064120873116,0.14632775386733937,,0,41,False,"{""best_lag"": 1, ""best_corr"": 0.28518064120873116}",N-AC,A+C,QE,raw,SPY,
panel_pooled,0.05893985105690125,793.3214255748416,0.0007824502528299693,36.00694205687767,1173,44,True,"{""r2_overall"": 0.05798154516214704, ""r2_between"": -0.00854885637922731}",N-AC,A+C,QE,raw,SPY,107.08631577806771
panel_entity_fe,0.0589415085695596,792.8731701140183,0.0007055091445735684,35.2938105137983,1173,44,True,"{""r2_overall"": 0.05797991971726335, ""r2_between"": -0.00861843691422215}",N-AC,A+C,QE,raw,SPY,107.10018713448011
panel_entity_time_fe,0.04737270145698558,756.8542568018872,0.006437856360829608,17.985255593331082,1173,44,True,"{""r2_overall"": 0.04636417954552707, ""r2_between"": -0.01924281948505424}",N-AC,A+C,QE,raw,SPY,2.4723144631644267
