ETF,R²,Adj_R²,F_p_value,N,Return_lag1,Return_lag1_pval
AIQ,0.14589252746390924,0.055986477723268036,0.22354705571436362,22,103.0608856268817,0.08866007332865362
ARKB,0.1055418494116741,-0.25224141082365614,0.756658760460444,8,-0.017762483869025125,0.9988469128062476
ARKF,0.4352735702707511,0.3688351667731924,0.00777363178773242,20,36.15852271050687,0.5365782953945868
ARKG,0.13211940333648553,0.08106760353274933,0.08991241052345424,37,78.0253200585743,0.045055150086153926
ARKK,0.23295231647377257,0.18783186450164158,0.011014890040878002,37,93.24984359856508,0.03993592588550831
ARKQ,0.3676892186971872,0.18702899546781204,0.2010282324238388,10,37.53254444549626,0.08351073787331592
ARKW,0.09805649155701868,-0.15964165371240457,0.6968313484054098,10,5.734182017415472,0.4543317909230987
ARKX,0.22391731307368057,0.0828113699961679,0.24802415202296355,14,29.96412054402932,0.4718815098491318
ARTY,0.38876782733780146,0.3276446100715815,0.007278838035856677,23,26.05748496984726,0.4153930619411944
BKGI,0.19119268941593437,-0.03989511360808451,0.4758364844657497,10,99.57898667194752,0.5943042342546546
BLOK,0.050076673188908516,-0.04039221507881452,0.5830822244534745,24,37.1599023021441,0.410728337244444
BOTZ,0.10947174207326194,0.04350668593054052,0.20904703690010837,30,-55.25125904890908,0.8827265669395885
BUG,0.41777322463718336,0.33459797101392386,0.022680113147245703,17,562.3582742346625,0.03429372131941686
CGW,0.051466009185954564,0.00019390157438459177,0.37625183102050125,40,13.966430161312172,0.18080040764669347
DSI,0.016799142577027637,-0.03634684971610591,0.7309397820279782,40,-7.9787766963264035,0.5946664910016826
DTCR,0.025869805126596868,-0.13648522735230362,0.8544802549529658,15,2.844056213886006,0.9930622304725062
FPX,0.04383375604495887,-0.007850905790448559,0.43638321620608955,40,18.471930474399294,0.20709308633549411
GII,0.21359126946037088,0.17108268943120186,0.011735295679464424,40,33.924160486983965,0.35346376525976875
GNR,0.24055114242244913,0.19949985282366267,0.006154926387272763,40,42.394233242265045,0.009184132734582504
GRID,0.4347922730383377,0.40424050401338296,2.605251613573678e-05,40,187.26063808171324,7.084537219174909e-06
GUNR,0.3315339472646156,0.29540064711675706,0.0005807217670720555,40,59.625050572869725,0.0008956806843647299
IFRA,0.31064603832553406,0.24171064215808735,0.024233869114283185,23,415.2298484953896,0.017615944770827903
IGE,0.08565035059756976,0.036226045224465486,0.19079966154113448,40,26.1215132865427,0.10198661140860046
IGF,0.09129268645661615,0.042173372211027904,0.17015488930891148,40,24.36529918354731,0.43681683063421395
IZRL,0.12718211568094917,0.047835035288308236,0.2239546073883,25,320.0109052546584,0.08725046773099292
JUST,0.38180033131486146,0.3199803644463476,0.008152441286808634,23,108.31772434620801,0.006267349816556619
KOMP,0.17501464245227194,0.08334960272474656,0.17701748409524645,21,208.0244617125873,0.3364851323665765
LIT,0.15015281212859388,0.10421512629770713,0.049295306478414305,40,80.77691367598828,0.029831544903283776
MOO,0.04373079852872641,-0.007959428577828831,0.437253325181857,40,50.42008411336893,0.2015923032033576
MSOS,0.28494552988129707,0.1749371498630351,0.1130327564897677,16,132.8639864902111,0.5948118458671873
NFRA,0.05197374026139734,0.0007290775728243659,0.37254333072108026,40,26.040893318940732,0.426927861016292
PAVE,0.1299787449512565,0.06037704454735693,0.17543784527750364,28,202.57178144504593,0.1317312074344013
PBW,0.5302995016597711,0.5049102855332723,8.48572371863331e-07,40,64.04973970725126,2.7246036449782517e-06
PHO,0.05266712573939303,0.0014599433469278944,0.36753462158257777,40,7.863653665547438,0.34774563195268393
PRNT,0.42444378282996964,0.2599991493528181,0.14464623150608058,10,3.311223530623069,0.612351998147409
PWRD,0.045605970317852074,-0.22707803816276173,0.8492723769084805,10,49.16788348713327,0.7185797640101813
ROBO,0.15934645943267378,0.11390572751011574,0.04031023768130606,40,39.661075845267376,0.5011756055229544
ROBT,0.06496509030081887,-0.024085853480055652,0.49396044045832377,24,46.526447726454776,0.2804425001134908
SAMT,0.16532161626277841,-0.07315792194785642,0.5312721894350964,10,77.05243287871507,0.5327080537688703
SIXG,0.053385318251959246,-0.05798111489486901,0.6272959820691082,20,-187.76194232218668,0.4179996328061225
SUSA,0.06064353764360719,0.00986751265136987,0.31431340846508643,40,-14.138065062563097,0.6307517857988584
XT,0.17299854505493906,0.12287724475523842,0.043536500237190294,36,14.34840696751153,0.42923910419631517
