model,r2,beta_lag1,beta_lag1_p,f_stat,n_obs,n_etfs,gate_pass,extra_json,experiment_id,factors,freq,flow_unit,benchmark,r2_delta_bp
univariate_r2_by_lag,0.0936502280445759,0.51276388123078,0.24452244883977398,,44,44,False,"{""best_lag"": 1, ""best_r2"": 0.0936502280445759}",N-ACD,A+C+D,ME,raw,SPY,701.1757825707132
multilag_ols,0.15892265859252153,156.70776501069116,0.13800879306019964,0.10693146507991613,3494,44,False,{},N-ACD,A+C+D,ME,raw,SPY,782.0441163099689
multilag_ols_month_fe,0.2701340186993481,130.22098101094144,0.18470003136440488,0.23995490913620474,3494,44,False,{},N-ACD,A+C+D,ME,raw,SPY,810.327747374075
cross_correlation,,0.14077720170742947,0.22543069631416623,,0,44,False,"{""best_lag"": 1, ""best_corr"": 0.14077720170742947}",N-ACD,A+C+D,ME,raw,SPY,
panel_pooled,0.04957241985349026,317.5228863494279,0.0031384669673262255,30.21655922586707,3494,44,True,"{""r2_overall"": 0.04942327160146587, ""r2_between"": 0.021990541050777135}",N-ACD,A+C+D,ME,raw,SPY,144.7590148659439
panel_entity_fe,0.04957494323074507,314.9050685677445,0.0032396550332001173,29.940306404775406,3494,44,True,"{""r2_overall"": 0.049420825879004204, ""r2_between"": 0.021860104696201144}",N-ACD,A+C+D,ME,raw,SPY,144.7767410948564
panel_entity_time_fe,0.040185845441182755,298.30502540847226,0.01619975301124099,26.237011458673287,3494,44,True,"{""r2_overall"": 0.04021013855602251, ""r2_between"": 0.010526269754207451}",N-ACD,A+C+D,ME,raw,SPY,56.29466868588451
panel_entity_fe_excess,0.054039853343034516,139.68677080026964,0.06757927397276475,21.841551501407192,3494,44,False,"{""r2_overall"": 0.05390306182481808, ""r2_between"": 0.02426744367529765}",N-ACD,A+C+D,ME,raw,SPY,117.1829238809885
panel_entity_fe_controls,0.05016108545037157,320.1761404438796,0.0022806814765001793,25.975023547999363,3494,44,True,"{""r2_overall"": 0.04853271098386036, ""r2_between"": 0.022711359629863814}",N-ACD,A+C+D,ME,raw,SPY,141.08356978389747
asymmetry,0.4952074957017439,88.40636353215216,,,3170,44,False,"{""beta_pos_median"": 88.40636353215216, ""beta_neg_median"": 100.03921047858371, ""asymmetry_ratio_median"": 0.5911606436281759, ""wald_p_median"": 0.051050636919179035}",N-ACD,A+C+D,ME,raw,SPY,1631.1290075226837
relative_performance,0.412961231931474,,,,3170,44,False,"{""r2_absolute_median"": 0.2079703178542815, ""r2_excess_median"": 0.24972140301386148, ""r2_combined_median"": 0.412961231931474}",N-ACD,A+C+D,ME,raw,SPY,575.6778995050521
granger,,,0.38702685659650093,0.7538359182964018,0,41,False,"{""pct_significant_lag1"": 0.07317073170731707}",N-ACD,A+C+D,ME,raw,SPY,
seasonality,,,,,3626,44,False,"{""jan_mean"": 58.62651739130434, ""best_month"": 1, ""worst_month"": 8}",N-ACD,A+C+D,ME,raw,SPY,
drawdown,0.004964979948216763,-0.22275489736596502,0.7860682369609197,,524,41,False,"{""1m"": {""beta_depth"": -0.22275489736596502, ""beta_depth_p"": 0.7860682369609197, ""r2"": 0.004964979948216763}, ""2m"": {""beta_depth"": -1.2519881020193604, ""beta_depth_p"": 0.1537019848138771, ""r2"": 0.023606854884341444}, ""3m"": {""beta_depth"": -1.2153676280656354, ""beta_depth_p"": 0.25520960473181525, ""r2"": 0.01576364126374341}, ""6m"": {""beta_depth"": 2.657967687025449, ""beta_depth_p"": 0.28210887611797125, ""r2"": 0.00863092911193597}}",N-ACD,A+C+D,ME,raw,SPY,-146.4697420402905
