ETF,Beta_Pos,Beta_Neg,Asymmetry_Ratio,Wald_P,R²,N
AIQ,-132.06281384890946,245.3918454930256,-0.5381711587994185,0.8514146449368036,0.24535354747187132,60
ARKB,233.34160124940666,-743.2176357261014,0.3139613351901141,0.17181441855115331,0.7808872128329627,21
ARKF,-232.38553226919075,460.8683232946218,-0.5042341174761806,0.5265202640403861,0.35344168905396844,51
ARKG,274.14193388590587,351.3110927228106,0.7803395325811922,0.018489219073752807,0.3602318934828249,103
ARKK,663.5853509290694,777.4042159020197,0.8535911400468974,0.0002594446682820392,0.34487174576411117,103
ARKQ,167.3586027897356,-52.64127735873972,3.1792276173167378,0.5102591461404604,0.5239260138180286,26
ARKW,66.31009311987935,102.83581179443337,0.6448151860990978,0.34566860519432463,0.5361171126602882,26
ARKX,99.98181923837454,-89.89888904940321,1.1121585627540997,0.8807807742169609,0.696811988257003,35
ARTY,123.29921435576738,-20.639609044026923,5.973912300991477,0.07922159232966126,0.4923951361737636,59
BKGI,-358.82734676059863,781.9551209492429,-0.45888483513606954,0.059618929457194686,0.668485197742652,26
BLOK,20.594320357664756,84.21759913473944,0.2445370156505646,0.12549899432449577,0.5353394545666083,64
BOTZ,421.7892015631474,249.48093981047603,1.69066703806539,3.529296810622556e-05,0.456893995233959,80
BUG,195.9094622032233,210.968063815654,0.9286214162462568,0.2063239763460331,0.6118878917119295,44
CGW,6.593788234264326,61.61529841053552,0.10701543941783236,0.002541111077813844,0.2523364380733375,110
DSI,78.40718672860596,74.07475105563805,1.0584873470545153,0.11872690831764138,0.10895695850123366,110
DTCR,383.57758286430425,79.85446257606407,4.803458322682138,0.0018865071753445403,0.5800061900470048,39
EUAD,981.407203477707,-1252.0367046091749,0.7838485883559257,0.8139826784258224,0.3453934424688203,15
FPX,5.9129019839360595,95.3401183906248,0.06201903336966593,0.0060068007635143495,0.2472234793186261,110
GII,1.5130620886581678,64.65355112774462,0.023402613812636676,0.011266667963060716,0.23289314741483835,110
GNR,168.40129935291807,108.39739207689524,1.5535548976441895,0.015021906458678062,0.29019709102590463,110
GRID,196.51765681312042,225.7496435959761,0.8705114820239888,0.04609705486302142,0.16546486980353436,110
GRNY,2349.0830178342403,1308.75324024813,1.7949013959185092,0.007582298790156981,0.7375339508230827,14
GUNR,591.5089622643087,96.71087258661635,6.116261248026074,0.0008594365891079923,0.31708947572183277,110
IFRA,-55.033885003773435,368.2448233210321,-0.14944917489252918,0.16101094608509026,0.4877623159322396,61
IGE,-38.111271727988175,121.39686379009413,-0.3139395083046455,0.197032421007727,0.2207553352948889,110
IGF,687.9699907246744,-15.226239800664644,45.183183749322254,0.0029651377492650056,0.3343925831200122,110
IZRL,42.080011483534015,41.23687252881627,1.0204462390819906,0.08277216812223288,0.41433879596826484,65
JUST,19.696672543658842,11.845770401614374,1.6627599451846986,0.16562552182276966,0.4946714244931888,59
KOMP,-19.252924978294004,40.68450261420133,-0.47322503020040807,0.6625593714738087,0.5607271683503021,55
LIT,227.5816381218202,138.63484971872916,1.6415903979666853,2.3957643730646028e-08,0.4916026424661315,110
MOO,75.43621277163801,95.98919266279496,0.7858823548671933,0.003294766535037571,0.35842772953911806,110
MSOS,-17.327260779099706,62.9526989897754,-0.275242540147706,0.5270531626538468,0.20984994334882223,40
NFRA,164.82776693749796,110.73606536318214,1.488474115428526,0.032241766399905045,0.2937903848843417,110
PAVE,482.0711093467309,890.734634032709,0.541206203203533,6.232484447555607e-05,0.416531795252886,74
PBW,64.07819715691353,28.547285326027506,2.244633646425614,0.002051209828625098,0.47793223250827577,110
PHO,95.00512830241577,69.10647233580758,1.3747645494152763,2.3264129139124576e-07,0.34157221734764776,110
PRNT,-1.1817323683433505,10.674079053467217,-0.11071047557582903,0.40720523385624235,0.5572065257272776,26
PWRD,37.767455717905044,-121.63731028009222,0.3104923615208076,0.688338888118351,0.3768057298464831,26
ROBO,38.35081550807672,281.6695742836705,0.1361553359307934,3.29499104732836e-05,0.35565972746922636,110
ROBT,4.868132500107765,17.488581133401137,0.27836063217331014,0.27536672491610836,0.41818756908268584,63
SAMT,152.06598689649232,170.04616326222734,0.8942629694149119,0.036691951565040494,0.47231886155187,27
SIXG,-150.5202161980482,183.1393694901693,-0.8218889068859,0.8272945428146066,0.3614826122898306,50
SUSA,384.69156626763885,124.79924736552935,3.0824830629058266,0.023422736529564447,0.26812781065016256,110
XT,52.37188643466492,267.1468672667247,0.19604155186433758,0.007690532506496228,0.2758062747340826,98
