ETF,R²,Adj_R²,F_p_value,N,Return_lag1,Return_lag1_pval,Return_lag2,Return_lag2_pval,Return_lag3,Return_lag3_pval
AIQ,0.31061702931655333,0.09849919218318515,0.14981741916314006,69,890.5765994414555,0.07573070756800598,334.0973056051552,0.49798665143915466,1077.8817066278145,0.03145596135633175
ARKB,0.8462688593121934,0.43631915081137596,0.18958258666654687,23,-237.15881181595302,0.6368899770291607,708.2727133229993,0.1489730264257948,55.96721513876216,0.8643334672645029
ARKF,0.6649667692658631,0.5403032415508353,5.682129850309666e-06,60,-31.94743573234743,0.9013578180041473,47.37905583860078,0.8476012257428753,130.7010089126601,0.6189374023162166
ARKG,0.5055631120657023,0.4222895309399257,5.482016816056501e-09,112,778.2994324107544,0.018711481210511197,455.44560321867425,0.17249669270358617,-350.8147893441594,0.29056077715915984
ARKK,0.550500115538892,0.474794871840179,1.049928556936564e-10,112,528.5149516429068,0.24514902538460404,399.6017154923197,0.3669596186939724,-233.49592171769737,0.5969505768091208
ARKQ,0.8227020231704637,0.586304720731082,0.017062550671464186,29,-132.33230176895378,0.17227197192700064,-95.86450550173282,0.28667220139351934,186.78470057446674,0.05088400590048881
ARKW,0.6090276006216727,0.0877310681172363,0.39907784600587903,29,192.91439655205033,0.18749900900407568,40.300051063942384,0.7692852104969176,27.53672704261311,0.8350681958240235
ARKX,0.6590776485542965,0.42191427363554623,0.012559906236107754,40,6.722186743103666,0.9363527088022293,-198.21412430071274,0.023119305604448706,160.78462911026833,0.06952065116900019
ARTY,0.2344894799528059,-0.005670683199255011,0.4949744684640651,68,100.19355343147453,0.29266317479091447,67.37658010653985,0.4755374407018568,147.43219749015174,0.11283268185461866
BKGI,0.5843461035660111,0.030140908320692605,0.4720112860193953,29,182.94526435799156,0.46966974466554634,-13.052617030015675,0.9526229903269525,-192.79551890521748,0.4619649471835393
BLOK,0.29701366931347906,0.09616043197447299,0.14091254849072574,73,-25.52738187738197,0.8333980893897073,-109.56885899121366,0.3500881172703697,28.877765241317345,0.7986213351092936
BOTZ,0.35482019962133393,0.21144691064829702,0.004723230612075103,89,224.4969694574834,0.2560611875394939,167.76801665614255,0.39080191580458035,420.9684449110205,0.03343115102426277
BUG,0.5775073973422274,0.38436792184153146,0.0033502012565400307,52,-133.27978673466166,0.5374726530982943,545.3167331159251,0.013975609620410265,458.2505622128095,0.045739284000750946
CGW,0.1480216309531429,0.014377965220302547,0.35826671638654994,119,71.54522504060466,0.05282831869249934,-4.816974418870991,0.8955295631883984,16.656572518768993,0.6492626458826376
DSI,0.3183491042616129,0.2114234735575521,0.0004448281317746983,119,17.33325219979183,0.8609811151060767,150.81936022961,0.13153562148555625,167.81972832026418,0.08329226584928738
