ETF,Beta_Pos,Beta_Neg,Asymmetry_Ratio,Wald_P,R²,N
AIQ,65.927253862032,-8.400449717391561,7.848062434745838,0.922455073519275,0.32341893126825305,60
ARKB,422.008027099204,-1138.0779898171234,0.3708076519140978,0.03140970495103466,0.9220471073076459,21
ARKF,-203.41925319931718,449.3814065870499,-0.45266504180544626,0.4952585378193386,0.41199563519821625,51
ARKG,289.96330442604165,330.0194147877826,0.8786249882071367,0.017680745929150636,0.39710136024467735,103
ARKK,685.1017828076756,757.9630165009852,0.9038723102485108,0.00023856862915416533,0.3695603392677237,103
ARKQ,138.86015374549262,-107.38977727470181,1.2930481584880278,0.8658422827419229,0.5953786194444813,26
ARKW,55.101574826532875,116.04925360028842,0.4748119709267646,0.3780104926504107,0.575701031760999,26
ARKX,96.86078069384388,-95.34311669051178,1.0159179189438343,0.9806157639757541,0.7705155942990506,35
ARTY,124.29169657887,-37.69616457863776,3.297197419636307,0.140068412220857,0.5292631854249743,59
BKGI,-280.19011098020735,801.1304343235828,-0.3497434362442863,0.028803480201676567,0.73706999251204,26
BLOK,18.609791066466368,88.55993392022208,0.21013781563151035,0.11962195511814795,0.5569090682285912,64
BOTZ,383.95707567553524,247.61248230510682,1.5506369957651218,5.1319229779765285e-05,0.5215944166348925,80
BUG,122.72927942284629,180.24257318512787,0.6809117138867661,0.34053706338465095,0.6674585163080635,44
CGW,6.335112576931803,58.90119396079222,0.10755490934782735,0.003648886471623847,0.282446588023348,110
DSI,85.96139448153697,86.17642531176894,0.9975047603859869,0.06125150253719913,0.23866531057867135,110
DTCR,359.8822055152818,59.98465832367612,5.999570816480507,0.00621403549358505,0.6181182142211008,39
EUAD,1324.8097706806159,-985.3869968308882,1.3444563150735176,0.7988193058784088,0.485055681347474,15
FPX,8.139653843445862,97.38353367120057,0.08358347183136791,0.0036467221858019383,0.2937530091245608,110
GII,1.5889706039734885,64.64227760524743,0.024580981098421283,0.012781426691699937,0.23355823249759733,110
GNR,158.8398299068244,109.75560173661803,1.4472138769554053,0.01840595618324763,0.30789991017714324,110
GRID,190.09731274613856,222.08354145229225,0.8559720882646995,0.054636235274923034,0.1707073703488471,110
GRNY,2647.704726881164,1086.031361970908,2.437963413944292,0.015198995147889712,0.810355365722893,14
GUNR,597.3528460661273,95.9434846984306,6.226090786088558,0.000807140527116025,0.3366210503109447,110
IFRA,-42.63051513808492,356.7824903563748,-0.11948600699407394,0.1689350946262014,0.5069650063850649,61
IGE,-41.74776911205032,121.47502503483027,-0.3436736818953532,0.21434410156710812,0.24901043577438808,110
IGF,689.539603951184,-16.88450741660398,40.83859759350164,0.0032264809399609206,0.3478103962360245,110
IZRL,45.48435477078342,36.94613306937007,1.2310991974554408,0.058080550451499645,0.5507633855426748,65
JUST,16.045986828087273,19.594012303325773,0.8189229740028141,0.12831271534110447,0.5224942743597081,59
KOMP,-26.519377283399702,49.55771918159982,-0.5351210209295916,0.6435757297632082,0.5831647679854417,55
LIT,227.28878328257125,134.49264694287032,1.6899718196424434,4.0727027371058224e-08,0.5001114044238009,110
MOO,71.34111260418341,93.74854718402354,0.7609836605163012,0.0035986182830056858,0.4093321374910348,110
MSOS,-22.671696671954063,65.40967724445053,-0.34661074059767766,0.5639990491760061,0.24875984655315186,40
NFRA,160.9883428680924,106.31446437602733,1.5142656628423308,0.0379888478362324,0.3132557444135149,110
PAVE,484.5713847099298,853.5481294579846,0.5677141897289841,7.20123933393516e-05,0.4639868337849743,74
PBW,63.66201659361667,27.38506525307817,2.324698371367249,0.002667540671666159,0.48327966740841366,110
PHO,94.950419295951,68.01629317886321,1.3959952072992101,3.4183825708611337e-07,0.3487923998562952,110
PRNT,-1.1791529910478846,13.069199382887858,-0.09022381222462696,0.15958568370004766,0.812803074468376,26
PWRD,19.753530984169714,-142.93720155057784,0.13819726963928278,0.6075224057857525,0.4296979824458065,26
ROBO,31.42611962897527,281.47865002845185,0.11164654806252168,3.6049370845641535e-05,0.394673539199927,110
ROBT,5.455264156159601,15.334618688878152,0.3557482756396271,0.3241574748345212,0.42496619437602134,63
SAMT,183.14046976663573,221.95206578022257,0.8251352341454746,0.006405490696505816,0.672665437756679,27
SIXG,-149.96362686558618,177.88670035248697,-0.8430288861867103,0.8608078256087297,0.36410289170009125,50
SUSA,387.4316025441796,151.93635410053852,2.5499598488970614,0.015334701843396359,0.3066375643307011,110
XT,52.92887850893775,269.540805788404,0.196366848255578,0.00808124352300202,0.27732179435232207,98
