lag,direction,F_statistic,p_value,ETF
1,Returns → Flows,0.45159251834261815,0.5038565460310171,AIQ
2,Returns → Flows,0.5059341388750297,0.6052966887471436,AIQ
3,Returns → Flows,1.0538190587543703,0.37525801131513326,AIQ
4,Returns → Flows,0.9056166667685517,0.4666550997110823,AIQ
5,Returns → Flows,0.8035192615750686,0.5519676787373506,AIQ
1,Flows → Returns,0.07699881241982852,0.782248369334375,AIQ
2,Flows → Returns,0.9699949339402179,0.384503871138976,AIQ
3,Flows → Returns,0.7071220752685169,0.551398303279505,AIQ
4,Flows → Returns,0.49917457854857195,0.7363901817445719,AIQ
5,Flows → Returns,0.4404296381278815,0.8183715942931327,AIQ
1,Returns → Flows,0.3851891128528407,0.5372293046550634,ARKF
2,Returns → Flows,0.48493447451867183,0.6182990571567435,ARKF
3,Returns → Flows,0.3780384082712061,0.7692018680565014,ARKF
4,Returns → Flows,0.35241329772167207,0.8411279698386886,ARKF
5,Returns → Flows,0.2823859190823745,0.9204588198350468,ARKF
1,Flows → Returns,0.13366464285548213,0.7159697998718046,ARKF
2,Flows → Returns,0.28457370009275335,0.7534163263933209,ARKF
3,Flows → Returns,0.23077923570732184,0.8745470270980185,ARKF
4,Flows → Returns,0.4411788824432906,0.7782341835537478,ARKF
5,Flows → Returns,0.6800760737153504,0.6407168982139257,ARKF
1,Returns → Flows,2.830384627911088,0.09530728397267521,ARKG
2,Returns → Flows,1.4394069136733176,0.2415794282397268,ARKG
3,Returns → Flows,0.8684706709747437,0.45998544881508807,ARKG
4,Returns → Flows,1.5901332864917668,0.182618439932269,ARKG
5,Returns → Flows,1.2921039230823814,0.2734370862150596,ARKG
1,Flows → Returns,0.4468795505900377,0.5052083361358481,ARKG
2,Flows → Returns,0.32569615493003007,0.7227312196728999,ARKG
3,Flows → Returns,0.6148900259037282,0.6068487641338943,ARKG
4,Flows → Returns,0.9396634247481066,0.4442170389798624,ARKG
5,Flows → Returns,0.7056031657036927,0.6205639782786825,ARKG
1,Returns → Flows,0.8388199492994375,0.36171995155125936,ARKK
2,Returns → Flows,0.6779578279079527,0.5097997321614705,ARKK
3,Returns → Flows,0.3830762616438007,0.7654044584580361,ARKK
4,Returns → Flows,0.6123639832301812,0.6546770833090989,ARKK
5,Returns → Flows,0.5979982419552228,0.7015290273238779,ARKK
1,Flows → Returns,0.0712003908683147,0.7900920570217622,ARKK
2,Flows → Returns,0.5226146790468623,0.5944599498173542,ARKK
