ETF,R²,Adj_R²,F_p_value,N,Return_lag1,Return_lag1_pval
AIQ,0.27654455915331566,0.115776683409608,0.189406437101,23,121.3276188506294,0.04746281490950759
ARKB,0.534842294550748,-0.08536797938158802,0.5717663635061171,8,1.4749189437176335,0.895050111479748
ARKF,0.11617400123354604,-0.11951293177084166,0.7411316758135886,20,90.73349895982591,0.2600990105343247
ARKG,0.11359826123448391,0.0027980438887944548,0.4092273386153485,37,74.34302251191369,0.06526972679914306
ARKK,0.1151241197269759,0.004514634692847852,0.4015500083489779,37,94.38083629046776,0.061910323646299094
ARKQ,0.35959192586793043,-0.15273453343772525,0.6232500834722028,10,40.12521537283945,0.18746529980295495
ARKW,0.622187217093364,0.31993699076805515,0.22421366288938446,10,7.43484081971425,0.26884527579886375
ARKX,0.2297270471289925,-0.11261648748034414,0.6283521716725227,14,49.16692839241955,0.342780176689699
ARTY,0.1465671877744159,-0.04308454827571406,0.556986130569697,23,38.33194298217899,0.34128096178140466
BKGI,0.507885996076044,0.11419479293687917,0.385598765995734,10,-7.369823886601367,0.9680460262247408
BLOK,0.11910508234909134,-0.06634647926162618,0.6389457386598636,24,41.255801361358294,0.37784892418176763
BOTZ,0.08531772599211596,-0.06103143784914544,0.6778096081309102,30,14.165541416206509,0.9716402120532159
BUG,0.46551744877209367,0.2873565983627916,0.08842926601094135,17,701.2172957558732,0.016568296544819776
CGW,0.1454668471756243,0.04780591542426704,0.22644061689952819,40,10.585378701575808,0.3173344601486315
DSI,0.336594646325719,0.2607768916200869,0.0052405496638846935,40,-3.6476820563479455,0.7770535410707932
DTCR,0.2081541856552287,-0.10858414008267969,0.6353271077533975,15,22.062622171512906,0.9480422887037717
FPX,0.08452378505894265,-0.02010206807717818,0.528602597114002,40,18.547599722990515,0.20826296156863622
GII,0.08097898770355705,-0.02405198513032225,0.551436664584173,40,44.96283669848097,0.2941998780926357
GNR,0.24345773516919833,0.1569957620456781,0.03986656316351382,40,52.608556865114295,0.0026343672405799755
GRID,0.42058183520809067,0.35436261637472954,0.0005950830733112624,40,188.33242037752902,1.5441285887468616e-05
GUNR,0.33088524673572794,0.2544149892198111,0.006000146167907228,40,71.811697738308,0.0002948372866443657
IFRA,0.2882964412840535,0.13014009490273204,0.16840346338520357,23,431.3210608476717,0.025240694774212404
IGE,0.10401833854369624,0.0016204343772614482,0.4126037242954985,40,31.743660671343,0.0663713067660996
IGF,0.13880713220871277,0.0403850901754228,0.2508653734789654,40,35.893825752763284,0.2773794227063278
IZRL,0.3116678989655819,0.1740014787586983,0.0982940524847817,25,307.36706093700417,0.08217501481379157
JUST,0.38318316682292153,0.24611275945023736,0.0574955255251817,23,101.73969023638918,0.016303369982592075
KOMP,0.23732804798846596,0.046660059985582425,0.3318135691009855,21,206.38015259215982,0.35815816093719477
LIT,0.13872171045860493,0.040289905939588366,0.2511916371852124,40,85.766457733836,0.028718617721840253
MOO,0.22596118108989804,0.13749960178588638,0.05601857932878426,40,77.62826375047024,0.04438620922740964
MSOS,0.1513721301407419,-0.15721982253535183,0.7430193973004315,16,-154.03733671593588,0.6128936424844793
NFRA,0.06845806217271877,-0.038003873578970504,0.6354378329601456,40,20.65195428066849,0.555939722248146
PAVE,0.17355740786868,0.029828261411059098,0.3345605573535864,28,194.2318843558101,0.1558072570722723
PBW,0.5024119760521022,0.4455447733151996,4.854050436539159e-05,40,69.32591104669372,2.5506555671432306e-06
PHO,0.05969033655584144,-0.047773624980633755,0.6963779886545824,40,6.48646165353104,0.4578411030786842
PRNT,0.7262568636301061,0.507262354534191,0.11039148012049826,10,7.235463527669395,0.23859899061915987
PWRD,0.2841604255891157,-0.2885112339395919,0.7415445007704135,10,48.19954393346238,0.7482566904153258
ROBO,0.0786357548073563,-0.026663016071803103,0.5667847064343154,40,45.431033992244664,0.47675899820049894
ROBT,0.12636617197646915,-0.05755673918637938,0.6097430449997405,24,39.79714983067795,0.35560717247421725
SAMT,0.14203674111209263,-0.5443338659982333,0.9239329587055549,10,128.90901193869792,0.4575665510470962
SIXG,0.17853541815713325,-0.04052180366763114,0.5351178634965731,20,-72.61558311020114,0.7837926587849098
SUSA,0.13922630298973704,0.04085216618856413,0.24926919705824954,40,-6.727084127103506,0.8186337171861465
XT,0.10584088978295603,-0.009534479277307772,0.4662525487105379,36,14.433537712965908,0.4607392282168644
