lag,r_squared,coefficient,p_value,f_statistic,f_pvalue,ETF
1,0.16339100822703378,5.365283647371322,0.08495486862789678,4.10133193225211,0.055747727314477045,AIQ
2,0.0861788872143524,11.726041571828938,0.00118973371215499,1.886121605390555,0.18484126601672016,AIQ
3,0.025435368301073513,11.385520822884743,0.0017955386820694638,0.4958850157304857,0.4898555491754055,AIQ
4,0.0190667933958929,9.784264542141498,0.006632669207312388,0.3498732419449894,0.5615407160258066,AIQ
5,0.005522463990947246,11.756293560936907,0.003273852542540483,0.09440322626377458,0.7623842435909283,AIQ
6,0.010038631230397943,11.200816961126167,0.005556941650904631,0.16224683583965946,0.6924270886391787,AIQ
7,0.014693871159963345,11.629108250817822,0.005812637203030767,0.22369501310108345,0.6430476723106618,AIQ
8,0.030404070340521283,9.988441800204273,0.010510000751773217,0.4390045087305483,0.5183631924941396,AIQ
9,0.0003975153464964576,10.737794204326196,0.00995874730675954,0.005169754561229547,0.9437751118980631,AIQ
10,0.035977740475295894,9.409927777990344,0.024314651622836272,0.44784534945947113,0.516028985928754,AIQ
11,0.06393772946642706,13.392985942688899,0.0032072193709647124,0.7513549539068539,0.40455910331371975,AIQ
12,0.03684468839024324,11.65477551826504,0.011688203094494651,0.3825415065059792,0.5500737373506224,AIQ
1,0.08855741000460904,5.495503585853648,0.4221011591586369,1.7489125454308896,0.2025717134141831,ARKF
2,0.0008645044840863703,9.452256622979833,0.2325265560556579,0.014709292478773266,0.9048898041051359,ARKF
3,0.015219521311727435,11.107859558835687,0.18072088903227768,0.24727575968199275,0.6257637650832012,ARKF
4,0.0096578264202819,11.024944029601262,0.1992448579302099,0.14628014454901722,0.7074805958841506,ARKF
5,0.00596198930630476,6.070568431069043,0.40081111110821777,0.08396846940492572,0.7762371759720283,ARKF
6,8.330022534863701e-06,0.49780436973168696,0.9177316486395748,0.00010829119502129497,0.991855122525928,ARKF
7,0.24731058733902145,-4.116361774877657,3.827612437846443e-05,3.9428308650927737,0.07040295896871586,ARKF
8,0.04249974754912389,-3.4785083600980964,0.0012522792941745367,0.4882476237930256,0.4992171381965006,ARKF
9,0.2896450589212737,-2.9595815389509883,0.0023679839439196106,4.077469475772581,0.0710663142273152,ARKF
10,0.002543147781475019,-3.1528795661741276,0.0032648104741346356,0.022946686849027148,0.8829369486208813,ARKF
1,0.10195826483005421,9.483695235501344,0.005329275230824462,3.9736897844470302,0.05405637655250927,ARKG
2,0.03433460025078239,9.180204760324365,0.008756191654336063,1.208882920346704,0.2792779542059655,ARKG
3,1.6667496948175042e-06,9.862111399401982,0.007249509440740586,5.500283160447521e-05,0.9941272856540432,ARKG
4,0.030123642526258432,9.72510165298246,0.008552192885267536,0.9938963388602515,0.32627129348053874,ARKG
5,0.022539067595612305,10.015149613190847,0.008951869899943815,0.7148225287585361,0.40432621117317824,ARKG
6,0.009041205707881361,11.112053988321755,0.005637163439422703,0.273710847311462,0.6046964414919729,ARKG
7,0.0009896047947113296,11.237769275698602,0.006603633466643873,0.028726967391296036,0.8665877711330062,ARKG
8,0.001958702440828408,11.688605205038293,0.006549831928964975,0.05495130159174963,0.8163670188261851,ARKG
9,0.01126750971252144,12.184582573467033,0.006407506261683788,0.3076896584531429,0.5836676692713275,ARKG
10,0.02193949958229724,12.51242083431952,0.006423603533605432,0.5832226011541367,0.4519268319316244,ARKG
11,0.001839991362075577,10.59990047841302,0.021418891168656723,0.046084579279687746,0.8317636213054866,ARKG
12,0.0041552997879288345,10.362638521627566,0.028480180827712066,0.10014332042843097,0.7543937568083475,ARKG
13,0.014671062523591738,8.512619261796747,0.08051388716700054,0.3424586706108875,0.5641113642429705,ARKG
14,0.04202471975809963,9.052035089223974,0.04906385630081036,0.965101974703078,0.3365858950551077,ARKG
