model,r2,beta_lag1,beta_lag1_p,f_stat,n_obs,n_etfs,gate_pass,extra_json,experiment_id,factors,freq,flow_unit,benchmark,r2_delta_bp
univariate_r2_by_lag,0.15032335623288529,2.756725437686331,0.13415907134043178,,44,44,False,"{""best_lag"": 7, ""best_r2"": 0.159943423073183}",N-ADE,A+D+E,ME,raw,SPY,1267.9070644538072
multilag_ols,0.20228182357994207,94.31703242182257,0.23912292029511478,0.043623118346386505,3494,44,False,{},N-ADE,A+D+E,ME,raw,SPY,1215.6357661841744
multilag_ols_month_fe,0.29493419506186325,93.53533670758637,0.2973404739088822,0.13239852115487574,3494,44,False,{},N-ADE,A+D+E,ME,raw,SPY,1058.3295109992264
cross_correlation,,0.14077720170742947,0.22543069631416623,,0,44,False,"{""best_lag"": 1, ""best_corr"": 0.14077720170742947}",N-ADE,A+D+E,ME,raw,SPY,
panel_pooled,0.0738843531522494,227.3156249647963,0.009131004693786693,45.61031261834819,3494,44,True,"{""r2_overall"": 0.07276960406295929, ""r2_between"": 0.0384051949622749}",N-ADE,A+D+E,ME,raw,SPY,387.8783478535353
panel_entity_fe,0.07389076088587831,222.22219682088846,0.009211408385685127,45.79729362063687,3494,44,True,"{""r2_overall"": 0.0727633060728019, ""r2_between"": 0.038387486664144266}",N-ADE,A+D+E,ME,raw,SPY,387.9349176461888
panel_entity_time_fe,-111.60941269793459,-0.253641832696985,0.9832621760862597,20052.713745306,3494,44,False,"{""r2_overall"": -108.64391843189078, ""r2_between"": -18.397059397695845}",N-ADE,A+D+E,ME,raw,SPY,-1116439.6907650717
panel_entity_fe_excess,0.07970222203693555,-4.117479689033429,0.9359680671969128,33.111908944191725,3494,44,False,"{""r2_overall"": 0.07874758587862529, ""r2_between"": 0.04908766866472869}",N-ADE,A+D+E,ME,raw,SPY,373.80661081999887
panel_entity_fe_controls,0.07441588524584608,226.90098961850657,0.006431757353245748,39.54474165746546,3494,44,True,"{""r2_overall"": 0.07187304634590541, ""r2_between"": 0.03807137733539767}",N-ADE,A+D+E,ME,raw,SPY,383.6315677386426
asymmetry,0.5437844043167056,42.01434131688275,,,3170,44,False,"{""beta_pos_median"": 42.01434131688275, ""beta_neg_median"": 67.57909601895031, ""asymmetry_ratio_median"": 0.48839568004071937, ""wald_p_median"": 0.20860688432542496}",N-ADE,A+D+E,ME,raw,SPY,2116.898093672301
relative_performance,0.412961231931474,,,,3170,44,False,"{""r2_absolute_median"": 0.2079703178542815, ""r2_excess_median"": 0.24972140301386148, ""r2_combined_median"": 0.412961231931474}",N-ADE,A+D+E,ME,raw,SPY,575.6778995050521
granger,,,0.38702685659650093,0.7538359182964018,0,41,False,"{""pct_significant_lag1"": 0.07317073170731707}",N-ADE,A+D+E,ME,raw,SPY,
seasonality,,,,,3626,44,False,"{""jan_mean"": 58.62651739130434, ""best_month"": 1, ""worst_month"": 8}",N-ADE,A+D+E,ME,raw,SPY,
drawdown,0.004964979948216763,-0.22275489736596502,0.7860682369609197,,524,41,False,"{""1m"": {""beta_depth"": -0.22275489736596502, ""beta_depth_p"": 0.7860682369609197, ""r2"": 0.004964979948216763}, ""2m"": {""beta_depth"": -1.2519881020193604, ""beta_depth_p"": 0.1537019848138771, ""r2"": 0.023606854884341444}, ""3m"": {""beta_depth"": -1.2153676280656354, ""beta_depth_p"": 0.25520960473181525, ""r2"": 0.01576364126374341}, ""6m"": {""beta_depth"": 2.657967687025449, ""beta_depth_p"": 0.28210887611797125, ""r2"": 0.00863092911193597}}",N-ADE,A+D+E,ME,raw,SPY,-146.4697420402905
