ETF,Beta_Pos,Beta_Neg,Asymmetry_Ratio,Wald_P,R²,N
AIQ,-81.33843783374213,265.83569839877754,-0.30597259255875836,0.8339588637319388,0.2456404655174872,60
ARKB,167.63053133117626,-685.9495575829324,0.24437734448266552,0.18891694278171317,0.7828900497425455,21
ARKF,-87.51550924054914,-28.37553619520268,-3.0841887405583184,0.6668264081814531,0.6760792144098822,51
ARKG,-190.93971741724417,-8.62452370636249,-22.13916082999273,0.42121247005050266,0.584161117623011,103
ARKK,-354.8070857760274,297.95064096368554,-1.1908250461500822,0.8769162551496463,0.5989552240874978,103
ARKQ,37.770357850890576,-54.55786690615245,0.6922990210717209,0.8707405752289101,0.853689964875679,26
ARKW,72.47866047144264,118.51011640360572,0.6115820545193342,0.2823151918254523,0.5916454598225465,26
ARKX,47.23673879164436,-51.69043129070444,0.913839130611762,0.942721180637291,0.7599359429654018,35
ARTY,122.85624361360901,-23.61339338102857,5.202820349925393,0.16132173308252262,0.49251625986114156,59
BKGI,-318.3654493680299,503.5963681441884,-0.6321837676098496,0.40650825685951586,0.7569135781084666,26
BLOK,18.84865800313136,23.187252374813156,0.8128888105606451,0.5192695802640819,0.6231239294076076,64
BOTZ,458.7217123899273,270.4636204017042,1.696056984331623,8.019437088507429e-05,0.4618353520109546,80
BUG,131.15444134223745,147.00541189327615,0.8921742380304591,0.385179235572906,0.6534953907150778,44
CGW,10.232464300596822,74.06601023279465,0.13815330768371983,0.0011041444487878292,0.2678101407617912,110
DSI,91.23237619417851,97.26542456539386,0.9379733507752369,0.0987740059969533,0.11307915446407846,110
DTCR,298.360782370387,68.71394566620629,4.342070295595348,0.0007871565274764241,0.8083795664815999,39
EUAD,807.2560522597263,-1442.3803143203106,0.5596693495086472,0.6214464109715645,0.3989864797886017,15
FPX,2.9972955903073264,90.60846748065292,0.03307964115988741,0.0288591259341091,0.24834217690694071,110
GII,1.451592178964739,70.02537650105214,0.02072951623391741,0.021262234975874917,0.2338526526739908,110
GNR,141.18455682504455,85.22600539489746,1.656590100296985,0.053801511700777106,0.30850142636280553,110
GRID,298.25683211638324,381.22115402558023,0.7823721977830485,0.02067100414098836,0.1816527106591006,110
GRNY,2399.8561234665963,583.3572855186078,4.113870149634132,0.018556058769691075,0.8310594347105675,14
GUNR,514.3709084775413,36.637718400514046,14.039381569959456,0.011922969204506988,0.3381249253619868,110
IFRA,-31.957000026458235,325.76722638836486,-0.0980976520589599,0.20887796395315888,0.48930859131085147,61
IGE,-33.42429774559834,111.08370985560977,-0.30089288329534847,0.2282622942753649,0.23528891726200618,110
IGF,676.5140276629116,231.63755908999119,2.920571388857046,0.0007564655808450318,0.3555432347400884,110
IZRL,20.790042101445998,-33.15956352940811,0.6269697151775838,0.7438901424705155,0.6973122408363295,65
JUST,17.73138062461599,-0.10586301762559991,167.4936254634798,0.502551146641633,0.5105127183868332,59
KOMP,-24.648402992971786,33.79792914982927,-0.7292873739010218,0.8969608100409531,0.5616525289048093,55
LIT,165.16079670509217,65.32906251072107,2.528136641758602,0.00033352240562463327,0.5904711871096966,110
MOO,31.317155877502643,49.28601739163431,0.6354166462396765,0.175487567889398,0.44221890390521723,110
MSOS,-16.785941910912864,62.58085643159299,-0.2682280631499753,0.5362474529164531,0.20994268444182862,40
NFRA,149.37225438232412,56.76544114916195,2.6313942313919525,0.17826323968293373,0.2995482407022796,110
PAVE,483.2356678464192,834.3855865322012,0.5791515045877051,0.00024011920613100312,0.42003180242716553,74
PBW,-15.08137996197675,-13.192889870897396,-1.1431445353944198,0.35262283044539877,0.6530507421887819,110
PHO,94.50573436910385,84.5766538597602,1.1173974147263788,1.381310488070875e-07,0.355307529136644,110
PRNT,0.7583536046246472,6.205503640748165,0.12220661666282037,0.5481792964776531,0.5958406637666871,26
PWRD,-1.024617900314657,7.469440485096641,-0.13717465215219535,0.9715292423132588,0.5878732515988832,26
ROBO,40.9893204540087,283.1298051542391,0.14477218472876485,0.0005876723084326132,0.3557050722473133,110
ROBT,-0.785196185248795,12.09786466881456,-0.0649037005078132,0.6803266005850693,0.4239922449677017,63
SAMT,101.6778511109511,130.28804290903724,0.7804081544300974,0.08674610810626188,0.639241852341629,27
SIXG,-134.06647513800323,-18.574907965137395,-7.217611812108462,0.1674708392639951,0.7110956791175475,50
SUSA,331.4726682481478,23.694441832626264,13.989469369636032,0.17207277233381957,0.27950425911670596,110
XT,101.57095482462641,293.7455931054592,0.3457786506712319,0.010033031211448055,0.28239194205431906,98
