model,r2,beta_lag1,beta_lag1_p,f_stat,n_obs,n_etfs,gate_pass,extra_json,experiment_id,factors,freq,flow_unit,benchmark,r2_delta_bp
univariate_r2_by_lag,0.09253752195925413,89.13969102829728,0.27666139049198024,,44,44,False,"{""best_lag"": 4, ""best_r2"": 0.10657377612352353}",N-AE,A+E,ME,raw,SPY,690.0487217174955
multilag_ols,0.14780282145834472,118.80157913980051,0.2476974186506881,0.03087640894300074,3494,44,False,{},N-AE,A+E,ME,raw,SPY,670.845744968201
multilag_ols_month_fe,0.2949341950618632,93.53533670758844,0.2973404739088451,0.13239852115487574,3494,44,False,{},N-AE,A+E,ME,raw,SPY,1058.3295109992257
cross_correlation,,0.14077720170742947,0.22543069631416623,,0,44,False,"{""best_lag"": 1, ""best_corr"": 0.14077720170742947}",N-AE,A+E,ME,raw,SPY,
panel_pooled,0.07284748589455425,214.0783824647219,0.010383338739863524,67.37124871511254,3494,44,True,"{""r2_overall"": 0.07170043121868463, ""r2_between"": 0.03835376016623582}",N-AE,A+E,ME,raw,SPY,377.50967527658383
panel_entity_fe,0.07285314192541303,209.28658499574198,0.010679643199615452,67.69475754799377,3494,44,True,"{""r2_overall"": 0.07169486309767514, ""r2_between"": 0.03833042074765458}",N-AE,A+E,ME,raw,SPY,377.558728041536
panel_entity_time_fe,-111.60941269793459,-0.253641832696985,0.9832621760862597,20052.713745306006,3494,44,False,"{""r2_overall"": -108.64391843189078, ""r2_between"": -18.397059397695845}",N-AE,A+E,ME,raw,SPY,-1116439.6907650717
panel_entity_fe_excess,0.07862200448735845,-27.379287047478915,0.5591064028756874,41.97060780829452,3494,44,False,"{""r2_overall"": 0.07764809701826358, ""r2_between"": 0.04951512301282868}",N-AE,A+E,ME,raw,SPY,363.00443532422787
panel_entity_fe_controls,0.07333198579330025,213.51728012062853,0.007612906408172471,54.52409863832163,3494,44,True,"{""r2_overall"": 0.07083972333714594, ""r2_between"": 0.03844949151417276}",N-AE,A+E,ME,raw,SPY,372.79257321318426
asymmetry,0.4909124255859965,39.379839152449634,,,3170,44,False,"{""beta_pos_median"": 39.379839152449634, ""beta_neg_median"": 67.02150408846367, ""asymmetry_ratio_median"": 0.5953667795535197, ""wald_p_median"": 0.18359009123232345}",N-AE,A+E,ME,raw,SPY,1588.17830636521
relative_performance,0.412961231931474,,,,3170,44,False,"{""r2_absolute_median"": 0.2079703178542815, ""r2_excess_median"": 0.24972140301386148, ""r2_combined_median"": 0.412961231931474}",N-AE,A+E,ME,raw,SPY,575.6778995050521
granger,,,0.38702685659650093,0.7538359182964018,0,41,False,"{""pct_significant_lag1"": 0.07317073170731707}",N-AE,A+E,ME,raw,SPY,
seasonality,,,,,3626,44,False,"{""jan_mean"": 58.62651739130434, ""best_month"": 1, ""worst_month"": 8}",N-AE,A+E,ME,raw,SPY,
drawdown,0.004964979948216763,-0.22275489736596502,0.7860682369609197,,524,41,False,"{""1m"": {""beta_depth"": -0.22275489736596502, ""beta_depth_p"": 0.7860682369609197, ""r2"": 0.004964979948216763}, ""2m"": {""beta_depth"": -1.2519881020193604, ""beta_depth_p"": 0.1537019848138771, ""r2"": 0.023606854884341444}, ""3m"": {""beta_depth"": -1.2153676280656354, ""beta_depth_p"": 0.25520960473181525, ""r2"": 0.01576364126374341}, ""6m"": {""beta_depth"": 2.657967687025449, ""beta_depth_p"": 0.28210887611797125, ""r2"": 0.00863092911193597}}",N-AE,A+E,ME,raw,SPY,-146.4697420402905
