ETF,R²,Adj_R²,F_p_value,N,Return_lag1,Return_lag1_pval,Return_lag2,Return_lag2_pval,Return_lag3,Return_lag3_pval
AIQ,0.06958932069246526,0.026811818195567216,0.1747209990989769,92,178.30682041075488,0.5668620627884082,53.07152698271996,0.8632971234729268,309.56997501215176,0.31409755214153556
ARKB,0.33221557012477365,0.19162937436156813,0.08968613104689059,24,-701.8489325715773,0.05538362186792076,707.4021033686275,0.029246456788114394,146.52633144973152,0.6306006087531855
ARKF,0.06979332988847087,0.02209042372890524,0.22149701394377347,83,182.8618450117747,0.32099001890875833,189.4470667938431,0.3070959273608549,224.2198400931314,0.22920242615769612
ARKG,0.13561767669718494,0.10902129751863687,0.0007547079022034566,135,873.6470579360249,0.0013079193311353217,722.896671967652,0.00747764527708673,267.99780410093905,0.31550120301234713
ARKK,0.1442312489835912,0.11789990279847096,0.00041606095605027844,135,777.9541085715479,0.0521818049449629,1074.739758841742,0.007709601985587764,278.5006226624777,0.48337749935834884
ARKQ,0.1750041855099611,0.07794585439348589,0.15101656082289414,39,15.044283057717134,0.7971746828126536,-65.54652452935453,0.26479483617526284,138.37720549243963,0.023150475240750888
ARKW,0.08527207690429606,-0.022342972871669087,0.5383473536739709,39,129.31655576738817,0.14359270584775408,65.5820257139897,0.4515242092726799,-1.643041730372892,0.9851198894288011
ARKX,0.0945742716896929,0.026240254458726353,0.25202229631777245,58,-31.023873631096585,0.617882340404623,-108.61507441653958,0.08171049309500593,71.74021411807574,0.2391808016016195
ARTY,0.05129804236696611,0.007172369918917898,0.3330579678438577,91,-49.05329757049813,0.554488400259658,-89.29899710398313,0.2836097792104236,-1.7104767449108778,0.9834252011032476
BKGI,0.1358035524249357,0.031052467870382516,0.29157652140145496,38,274.7061109905732,0.03485651275917216,86.11605604638544,0.5400348885551007,-26.730545876392043,0.8345035316147955
BLOK,0.04558600229468135,0.003633738659282626,0.3679182363860638,96,109.54522424043711,0.13171474572611752,-86.51967547673118,0.238223622929559,-50.75553884494687,0.483554238812534
BOTZ,0.09240147746990424,0.05847256073980722,0.033216814267485434,112,127.58999339414012,0.37015852601626986,9.650348913590452,0.9453989410379529,144.73321496647253,0.30370187586651654
BUG,0.120990254854773,0.07076112656076006,0.05736771288635078,75,-17.57066579296373,0.8986174345369935,386.1921834159553,0.0067964216805477635,157.04536685299075,0.26485696598923425
CGW,0.030998029053191822,0.002706000704379985,0.36129502027286403,142,-85.30497023914769,0.33523385372290637,-120.4437612050565,0.1715841068689028,-101.83607666132063,0.23943215507068694
DSI,0.04075449720340574,0.012747329238541716,0.2192912965723237,142,-220.18710416742468,0.09460832486101252,-243.52441252965784,0.06228951411414402,-119.79986545879132,0.35000830625237356
DTCR,0.05424397422003879,-0.010980579282027447,0.5105601115816156,63,7.27595659170456,0.9544631756963643,-50.34285350298444,0.6830894944635769,54.37190285488537,0.6729434327443848
EUAD,0.49145010286671653,0.2880301440134032,0.11759766645393549,15,-125.1298947297275,0.8667681895738923,20.60917975747617,0.9754888520965068,-708.1527480158613,0.3282564996015366
FPX,0.1169532425249753,0.09117085544541259,0.0017975077419047723,142,-86.02239705143916,0.1920936896176844,-125.42972610831927,0.05513391675243111,-109.13772084363043,0.09406196113250344
GII,0.03994939159422706,0.01191871689624835,0.22888459915001588,142,-123.75912464544504,0.1824430477214865,-180.11683069059058,0.053809647744698104,-116.7890331633159,0.2082219061868584
GNR,0.03327942204810996,0.005054003713748201,0.32280645505342304,142,203.46626306176728,0.15059950405730213,204.5463761161543,0.1554888456962559,162.08465901482577,0.2575746289110057
GRID,0.0216323583473067,-0.00693312024109316,0.554832879396052,142,261.7383769177329,0.24917816476931215,33.694731907713006,0.8832846236008568,80.82804754451685,0.721944402225257
GRNY,0.785727138351732,0.6904947553969463,0.004425919302574225,14,2675.622045365224,0.0027709617433918777,919.1805198448357,0.2123668098007097,2630.9404141817686,0.00266644459608663
GUNR,0.19832379867824534,0.174917194260092,3.8711740752294404e-06,142,546.0558475985188,0.013067075939214067,476.0339647986416,0.03174490380133788,643.4074289707163,0.00402260311582834
IFRA,0.01048141540451708,-0.03449670207709565,0.9190908221464734,93,-44.236899644409284,0.8619418519661591,183.44928806076734,0.4784839115144617,-90.7859737877656,0.7176253187672863
