ETF,Beta_Pos,Beta_Neg,Asymmetry_Ratio,Wald_P,R²,N
AIQ,,,,,,26
ARKB,inf,-inf,,,,8
ARKF,,,,,,24
ARKG,,-inf,,,,37
ARKK,inf,-inf,,,,37
ARKQ,,-inf,,,,12
ARKW,,,,,,12
ARKX,,-inf,,,,17
ARTY,inf,-inf,,,,26
BKGI,,-inf,,,,12
BLOK,,-inf,,,,27
BOTZ,,,,,,32
BUG,,,,,,21
CGW,,,,,,40
DSI,inf,-inf,,,,40
DTCR,-inf,,,,,18
FPX,,-inf,,,,40
GII,,-inf,,,,40
GNR,,-inf,,,,40
GRID,,-inf,,,,40
GUNR,,-inf,,,,40
IFRA,,,,,,26
IGE,,-inf,,,,40
IGF,,-inf,,,,40
IZRL,,,,,,28
JUST,,,,,,26
KOMP,,,,,,24
LIT,,-inf,,,,40
MOO,,-inf,,,,40
MSOS,,,,,,19
NFRA,,-inf,,,,40
PAVE,,,,,,30
PBW,inf,-inf,,,,40
PHO,,-inf,,,,40
PRNT,inf,,,,,12
PWRD,,-inf,,,,14
ROBO,-inf,-inf,,,,40
ROBT,,,,,,27
SAMT,,,,,,14
SIXG,,,,,,24
SUSA,-inf,-inf,,,,40
XT,,,,,,36
