model,r2,beta_lag1,beta_lag1_p,f_stat,n_obs,n_etfs,gate_pass,extra_json,experiment_id,factors,freq,flow_unit,benchmark,r2_delta_bp
univariate_r2_by_lag,0.056923240530514285,-0.17471072155827802,0.4156567178643246,,44,44,False,"{""best_lag"": 8, ""best_r2"": 0.08230683745278056}",N-BCD,B+C+D,ME,raw,SPY,333.90590743009705
multilag_ols,0.08241295569236712,-9.085155644767944,0.1948765797331834,0.2582710894065064,4360,44,False,{},N-BCD,B+C+D,ME,raw,SPY,16.94708730842487
multilag_ols_month_fe,0.18861176904348137,-15.983302834118504,0.21380729909533452,0.43570127174665135,4360,44,False,{},N-BCD,B+C+D,ME,raw,SPY,-4.8947491845924285
cross_correlation,,0.012891697559803851,0.29513572868807747,,0,44,False,"{""best_lag"": 11, ""best_corr"": 0.08763388636372021}",N-BCD,B+C+D,ME,raw,SPY,
panel_pooled,0.011734702068945113,149.58303608778368,0.04603851488385802,8.815018061457042,4360,44,True,"{""r2_overall"": 0.01200440934018765, ""r2_between"": 0.008278321952037704}",N-BCD,B+C+D,ME,raw,SPY,-233.61816297950756
panel_entity_fe,0.011738241472322275,146.14639044040197,0.049286763891355445,8.532122235354773,4360,44,True,"{""r2_overall"": 0.012000914260888007, ""r2_between"": 0.00807720229694453}",N-BCD,B+C+D,ME,raw,SPY,-233.59027648937158
panel_entity_time_fe,-0.0019319641699329093,292.36803097614387,0.0019114630710339586,34.33308926856886,4360,44,True,"{""r2_overall"": -0.001152548889237437, ""r2_between"": 0.006515682863010408}",N-BCD,B+C+D,ME,raw,SPY,-364.88342742527215
panel_entity_fe_excess,0.019633995757207368,-71.60966651268811,0.19196566584375252,9.584132565493206,4360,44,False,"{""r2_overall"": 0.02003044083155814, ""r2_between"": 0.01962695162604855}",N-BCD,B+C+D,ME,raw,SPY,-226.87565197728298
panel_entity_fe_controls,0.012774020097935268,152.0231440618491,0.04174256720403147,7.965067735622399,4360,44,True,"{""r2_overall"": 0.010990511047747509, ""r2_between"": 0.012173354480701004}",N-BCD,B+C+D,ME,raw,SPY,-232.78708374046553
asymmetry,0.41153989161643323,-10.099649845495236,,,4009,44,False,"{""beta_pos_median"": -10.099649845495236, ""beta_neg_median"": 59.40133737562003, ""asymmetry_ratio_median"": -0.07070865764388651, ""wald_p_median"": 0.16598261681982335}",N-BCD,B+C+D,ME,raw,SPY,794.4529666695771
relative_performance,0.3299347440139892,,,,4009,44,False,"{""r2_absolute_median"": 0.20497497664449654, ""r2_excess_median"": 0.2182999248853436, ""r2_combined_median"": 0.3299347440139892}",N-BCD,B+C+D,ME,raw,SPY,-254.58697966979582
granger,,,0.4762324312484091,0.5111399058407144,0,41,False,"{""pct_significant_lag1"": 0.07317073170731707}",N-BCD,B+C+D,ME,raw,SPY,
seasonality,,,,,4492,44,False,"{""jan_mean"": 3.385308322207807e-15, ""best_month"": 1, ""worst_month"": 12}",N-BCD,B+C+D,ME,raw,SPY,
drawdown,0.026132931576554608,-1.03100657795921,0.1700080816360915,,729,42,False,"{""1m"": {""beta_depth"": -1.03100657795921, ""beta_depth_p"": 0.1700080816360915, ""r2"": 0.026132931576554608}, ""2m"": {""beta_depth"": -1.191911155240634, ""beta_depth_p"": 0.16145596197340506, ""r2"": 0.016623660925718542}, ""3m"": {""beta_depth"": -1.6162067241785996, ""beta_depth_p"": 0.2854471409497362, ""r2"": 0.00640063520130596}, ""6m"": {""beta_depth"": 1.1075485168709864, ""beta_depth_p"": 0.7254417508695057, ""r2"": 0.0072411221139182524}}",N-BCD,B+C+D,ME,raw,SPY,65.20977424308794
