ETF,R²,Adj_R²,F_p_value,N,Return_lag1,Return_lag1_pval,Return_lag2,Return_lag2_pval,Return_lag3,Return_lag3_pval
AIQ,0.028897738763227987,-0.004208020142571156,0.4583624010814964,92,305.9614025604285,0.32321632563189606,137.6579969130133,0.6571190311148368,374.62336426613604,0.22820144373312792
ARKB,0.3294736042103821,0.22889464484193944,0.04237729713880599,24,-679.1777741206531,0.05048640633215797,689.7851300211219,0.025812328062930812,126.4541406768829,0.6612016849037445
ARKF,0.039064616574842614,0.00257339948274804,0.36647690765991725,83,156.30168727008393,0.3985632284936008,160.66696576458983,0.3883337375575495,196.6441443914445,0.2937395340230008
ARKG,0.11640361035161617,0.0961685785276074,0.0009968401767262063,135,858.3336268438018,0.001686332503812286,696.8759762635318,0.010244721813884777,260.09064566804864,0.3332997751118938
ARKK,0.05384934272978703,0.0321817704258891,0.06352386667850977,135,616.6233552854148,0.1381438979684555,916.0968825608579,0.02845315948273319,165.12056153457365,0.6905063953730416
ARKQ,0.17497933587683268,0.10426327895198984,0.07766767558336549,39,14.95827032897081,0.79517510330147,-65.79692080001226,0.2517016979767625,138.32852125386432,0.021193438255507603
ARKW,0.07538130759623451,-0.0038717231812310793,0.4265451343937334,39,127.55209921313822,0.14490753051589497,59.35380395747477,0.4881677218363636,-3.7366538063974435,0.9658243092725556
ARKX,0.08480148287994427,0.033957120817718955,0.18477017192012357,58,-14.78564061368209,0.798890837443665,-93.89712390190626,0.11008813417507163,82.01999078198374,0.1664671506844568
ARTY,0.007144613129542843,-0.027091779521162707,0.8901371041119277,91,-21.54698429878083,0.7955717313685555,-61.00466830620839,0.4639943763395984,11.065487911416952,0.8945598062288296
BKGI,0.13570878401845243,0.059447794373021834,0.16962048216232212,38,276.05290972863514,0.028888101100239955,88.63516670668301,0.5021443792130384,-24.618200752484938,0.8389131961164187
BLOK,0.045032160930258525,0.013891905308419217,0.2345286045066834,96,107.63863399890214,0.13385998209258498,-89.10011497411314,0.21671638432582954,-52.36358843861291,0.46543040150461024
BOTZ,0.037519759968712596,0.010784197745621338,0.2458081412486757,112,196.89930931117848,0.17022270351276175,72.64686393349264,0.6095804713500853,185.0005845046294,0.19735679335110526
BUG,0.11188683344254491,0.0743609249964553,0.03701656534172393,75,-26.44299264907804,0.8472207144632635,386.08750610028426,0.006686628730556682,150.3665596483568,0.2838046904050686
CGW,0.015861370397968422,-0.00553294763685841,0.5291227579423694,142,-52.590758806545715,0.5403723798826635,-96.71455461367796,0.265357570794892,-89.23701222349051,0.30187281080727174
DSI,0.04063841301033899,0.01978272633665057,0.12465171737561803,142,-215.70722303891296,0.08827323797439053,-240.05170703464205,0.05937964403528179,-117.30038471719475,0.3527946969693685
DTCR,0.013171115238020836,-0.03700662466513083,0.852135801160454,63,72.53133938635682,0.5529968023662022,-13.64930565646616,0.9113257884623076,86.05915514079126,0.5046910616614195
EUAD,0.18918115455032136,-0.0319512578450456,0.4925090305066139,15,802.4137108605825,0.3049717962416441,565.5344249780775,0.4609400594885711,49.98333368954273,0.9473738914718591
FPX,0.02613079694656195,0.004959727314965412,0.2997189068619591,142,-40.80094220612465,0.546514626830497,-95.17769627991878,0.15969314199502327,-86.92172719056651,0.19964191086929953
GII,0.029356037077549524,0.008255081361843941,0.2481139600845931,142,-96.0140009811786,0.2864174298857668,-155.79128598752771,0.08785653076677424,-96.13408368730731,0.29258304924206463
GNR,0.029651587195412388,0.00855705648226912,0.24380639357565118,142,184.0631434714998,0.18411796813036713,183.3513853081707,0.1921154602106416,147.627433275318,0.2965480757733084
GRID,0.013469973179809358,-0.00797633175106438,0.5980583667656741,142,295.4903919305848,0.18944309913912633,65.48040837648895,0.7736896726074273,98.4649411852697,0.6640005619549231
GRNY,0.702504842634893,0.6132562954253609,0.005468437933282344,14,2425.635813097363,0.007035752020918103,415.34164625488233,0.5681313461986615,2326.466853217436,0.00729911036656319
GUNR,0.15061663414299487,0.13215177836349468,4.873856695390211e-05,142,654.3277835597438,0.003365122463098121,585.2132673412123,0.009210317158283566,712.7119899705987,0.0018214303652239225
IFRA,0.010480679562218764,-0.022873904272762813,0.8150545066208159,93,-43.63033270915912,0.8567087114971821,184.01027187215024,0.45793774374927365,-90.39445415457975,0.7120596060785932
IGE,0.051230890563355835,0.030605475140820015,0.06339030385397007,142,-26.737735704129086,0.7544538674260999,-217.2499648135032,0.01328890307161444,65.80558934461851,0.4505871875804086
IGF,0.0038024610643688783,-0.017854007173362385,0.9127787611920855,142,110.54558475716365,0.6566348915832692,-123.12300826391805,0.6234047070391677,40.38267404674606,0.8728292704523543
IZRL,0.06060736126196031,0.030304372915571975,0.11937476897015172,97,-116.59573148038973,0.05298636806650777,-76.32658351792045,0.20461199646565115,-49.129970144208755,0.4150356442090618
