ETF,R²,Adj_R²,F_p_value,N,Return_lag1,Return_lag1_pval
AIQ,0.9988191897347805,0.9984971505715388,4.8432317198327235e-31,29,-17.637899331233974,0.3010730424563537
ARKB,1.0,,,7,2.932324447402877,
ARKF,0.9989162758310661,0.9985911585803859,1.4718900520943816e-28,27,-18.626502441886245,0.07406191538852311
ARKG,0.9887370430038462,0.9868062503759342,1.4151100625222933e-32,42,-17.336933441841282,0.423205274999519
ARKK,0.9669209493099422,0.9612502549059323,2.092871213191753e-24,42,-51.13589412150498,0.17390108443757382
ARKQ,0.9998838782283501,0.9997445321023702,1.1440964770465934e-09,12,-5.976566053840571,0.7255356947896447
ARKW,0.9998889947441367,0.9997557884371008,1.0222109892281321e-09,12,6.5536084924242175,0.5678444627494633
ARKX,0.9996663736936837,0.9994995605405256,3.858969391516715e-20,19,-4.677904460528666,0.7961850142404856
ARTY,0.9985692663621791,0.9981960315001389,1.6368006800750372e-31,30,-6.876720346116825,0.66922532934422
BKGI,0.9999299091947209,0.999845800228386,3.238617809858621e-10,12,66.99133040231538,0.08672553511153532
BLOK,0.9985081022966567,0.9981189115914366,2.648620987200354e-31,30,-7.756120097411966,0.4316134153095609
BOTZ,0.9141421133133,0.8957439947375786,1.2010685365137213e-13,35,43.32010994669277,0.7443737820106526
BUG,0.9955916231842353,0.9940357254845537,4.686182904382157e-19,24,-52.31600511034321,0.2433578199380738
CGW,0.973811593580089,0.969676582040103,1.7555346482063295e-28,45,-17.01063046395504,0.8260932199284098
DSI,0.9736871473921882,0.9695324864541126,1.9205360097116713e-28,45,-26.25708262935084,0.7488084358016436
DTCR,0.9979368105179927,0.9969845692186047,1.112756026450284e-16,20,53.894775092446935,0.48797100245321734
FPX,0.9749197373765862,0.9709596959097314,7.737197987065188e-29,45,-8.121526469231334,0.8815601140857274
GII,0.9723013594808316,0.9679278899251734,5.0788902170193695e-28,45,-35.03715398014016,0.698241835145143
GNR,0.9750756355002105,0.9711402095265596,6.874858111073558e-29,45,-50.697430873006525,0.4007751690167898
GRID,0.9708793096561181,0.9662813059176104,1.3112454078237914e-27,45,-53.23688905938931,0.4016941279703541
GUNR,0.9755757074074283,0.9717192401559696,4.682161175682728e-29,45,-85.1228844573828,0.16400258105349746
IFRA,0.9959909334944442,0.9949450900582123,2.2803512474209838e-26,30,-3.838738142481958,0.9259741412947651
IGE,0.9726285116421898,0.9683066976909566,4.055134273721633e-28,45,-78.86420916674659,0.11171765937800666
IGF,0.9743947009950578,0.970351759046909,1.145770078689156e-28,45,-59.05713476852095,0.49476393371926775
IZRL,0.9956153327112248,0.9944715064619791,6.382258065377562e-26,30,-14.039867117189658,0.652640365504541
JUST,0.9980773631030283,0.9975758056516444,4.8920927862959324e-30,30,-17.25257374748975,0.560276523517826
KOMP,0.9868657930898308,0.9831131625440682,1.2283995294602147e-18,28,-74.69257190749548,0.2248672145837124
LIT,0.957829083805022,0.9511705180900254,1.4519608843341503e-24,45,-33.60929074050585,0.48143419819789546
MOO,0.9687447700800046,0.9638097337768474,5.006916872027189e-27,45,12.668844050526948,0.8782309455918021
MSOS,0.9891910868797137,0.9845586955424481,6.088681795837452e-13,21,54.11638890331085,0.23624870149998495
NFRA,0.9735117869313944,0.9693294374995093,2.178130399989145e-28,45,7.326435356192633,0.9435974869106928
PAVE,0.9856976616549713,0.9823971220368878,1.071194987641057e-22,33,4.877658504865787,0.9288013662395176
PBW,0.9725489675883442,0.9682145940496617,4.284330519851136e-28,45,-25.179269193074198,0.40589654121746765
PHO,0.9715385102690287,0.9670445908378227,8.497799062705013e-28,45,2.6372790470140615,0.9728245815735892
PRNT,0.9998876956708488,0.9997529304758673,1.0523788923732745e-09,12,11.675192990908613,0.6423436282807315
PWRD,0.9997575090513062,0.9995756408397859,5.184476065220753e-14,15,11.23599504969647,0.6103787634716167
ROBO,0.9689759372594817,0.9640774010372947,4.350211762717988e-27,45,-20.858962753817025,0.722745101043131
ROBT,0.9982398467565692,0.9977806763452394,1.772705671859396e-30,30,0.12529531044339848,0.994580369981959
SAMT,0.999382911643049,0.9989200953753359,2.1729601911146074e-12,15,-83.22401176357647,0.1447760309673518
SIXG,0.9926363318240198,0.9904272313712257,3.052474916720606e-20,27,7.277131149061688,0.908473177031119
SUSA,0.9747472143732175,0.9707599324321466,8.810588229046923e-29,45,-25.395318855021486,0.7540556619350629
XT,0.9948811305247857,0.9939778006173949,1.926396690032602e-37,41,15.090727220233475,0.6540756929956977
