model,r2,beta_lag1,beta_lag1_p,f_stat,n_obs,n_etfs,gate_pass,extra_json,experiment_id,factors,freq,flow_unit,benchmark,r2_delta_bp
univariate_r2_by_lag,0.9903513068437222,-0.034982632449894704,0.3656084082658306,,44,44,False,"{""best_lag"": 7, ""best_r2"": 0.9911556170643316}",N-BCDE,B+C+D+E,ME,raw,SPY,9668.186570562177
multilag_ols,0.9914157642973651,1.1702119716688888,0.3993644920422446,7.402062715634295e-81,4360,44,False,{},N-BCDE,B+C+D+E,ME,raw,SPY,9106.975173358405
multilag_ols_month_fe,0.9919851971588701,0.97199593497393,0.4397690170853059,2.0024742322616522e-70,4360,44,False,{},N-BCDE,B+C+D+E,ME,raw,SPY,8028.839531969295
cross_correlation,,0.012891697559803851,0.29513572868807747,,0,44,False,"{""best_lag"": 11, ""best_corr"": 0.08763388636372021}",N-BCDE,B+C+D+E,ME,raw,SPY,
panel_pooled,0.9621876870069548,0.8776940067580454,0.8929054371585987,15428.630956112092,4360,44,False,"{""r2_overall"": 0.9612647406428286, ""r2_between"": 0.9393599017128492}",N-BCDE,B+C+D+E,ME,raw,SPY,9270.91168640059
panel_entity_fe,0.9621885842986243,0.8864684273289656,0.8903091357197195,15664.470382955682,4360,44,False,"{""r2_overall"": 0.9612638496341089, ""r2_between"": 0.9394983175175594}",N-BCDE,B+C+D+E,ME,raw,SPY,9270.91315177365
panel_entity_time_fe,0.9621608971688659,2.120166607454312,0.8516510038716985,26549.45501195327,4360,44,False,"{""r2_overall"": 0.9612355320166409, ""r2_between"": 0.9394542812874596}",N-BCDE,B+C+D+E,ME,raw,SPY,9276.045185962716
panel_entity_fe_excess,0.962200838727194,-2.3749898171826986,0.8040148530032423,10961.187158774548,4360,44,False,"{""r2_overall"": 0.961275212709415, ""r2_between"": 0.9395401718807237}",N-BCDE,B+C+D+E,ME,raw,SPY,9198.792777722583
panel_entity_fe_controls,0.962189776124756,1.0911075949676046,0.8671790626292735,13703.67962254856,4360,44,False,"{""r2_overall"": 0.961278092936243, ""r2_between"": 0.939949899480258}",N-BCDE,B+C+D+E,ME,raw,SPY,9261.370476527742
asymmetry,0.9947033271801229,-0.1676361051130677,,,4009,44,False,"{""beta_pos_median"": -0.1676361051130677, ""beta_neg_median"": 2.0534231712724638, ""asymmetry_ratio_median"": -0.12462443783738697, ""wald_p_median"": 0.12790620256607854}",N-BCDE,B+C+D+E,ME,raw,SPY,6626.087322306473
relative_performance,0.3299347440139892,,,,4009,44,False,"{""r2_absolute_median"": 0.20497497664449654, ""r2_excess_median"": 0.2182999248853436, ""r2_combined_median"": 0.3299347440139892}",N-BCDE,B+C+D+E,ME,raw,SPY,-254.58697966979582
granger,,,0.4762324312484091,0.5111399058407144,0,41,False,"{""pct_significant_lag1"": 0.07317073170731707}",N-BCDE,B+C+D+E,ME,raw,SPY,
seasonality,,,,,4492,44,False,"{""jan_mean"": 3.385308322207807e-15, ""best_month"": 1, ""worst_month"": 12}",N-BCDE,B+C+D+E,ME,raw,SPY,
drawdown,0.026132931576554608,-1.03100657795921,0.1700080816360915,,729,42,False,"{""1m"": {""beta_depth"": -1.03100657795921, ""beta_depth_p"": 0.1700080816360915, ""r2"": 0.026132931576554608}, ""2m"": {""beta_depth"": -1.191911155240634, ""beta_depth_p"": 0.16145596197340506, ""r2"": 0.016623660925718542}, ""3m"": {""beta_depth"": -1.6162067241785996, ""beta_depth_p"": 0.2854471409497362, ""r2"": 0.00640063520130596}, ""6m"": {""beta_depth"": 1.1075485168709864, ""beta_depth_p"": 0.7254417508695057, ""r2"": 0.0072411221139182524}}",N-BCDE,B+C+D+E,ME,raw,SPY,65.20977424308794
