lag,r_squared,coefficient,p_value,f_statistic,f_pvalue,ETF
1,0.9950394537388898,0.20984756473686783,0.3548141859687617,3530.396344269766,9.118132645672705e-100,AIQ
2,0.9949837048207985,0.1792458487106208,0.4310895613535721,3451.2953973807926,2.070133414123181e-98,AIQ
3,0.9950780127251051,0.1716276235995225,0.45041048250685334,3477.3234596054904,1.270914202593376e-97,AIQ
4,0.9950239250376821,0.15023397823041645,0.5152685920576754,3399.3472473254824,2.833558532803319e-96,AIQ
5,0.9949392759063455,0.15788913265647145,0.5062789474969496,3302.8830511003466,8.017306627391799e-95,AIQ
6,0.9950276762779354,0.1911263212185741,0.4236181471724939,3321.8793363991776,5.330815648471047e-94,AIQ
7,0.9952110156921465,0.24636621588390714,0.3007961173126176,3408.1257335894034,1.5922535755509456e-93,AIQ
8,0.9951349977451668,0.21137361332954974,0.37695506171212856,3313.705959222489,4.2765361979246844e-92,AIQ
9,0.9950572709383811,0.1422207161980419,0.5541728767177446,3221.078100080945,1.1350187306827836e-90,AIQ
10,0.9950587687562429,0.15376956874215084,0.529911310599311,3181.7836022574697,1.5663085546471218e-89,AIQ
11,0.9950533747087921,0.14085009700348983,0.568171584128669,3138.065192252815,2.282410413731801e-88,AIQ
12,0.995038828888792,0.13044341839124843,0.6019289299860391,3088.7057957483444,3.5660073294623624e-87,AIQ
13,0.9950797217139108,0.12607943561738763,0.6143159838893612,3074.056159143297,3.627254331363864e-86,AIQ
14,0.995050941658515,0.09915172406707673,0.7029776871723494,3015.879606785831,6.312441947711529e-85,AIQ
15,0.9950414203574357,0.11918425373826902,0.6412085073676703,2969.92568091014,9.44832402019173e-84,AIQ
16,0.9950425480058539,0.10731356129638397,0.6793393708532619,2930.461297061517,1.304668968074143e-82,AIQ
17,0.9950339917176563,0.11457438068177031,0.6598027691675257,2885.313246793827,1.9325971290432265e-81,AIQ
18,0.9950309226717227,0.10594977023279642,0.6900059089836255,2843.473379158883,2.7469958107322298e-80,AIQ
19,0.9950546617321199,0.08059890039281062,0.7656006086185612,2816.9489142390335,3.228646147634603e-79,AIQ
20,0.995042013078636,0.07965464392260907,0.7708947360340227,2769.5877375787027,4.910665820776464e-78,AIQ
21,0.9951293863498909,0.08876732750687182,0.746098730241324,2778.655961360324,3.731047443548058e-77,AIQ
22,0.99532040301471,-0.016789798773468867,0.9512262913414038,2850.0944509371416,1.37020077895671e-76,AIQ
23,0.995382505237517,0.33600040220146765,0.33111471900040423,2845.4930097354354,1.2612791128463272e-75,AIQ
24,0.995262354571572,0.4110778187585462,0.2643511372492084,2730.979091806672,4.183373373077831e-74,AIQ
1,0.9996305318879813,0.49631130446031335,0.28635342690509163,10822.374103425082,1.3439257784452762e-33,ARKB
2,0.9996048030176279,0.3637892712413553,0.37971584181306517,9611.658036119294,1.2378822297707746e-31,ARKB
3,0.9996276662253534,0.1892244645250134,0.5973109040096473,9665.144135331351,3.390784873586834e-30,ARKB
4,0.9996617693437362,0.26697014370849814,0.4475797264059034,10048.911749495517,7.204882254621695e-29,ARKB
5,0.9996586386526655,0.005582319066986585,0.9882872524881541,9371.030635619294,3.8966996951828774e-27,ARKB
6,0.9996877463209561,0.057355217486939836,0.8844694589661796,9604.572948975163,9.943973971716546e-26,ARKB
7,0.999791884244378,-0.06922162601735238,0.8355894852726933,13451.25104785301,3.009971252248626e-25,ARKB
8,0.9998077791950012,0.15010514595847724,0.6594564041379475,13523.511286528868,1.1333016563884715e-23,ARKB
9,0.9999959794691751,0.038562664015314496,0.41161805609790425,596933.7023431109,6.193319883893072e-32,ARKB
10,1.0,-1.4210854715202004e-14,0.5789642134651154,2.1299255396085171e+30,1.573603485782762e-164,ARKB
11,1.0,-8.881784197001252e-15,0.6117497661955371,5.148937096392616e+30,1.0372356004188635e-151,ARKB
12,1.0,2.842170943040401e-14,0.1694267200321815,3.935811847671137e+30,3.061338292790607e-136,ARKB
13,1.0,-7.105427357601002e-15,0.6353802416404863,4.4477953696336076e+30,1.511028833594525e-121,ARKB
1,0.9985996592929982,0.1771386734256264,0.15109775037356932,11267.168438323199,3.6887239298342646e-111,ARKF
2,0.9986063773602475,0.18060775643766358,0.14649228836445435,11178.248000898097,8.021737385292438e-110,ARKF
3,0.9986218633258478,0.18229943764615975,0.14607877272975,11159.108514893287,1.3715939425488876e-108,ARKF
4,0.9987322821048783,0.16905083432721352,0.16023441055394314,11974.849251880772,1.517594330219397e-108,ARKF
5,0.9986595052415095,0.1751120296194617,0.16279630959332328,11174.898285682671,3.3910925544366997e-106,ARKF
6,0.998641022187575,0.20936951046754615,0.10626347760443063,10875.738362499624,1.50758827300713e-104,ARKF
7,0.9986676391344451,0.1778602217055566,0.16992239152491684,10943.392220763797,1.9479071387786077e-103,ARKF
8,0.9986820914154408,0.18458204654957583,0.15342658760697048,10912.002763220691,3.5323458536613924e-102,ARKF
9,0.9986973856310705,0.21259759789765387,0.09887223377688992,10886.95412412489,6.300311626942832e-101,ARKF
10,0.9986897450983472,0.22405643989561322,0.09229847775500477,10670.943809284245,2.0985647826105846e-99,ARKF
11,0.9987080343680675,0.2532559969287135,0.05539038252441492,10667.598683461281,3.496157830255521e-98,ARKF
12,0.9987319931646084,0.25286144821576756,0.055336790054386194,10711.894232686816,5.039720713282673e-97,ARKF
13,0.9987635746158199,0.2454059543697673,0.0620109473102237,10824.294026223508,5.951280347039765e-96,ARKF
14,0.9987938671833271,0.36450303569848486,0.02601937432227745,10930.868362563411,7.304695212122389e-95,ARKF
15,0.9987639810192686,0.37425675129720076,0.03500074312695259,10504.637837816586,4.558060667248371e-93,ARKF
16,0.9987926965660633,0.40347923677212166,0.030528936127267585,10589.339975914865,5.97562633611649e-92,ARKF
17,0.9987636647641133,0.4018845822025253,0.04901645950354835,10178.810577215412,3.553528596766793e-90,ARKF
18,0.9987624176444838,0.4036508335950582,0.050825660195165476,10007.135221014029,1.018923656967739e-88,ARKF
19,0.9987778499811413,0.42823812295439806,0.037554618463090585,9970.207897348682,1.9296219013613481e-87,ARKF
20,0.9988086061930165,0.4707803747672803,0.024488481443794778,10060.236341720556,2.5090696459260335e-86,ARKF
21,0.9987577304839204,0.37021541777301037,0.10111474754052506,9486.943909645433,2.436011465669519e-84,ARKF
22,0.9988959281317091,0.6379690612045468,0.004175696606357248,10494.962419669888,2.206186067698582e-84,ARKF
23,0.9987514128481098,0.5002357183501894,0.02217404576481766,9118.919804060904,2.156290127100356e-81,ARKF
24,0.9986252821942321,0.4323642482407686,0.054511370472371715,8135.92659791534,8.802931579629574e-79,ARKF
1,0.9989122000160738,-0.5942081576063931,0.0003045404381770057,24059.110155492148,3.208465561637532e-192,ARKG
2,0.9989104650652274,-0.5786082190452212,0.000467603802030904,23837.392691880257,1.0668685274520956e-190,ARKG
3,0.9989168236214853,-0.5803341762454631,0.0004449265725640385,23793.03552093172,2.1907938192329195e-189,ARKG
4,0.9989161627658887,-0.5782549932491636,0.0004938338293050661,23594.18274440001,6.842759977505574e-188,ARKG
5,0.9989250813039041,-0.5725071972784743,0.0005707462481890914,23604.294126869612,1.2158423556291248e-186,ARKG
6,0.9989230929568029,-0.5803549364612375,0.0005702846260183808,23375.14839514852,4.118148708382788e-185,ARKG
7,0.9989381755936401,-0.5482110395525834,0.0010664476704272887,23519.38252714894,5.136751131941233e-184,ARKG
8,0.998940855201657,-0.5970402608828655,0.00040858327171095036,23390.31759185089,1.3319799122877124e-182,ARKG
9,0.9989314117060485,-0.5715286568282958,0.0007021898822565504,22996.427030935294,6.981211422666787e-181,ARKG
10,0.9989462416424847,-0.5832399387659011,0.0005671991779175958,23130.813741349022,8.996866904984363e-180,ARKG
11,0.9989329595925501,-0.5886737553718209,0.0006444758878249917,22655.353493045237,5.842094282026317e-178,ARKG
12,0.99894351807244,-0.5761330374329383,0.0008674862873141003,22692.90539508604,9.72883702445682e-177,ARKG
13,0.9989358448483535,-0.5840871860205373,0.0008471513091900464,22341.35978255299,4.547644735896249e-175,ARKG
14,0.9989367716153069,-0.5904898328322044,0.0008467749596289136,22172.948116811815,1.3079036856144135e-173,ARKG
15,0.9990003971922499,-0.5832951967422328,0.0006888710165996006,23385.89799173701,1.0718337949666871e-173,ARKG
16,0.9990018374330288,-0.5767472249747284,0.0008830831095393306,23219.506917369494,3.07908238479566e-172,ARKG
17,0.9990019821591634,-0.5812903131908086,0.0007885780613573195,23022.680206197416,9.54286893760322e-171,ARKG
18,0.9990320903649164,-0.5775307751076695,0.0007852739953512153,23533.11800471088,5.2030988919734535e-170,ARKG
19,0.999016053726779,-0.6036770197754369,0.0006167552955214053,22946.133776509618,4.1776757496675015e-168,ARKG
20,0.9990270265456672,-0.5903573965283123,0.0007884368601869519,22999.81083242187,7.015347668467246e-167,ARKG
21,0.9990472104319902,-0.6454646413076487,0.00031653515752401803,23277.803217260025,6.93466065742053e-166,ARKG
22,0.9990554870785864,-0.6084040680723325,0.0008392892648328131,23270.42882889679,1.3720406565409523e-164,ARKG
23,0.9990547692322961,-0.5735446045628734,0.0012849896008890656,23041.35107892166,4.591219435073444e-163,ARKG
24,0.9990580465814696,-0.547057349981744,0.001970402223852349,22909.47023667664,1.2213422909552193e-161,ARKG
1,0.9955592970006606,-0.6137240566100535,0.23062493198304704,5873.766740378115,3.2981139859834918e-152,ARKK
2,0.9955988836923938,-0.6185161990905632,0.2275903683969663,5881.592115906098,2.734576646142331e-151,ARKK
3,0.995720811578635,-0.5899255510299485,0.2410255178366264,6003.380643503901,6.656709983574614e-151,ARKK
4,0.9955558445880516,-0.4842300233446549,0.3444218298367534,5734.77461047657,1.1320901238229476e-148,ARKK
5,0.9955300119520524,-0.5325280988632819,0.3050570135535815,5656.941815580929,2.4254718079447112e-147,ARKK
6,0.9955008801370498,-0.5054109952756078,0.3416793895234941,5575.895495925686,5.398961822004277e-146,ARKK
7,0.9955946119345113,-0.6164554677745716,0.24336044376875474,5649.868962361496,2.134300756584936e-145,ARKK
8,0.995505322979309,-0.44104132415888697,0.4073305850146266,5492.837838232823,1.102464295231596e-143,ARKK
9,0.9956188656654857,-0.4606224722729608,0.3763162691663545,5590.384184849856,3.3692664579993158e-143,ARKK
10,0.9955192658590943,-0.38556344578404306,0.4707187985338921,5421.136207392189,1.9814614542154706e-141,ARKK
11,0.9955343419280896,-0.44613895106449786,0.4066204056691215,5394.934114235445,2.385135020530239e-140,ARKK
12,0.9955257765311841,-0.45523021773886574,0.40165287736497846,5340.059298171718,3.955495964562765e-139,ARKK
13,0.9955940413245623,-0.4955833391145861,0.36213319265797894,5377.975584659896,2.3401843626244647e-138,ARKK
14,0.9955476858248854,-0.42880539348146973,0.4365884009115245,5277.014258514733,6.45645359749055e-137,ARKK
15,0.9955403379858134,-0.4668665493424935,0.3984052337605011,5223.634399818259,1.0523551632441404e-135,ARKK
16,0.9956143240300054,-0.5247587828077629,0.34108654719292,5266.7484956770895,5.897818453249584e-135,ARKK
17,0.9956424232095665,-0.5461441688932734,0.3229167981942066,5255.162865768358,6.076589884366731e-134,ARKK
18,0.9956408937089607,-0.3966360582484836,0.4757326743480639,5207.629927085793,9.271630427035117e-133,ARKK
19,0.9957436450245732,-0.6434448115383697,0.24842489344282606,5287.107515110218,3.602378480277794e-132,ARKK
20,0.9956793054927316,-0.54986878256691,0.3283537940185227,5161.951719918664,1.262539296970631e-130,ARKK
21,0.9956021082330319,-0.5176849120193755,0.3733181808813565,5025.673202960672,5.064697525862919e-129,ARKK
22,0.9956334112491056,-0.5334077849049599,0.3663408707413385,5016.257838110864,5.088187621520372e-128,ARKK
23,0.9956248541756684,-0.41792703878341686,0.4696146949109157,4960.891063407123,8.452951883100826e-127,ARKK
24,0.9958294238249702,-0.49746835695042924,0.3791765171151109,5157.540505651016,9.500911496839846e-127,ARKK
1,0.99934273735333,-0.06056148133084466,0.16230265096964652,10643.232499086349,1.2467968550517251e-54,ARKQ
2,0.9993462527054541,-0.06761722060329822,0.1286253672942008,10394.772682183919,4.263068103751972e-53,ARKQ
3,0.9993632484420824,-0.07195418661833136,0.11591897427382303,10358.510093462755,1.0355419449369635e-51,ARKQ
4,0.9993525060716226,-0.08080219930531907,0.10032024818616873,9877.86256913171,5.138158770628725e-50,ARKQ
