Month,Month_Name,Mean,Median,Std,Count
1,Jan,3.385308322207807e-15,0.5807925347222249,249.2931284431435,382
2,Feb,-2.0301221021717147e-15,-5.779883333333333,193.02322383343358,385
3,Mar,5.307140186850131e-16,-9.654321052631579,125.52188399626924,405
4,Apr,-1.962825236906354e-16,-2.2088,80.87815693055292,362
5,May,-7.829672019395044e-16,-7.85458076923077,100.37891234573611,363
6,Jun,1.3626846987180004e-16,-7.564052631578948,85.2930375580627,365
7,Jul,-1.3237508501832004e-15,-3.844803571428572,104.44056678821435,365
8,Aug,1.7520231840660004e-16,-1.1247161290322585,116.06780346515217,365
9,Sep,7.744334994660492e-16,-2.303483870967742,102.75524740409097,367
10,Oct,3.7794826370218095e-16,-10.799440555555554,109.6298419732727,376
11,Nov,6.767073673905716e-16,-10.85080920138889,110.1374639342662,378
12,Dec,-2.0622612383538527e-15,-0.49933181818181804,235.70943017316273,379
