ETF,R²,Adj_R²,F_p_value,N,Return_lag1,Return_lag1_pval,Return_lag2,Return_lag2_pval,Return_lag3,Return_lag3_pval
AIQ,0.08861190136426966,0.03562422121102948,0.1499143468306986,92,349.9074471276422,0.2519978437755539,-15.461162864433124,0.9602968731438777,456.25349405321685,0.139833738182224
ARKB,0.36246657019133544,0.18537395080003982,0.12022426478473881,24,-621.3652680262873,0.08496163046821881,673.4906064551203,0.036051772636141,153.02319975616257,0.6091470001753968
ARKF,0.04460350330575036,-0.017435230245824274,0.6111539458211475,83,159.29234428043716,0.39650595395539845,176.77994849632472,0.357105035624685,178.46908118045246,0.3504893259892501
ARKG,0.13245309571808783,0.09882724671491283,0.002341787401715406,135,871.6399985789246,0.0015222588120243732,634.3837948613851,0.02043398408105626,316.8502971472792,0.24426684911577196
ARKK,0.058147130658598445,0.021641205490326998,0.1666189511860795,135,640.2660940891,0.12961324811349892,858.5084559751932,0.04425180176089857,199.95521097897603,0.6353287379642598
ARKQ,0.26867542305812275,0.15786866897602003,0.05603201637230792,39,24.400897317841924,0.6638350217788134,-80.24074241053366,0.15560341236487826,143.11034405361107,0.014825407545965723
ARKW,0.12398623927541441,-0.00874311841012898,0.47171898258015155,39,112.21770276836273,0.20399276047051318,74.92768132323592,0.38905181739525885,-12.473380113526183,0.8869372735037577
ARKX,0.24748790570470924,0.1751309735609312,0.009551554967774099,58,-12.23381711228743,0.8195801937723933,-112.44212084550018,0.0413575011644522,66.30030370281453,0.22719006079626577
ARTY,0.008028567379701923,-0.05032269336266859,0.9831228542139838,91,-23.857908202937473,0.7777924459862855,-61.66637230570399,0.4756522228514618,14.519359927159563,0.8658125023679728
BKGI,0.14570406109935308,0.012220320646126992,0.38402304977221224,38,295.51164203256934,0.02812984326677978,85.62500644600954,0.5347290787899528,-33.87178260749906,0.7907197707106007
BLOK,0.06081509591231693,0.008638156796334506,0.33235770837087797,96,115.12668860699121,0.1147505484475345,-104.08809317140069,0.15657957153753885,-42.008265646499446,0.5641353375490095
BOTZ,0.05849255251560892,0.014081823860684684,0.2624090713514538,112,208.95376953291714,0.1477379357134843,41.10081064461139,0.7746841035500729,195.6002429732315,0.17640985057901076
BUG,0.15310073258512003,0.09173122045360693,0.03898920190193309,75,-13.472965360772015,0.921455216754784,411.69192060775094,0.0038539670171244974,140.68842887258177,0.31797438106714887
CGW,0.019100838864329672,-0.01696163029507014,0.7535099939788281,142,-60.050765528487666,0.49064915795888386,-88.70589807776881,0.32424636108969895,-85.9930087144862,0.32895114081681187
DSI,0.187925283511857,0.15806959540567522,2.7580530371052486e-05,142,-261.8516984491171,0.02681245292074032,-145.46305342905572,0.2294649560124403,-59.32535746972222,0.6172351955766926
DTCR,0.017798281742466338,-0.06835976371872077,0.9584102952067813,63,67.32387348632331,0.5887549564300206,-14.402206517123876,0.9103646143335681,89.64314861908167,0.49432998261077143
EUAD,0.33118595845412147,-0.04037739796025552,0.5252415067194209,15,1108.6860266197962,0.19160319520166524,666.6750805271083,0.4345068002697048,524.6967251579746,0.5403994402653614
FPX,0.0688794942259715,0.03464712269016157,0.08074646218354074,142,-56.133752562263524,0.4039939858186742,-67.93678662859216,0.31534192788054216,-93.08380586826519,0.17018598053576503
GII,0.046474526649535,0.011418443070473683,0.256912122013016,142,-111.73401283134865,0.21775010546234663,-137.56759096092472,0.13988303948812925,-94.63899178939138,0.30749563459764134
GNR,0.031894615757489087,-0.003697493957309117,0.4857067170851588,142,185.2703613626715,0.18497363200526895,167.24083541047574,0.24636315482660337,157.12831397047455,0.2742360918509068
GRID,0.016244074410464715,-0.01992342285385651,0.8133249445069363,142,311.8916428095207,0.17170444343315128,68.59544459861046,0.7677299321791258,79.28484046343948,0.7306223951545833
GRNY,0.7148173370603659,0.5365781727230945,0.040527872444901566,14,2237.6948133116666,0.04341564995814609,705.4168473414228,0.47096301461266377,2147.765687328273,0.031602710566112226
GUNR,0.1819012323677014,0.1518240717929844,4.3575942844453195e-05,142,639.4607934040841,0.003790564442295867,695.7580218052456,0.0023429578179685615,645.3441637988981,0.004626159899200554
IFRA,0.01866657287909046,-0.03773189994395043,0.8929841564502529,93,-37.0073859834357,0.8800283735009629,240.15788019217786,0.3530307402048378,-107.27802536371738,0.6696763742643963
IGE,0.07014247708538857,0.03595653874293958,0.07528021983053192,142,-36.481055819944956,0.670059916070925,-194.58467096146836,0.028045594321579024,57.805474420324444,0.5087559359174891
IGF,0.03032073572395877,-0.005329237227366335,0.5163386737755731,142,61.669767610241635,0.8041509032968321,-145.62202065774943,0.5685670797459346,107.39375718725427,0.6738608367963592
IZRL,0.06925882152586393,0.018119196334977272,0.24900269981991915,97,-116.4973028458141,0.05718247519188785,-61.491929478951974,0.3262227308764708,-58.39641490265437,0.3521008231645253
JUST,0.05746290633534523,0.0020195478844832193,0.4016457983333516,91,-147.99676781753365,0.2254203688042083,-186.45209907558785,0.13870387274916032,-39.02675354349082,0.7514232082923148
KOMP,0.15234589037013802,0.10002156261520823,0.018133875959579722,87,-374.4996295350211,0.004362521755032261,-177.6429054005599,0.17999892009768986,-224.5159914423859,0.08679873933824007
LIT,0.16180930166976903,0.13099346717233395,0.0001930712859519707,142,256.0485472389947,0.0017129968478403479,202.34658216998224,0.012417302523193178,149.92885144432952,0.06323051944231266
MOO,0.017737926574571072,-0.01837464965430513,0.7824015510415752,142,195.9794867618375,0.2002291487169648,-6.6335940195363925,0.9660652663357772,-17.500948617878976,0.9114526659539837
MSOS,0.05508429514449531,-0.026373955274082705,0.6431415656615826,64,-18.9429060494724,0.6889542437626281,-6.717517774957042,0.8863406234191158,-21.636960945125338,0.6499120397994462
NFRA,0.03381958882481084,-0.0017017498213358628,0.4496756935376792,142,-133.58832017601023,0.36701733431567773,-71.4532947972694,0.6436683552332372,71.70523769130456,0.6377799863750426
PAVE,0.10731990450581042,0.06268589973110095,0.041984361601704254,106,495.8795997151584,0.09767242165956,647.2956075588578,0.0390321877862652,161.55380887856586,0.5921441296332965
PBW,0.044674098236044846,0.00955182243589936,0.27959552479135497,142,85.29823336401277,0.04802452381243531,49.31977695805893,0.24622239756151948,14.341357088803328,0.7385053832529738
PHO,0.021531081935781904,-0.014442040051873217,0.7011171057012755,142,24.490122541809715,0.777318826805867,-74.2870332683238,0.4059401486802401,-71.99043084896087,0.4091835241062364
PRNT,0.02534421311763735,-0.12233090610696307,0.9713042906451231,39,-18.988319881815993,0.8313780204402345,29.61954569938749,0.7436805680260983,22.918019564275845,0.7952827587094744
PWRD,0.060601574205700004,-0.05395920942775123,0.7529711390148965,47,96.18289682112407,0.20467851133642184,13.274036829446592,0.8607426796521929,-5.79471633133484,0.937829908108252
