model,r2,beta_lag1,beta_lag1_p,f_stat,n_obs,n_etfs,gate_pass,extra_json,experiment_id,factors,freq,flow_unit,benchmark,r2_delta_bp
univariate_r2_by_lag,0.013853579541992511,34.40237110935289,0.2495826789107281,,44,44,False,"{""best_lag"": 1, ""best_r2"": 0.013853579541992511}",N-BD,B+D,W,raw,SPY,48.030132684108715
multilag_ols,0.05093962629406901,28.16914269873078,0.24251807222310018,0.22689096269650647,18860,44,False,{},N-BD,B+D,W,raw,SPY,-214.30279108369032
multilag_ols_month_fe,0.0651534290789112,29.614767494869668,0.2655189469780834,0.23720621522316165,18860,44,False,{},N-BD,B+D,W,raw,SPY,-366.69253549014013
cross_correlation,,0.03518644837395658,0.30517901626696037,,0,44,False,"{""best_lag"": 1, ""best_corr"": 0.03518644837395658}",N-BD,B+D,W,raw,SPY,
panel_pooled,0.004877119773553651,41.18328854643709,0.3065581444313812,6.3318981481133,18860,44,False,"{""r2_overall"": 0.005014973345104479, ""r2_between"": 0.008158563041815281}",N-BD,B+D,W,raw,SPY,-96.46315556971929
panel_entity_fe,0.004877715033568153,40.775248087257125,0.3169775392352012,6.143695217598833,18860,44,False,"{""r2_overall"": 0.005014373643570935, ""r2_between"": 0.008056422617157444}",N-BD,B+D,W,raw,SPY,-96.45885657237562
panel_entity_time_fe,-0.0026614798708444187,91.63505405431523,0.13774325680148714,17.090396683206393,18860,44,False,"{""r2_overall"": -0.0024664083562073724, ""r2_between"": -0.0027660747290454424}",N-BD,B+D,W,raw,SPY,-156.13770679387406
panel_entity_fe_excess,0.009268520958692128,-18.858605432306685,0.49060371999445707,6.498073532927773,18825,44,False,"{""r2_overall"": 0.009512458176074157, ""r2_between"": 0.026249819244955175}",N-BD,B+D,W,raw,SPY,-98.46607177943389
panel_entity_fe_controls,0.005367615879720455,40.78225696302027,0.31570099404245044,6.340984628456321,18860,44,False,"{""r2_overall"": 0.005811249339824021, ""r2_between"": -0.006042884288523842}",N-BD,B+D,W,raw,SPY,-102.4201320932161
asymmetry,0.09059192514440773,8.463737646330719,,,18860,44,False,"{""beta_pos_median"": 8.463737646330719, ""beta_neg_median"": 1.3374087937630736, ""asymmetry_ratio_median"": 0.21256947749691055, ""wald_p_median"": 0.04850001052885769}",N-BD,B+D,W,raw,SPY,-184.98906649522306
relative_performance,0.08246277015565551,,,,18860,44,False,"{""r2_absolute_median"": 0.04207370911602909, ""r2_excess_median"": 0.05914496977655581, ""r2_combined_median"": 0.08246277015565551}",N-BD,B+D,W,raw,SPY,-360.91702467172803
granger,,,0.24241111658979603,1.3706468231735642,0,44,False,"{""pct_significant_lag1"": 0.3409090909090909}",N-BD,B+D,W,raw,SPY,
seasonality,,,,,19388,44,False,"{""jan_mean"": 1.3607042216830165e-16, ""best_month"": 3, ""worst_month"": 4}",N-BD,B+D,W,raw,SPY,
drawdown,0.016839265917835244,-0.44709478573199174,0.4000996066118102,,1132,44,False,"{""1m"": {""beta_depth"": -0.44709478573199174, ""beta_depth_p"": 0.4000996066118102, ""r2"": 0.016839265917835244}, ""2m"": {""beta_depth"": 0.7774129712902484, ""beta_depth_p"": 0.6541986059852869, ""r2"": 0.008290433053310564}, ""3m"": {""beta_depth"": 1.0289423082446583, ""beta_depth_p"": 0.7410372427365934, ""r2"": 0.005508744578835656}, ""6m"": {""beta_depth"": 3.6629231650852674, ""beta_depth_p"": 0.4718748331286565, ""r2"": 0.010871081896680068}}",N-BD,B+D,W,raw,SPY,-46.54096625639759
panel_entity_fe_cum,,,,,0,44,False,"{""error"": ""exog does not have full column rank. If you wish to proceed with model estimation irrespective of the numerical accuracy of coefficient estimates, you can set check_rank=False.""}",N-BD,B+D,W,raw,SPY,
panel_entity_fe_cum_long,0.007945174102262031,20.254286328753366,0.6952162823097601,7.424162657675667,16748,44,False,"{""r2_overall"": 0.007401795325354232, ""r2_between"": -0.28963795827575955, ""CumRet_20_coef"": 9.35159700645166, ""CumRet_20_pval"": 0.3667829902871731, ""CumRet_60_coef"": 8.090702674798322, ""CumRet_60_pval"": 0.014187254725228637, ""CumRet_120_coef"": 4.354965126748284, ""CumRet_120_pval"": 0.31257977409693094}",N-BD,B+D,W,raw,SPY,-152.33932826394735
panel_entity_time_fe_cum,,,,,0,44,False,"{""error"": ""exog does not have full column rank. If you wish to proceed with model estimation irrespective of the numerical accuracy of coefficient estimates, you can set check_rank=False.""}",N-BD,B+D,W,raw,SPY,
panel_gmm_ab,,41.97307085814107,0.47550344711088954,,44,44,False,"{""sargan_stat"": 43.99999999998612, ""sargan_p"": 1.0, ""ar1_stat"": -1.8170605829182573, ""ar1_p"": 0.06920783742305231, ""ar2_stat"": -0.9708046743071451, ""ar2_p"": 0.3316455544862704, ""transformation"": ""d""}",N-BD,B+D,W,raw,SPY,
panel_gmm_bb,,36.406524404910364,0.28639337172596574,,44,44,False,"{""sargan_stat"": 43.99999999985497, ""sargan_p"": 1.0, ""ar1_stat"": -1.1592523361322904, ""ar1_p"": 0.24635334405965534, ""ar2_stat"": 0.36140045827868794, ""ar2_p"": 0.7178001054603754, ""transformation"": ""ld""}",N-BD,B+D,W,raw,SPY,
panel_entity_fe_trend,0.004684368512113846,39.9480946188967,0.32585853232196277,5.874233560309137,18825,44,False,"{""r2_overall"": 0.024335108829909524}",N-BD,B+D,W,raw,SPY,-96.26613825095886
univariate_r2_by_lag,0.013654108350256933,,0.4584265975704873,,44,44,False,"{""best_lag"": 21, ""best_r2"": 0.12580532897520302}",N-BD,B+D,W,pct_aum,SPY,37.57493758491104
multilag_ols,0.418409289919236,,0.008466291942960833,0.364122117457877,18851,44,False,{},N-BD,B+D,W,pct_aum,SPY,3474.8987311616593
multilag_ols_month_fe,0.5190491775420898,,0.03481203543787395,0.4350418773339525,18851,44,False,{},N-BD,B+D,W,pct_aum,SPY,4239.338633790105
