ETF,Beta_Pos,Beta_Neg,Asymmetry_Ratio,Wald_P,R²,N
AIQ,11.280779476896207,4.701423629668478,2.399439056227246,0.27317633991813767,0.9995410979242869,25
ARKB,0.010430984993558212,0.6530357695080582,0.015973068368699057,0.6716431441058763,0.9999998467818656,7
ARKF,2.5425663795564213,-11.735782635682677,0.21665077298089536,0.3778208862746247,0.9990806792638952,23
ARKG,3.448808369811835,-2.5100719377315426,1.3739878598573825,0.9614689481926522,0.9974018448964304,34
ARKK,32.14893239546765,-31.355701289834297,1.0252978269661766,0.9875268140479885,0.9829266066063921,34
ARKQ,-13.2296710451551,-66.72446496186802,-0.1982731679109851,0.29036197405681435,0.9998278032427056,11
ARKW,1.6784982829080803,24.850451317785957,0.06754397581933436,0.8981140594173036,0.9997535243852806,11
ARKX,6.521759994019888,13.841289028526639,0.47118154823431996,0.1851189004874933,0.999898144913189,16
ARTY,11.528499416296505,2.4127064861354675,4.778243637402485,0.28363518690630507,0.9995896052586764,25
BKGI,-19.976560154424675,-96.939310979315,-0.2060728506589787,0.19617339074988313,0.99990250941368,11
BLOK,-10.565811303943184,8.101845352617886,-1.304124041386341,0.7304209527961628,0.9995942366110799,26
BOTZ,24.147788855174806,1.7223312245524585,14.020409379415113,0.17121488400959467,0.9989693626589348,30
BUG,-37.96842270297181,-5.713478500075473,-6.645412720546732,0.22563599164678788,0.9990906416619254,20
CGW,-35.88251555558011,13.281786785770947,-2.701633156317627,0.6711649442712584,0.9969493163676331,37
DSI,-37.17715801704022,9.797016597378867,-3.7947427818981896,0.6918652141515649,0.9956155768035616,37
DTCR,-0.23440341602443482,-1.03039317859659,-0.22748929330422737,0.9540110625459856,0.999887266648209,17
FPX,-21.13484528414566,38.600481106051724,-0.5475280275932148,0.647059557288583,0.9963023758405768,37
GII,-31.953663912646967,-31.306372782024408,-1.020676018110735,0.42319965732773734,0.9967260646240252,37
GNR,-25.330522770616213,-2.448346328305187,-10.34597208645343,0.6042966251011079,0.9964755392946334,37
GRID,-16.200322402091373,71.11760474594583,-0.22779623217013506,0.30434268812509474,0.997065187606496,37
GUNR,-21.485631410522853,-25.203812205491392,-0.852475460273489,0.3839319824165808,0.9963451946964468,37
IFRA,-41.74859836510312,97.1330942567018,-0.4298081790205364,0.3110495852911604,0.9992862036798292,25
IGE,-49.903956286568324,-52.46789588247035,-0.9511331729092904,0.022206505190826592,0.9966238511004532,37
IGF,-42.43205262436422,-23.942538621660887,-1.7722453451939224,0.466516843185543,0.9952176510078128,37
IZRL,-23.635746825036204,38.40879476928618,-0.6153733010111702,0.4508291597003441,0.9989775341501098,27
JUST,30.19878083832745,-3.2076229311285513,9.414691653829301,0.21767939130658445,0.9996935882337067,25
KOMP,15.263431210610563,-1.7124140404988328,8.913399942787356,0.44920120421850707,0.9995683903029413,23
LIT,14.163647322642882,-24.644327078886437,0.5747224209979472,0.88482477730347,0.9828976914164768,37
MOO,-22.75789854780309,65.8052394701537,-0.34583718152298576,0.26782927048572885,0.9969629224553228,37
MSOS,-14.560466307078359,15.487622102351136,-0.940135690995971,0.8622615827050882,0.9998514129769093,18
NFRA,-57.3479919486443,62.225544194988856,-0.9216149523568593,0.9562049843802063,0.9966948727796879,37
PAVE,-19.407459488830828,33.09365781599383,-0.5864404471920115,0.7264038368702053,0.9989045505252947,29
PBW,-2.61529500212978,15.909573755923823,-0.16438498241701746,0.42167952515250806,0.9956993651584125,37
PHO,-44.647033203308204,-3.373402756272684,-13.235014147151313,0.45580714640517284,0.9958277589986724,37
PRNT,43.46202278561401,-108.92048381321888,0.39902524542715395,0.2915185606437198,0.9999184644764083,11
PWRD,-5.030551091538274,94.96077917863511,-0.05297504016974283,0.44374207681547245,0.9997728692038396,13
ROBO,22.65128717776311,-36.45980151609823,0.6212674297681462,0.7595394464655485,0.9945719214268028,37
ROBT,21.697951866070895,3.0631819966735634,7.0834680700113815,0.1556599596052309,0.9995530982172594,26
SAMT,-52.99686792269305,81.6116234168096,-0.649378920598426,0.6306565202886232,0.9997897014971716,13
SIXG,-2.357157012539017,18.03927001733791,-0.13066809301449034,0.43044111433030935,0.9996148082902225,23
SUSA,-33.534353291959874,22.531183033259207,-1.488352974739872,0.8614189103011095,0.9961347214037252,37
XT,-12.322303263320059,8.176339057272438,-1.5070685274921416,0.873256706278183,0.9991460693184986,33
