model,r2,beta_lag1,beta_lag1_p,f_stat,n_obs,n_etfs,gate_pass,extra_json,experiment_id,factors,freq,flow_unit,benchmark,r2_delta_bp
univariate_r2_by_lag,0.990307826718881,-0.16449235503442883,0.21001600743393697,,44,44,False,"{""best_lag"": 7, ""best_r2"": 0.9909280415827773}",N-BDE,B+D+E,ME,raw,SPY,9667.751769313763
multilag_ols,0.9912957624036522,3.050180109076404,0.4389243050185475,6.052308126264499e-82,4360,44,False,{},N-BDE,B+D+E,ME,raw,SPY,9105.775154421277
multilag_ols_month_fe,0.9918938285468224,3.172544498798957,0.39160056139377963,4.009760790269028e-71,4360,44,False,{},N-BDE,B+D+E,ME,raw,SPY,8027.9258458488175
cross_correlation,,0.012891697559803851,0.29513572868807747,,0,44,False,"{""best_lag"": 11, ""best_corr"": 0.08763388636372021}",N-BDE,B+D+E,ME,raw,SPY,
panel_pooled,0.9621877593066693,0.6958708721696147,0.9140762836540628,18004.004878660442,4360,44,False,"{""r2_overall"": 0.9612643257416483, ""r2_between"": 0.9393542660411658}",N-BDE,B+D+E,ME,raw,SPY,9270.912409397735
panel_entity_fe,0.9621885112020381,0.8094374696753075,0.8988925273859754,18279.419893777154,4360,44,False,"{""r2_overall"": 0.9612635767963491, ""r2_between"": 0.9394959156124972}",N-BDE,B+D+E,ME,raw,SPY,9270.912420807786
panel_entity_time_fe,0.9621608971688659,2.120166607454318,0.8516510038716953,26549.45501195327,4360,44,False,"{""r2_overall"": 0.9612355320166409, ""r2_between"": 0.9394542812874596}",N-BDE,B+D+E,ME,raw,SPY,9276.045185962716
panel_entity_fe_excess,0.9622007792531839,-2.0970472833956335,0.7830107545368805,12181.905324338773,4360,44,False,"{""r2_overall"": 0.9612753756756122, ""r2_between"": 0.9395413375226954}",N-BDE,B+D+E,ME,raw,SPY,9198.792182982483
panel_entity_fe_controls,0.9621893815909734,0.8826339402805308,0.8910167225053827,15664.81367151654,4360,44,False,"{""r2_overall"": 0.9612747922987221, ""r2_between"": 0.9398583318403569}",N-BDE,B+D+E,ME,raw,SPY,9261.366531189917
asymmetry,0.994588442586876,-0.254766663543156,,,4009,44,False,"{""beta_pos_median"": -0.254766663543156, ""beta_neg_median"": 2.9560757168156, ""asymmetry_ratio_median"": -0.12332403196881057, ""wald_p_median"": 0.11764266584900586}",N-BDE,B+D+E,ME,raw,SPY,6624.9384763740045
relative_performance,0.3299347440139892,,,,4009,44,False,"{""r2_absolute_median"": 0.20497497664449654, ""r2_excess_median"": 0.2182999248853436, ""r2_combined_median"": 0.3299347440139892}",N-BDE,B+D+E,ME,raw,SPY,-254.58697966979582
granger,,,0.4762324312484091,0.5111399058407144,0,41,False,"{""pct_significant_lag1"": 0.07317073170731707}",N-BDE,B+D+E,ME,raw,SPY,
seasonality,,,,,4492,44,False,"{""jan_mean"": 3.385308322207807e-15, ""best_month"": 1, ""worst_month"": 12}",N-BDE,B+D+E,ME,raw,SPY,
drawdown,0.026132931576554608,-1.03100657795921,0.1700080816360915,,729,42,False,"{""1m"": {""beta_depth"": -1.03100657795921, ""beta_depth_p"": 0.1700080816360915, ""r2"": 0.026132931576554608}, ""2m"": {""beta_depth"": -1.191911155240634, ""beta_depth_p"": 0.16145596197340506, ""r2"": 0.016623660925718542}, ""3m"": {""beta_depth"": -1.6162067241785996, ""beta_depth_p"": 0.2854471409497362, ""r2"": 0.00640063520130596}, ""6m"": {""beta_depth"": 1.1075485168709864, ""beta_depth_p"": 0.7254417508695057, ""r2"": 0.0072411221139182524}}",N-BDE,B+D+E,ME,raw,SPY,65.20977424308794
