lag,correlation,p_value,ETF
-20,0.09819049841419869,0.40197451250299654,AIQ
-19,0.1291046958550906,0.26634687317117,AIQ
-18,0.2412252489760549,0.03456322527055045,AIQ
-17,0.14734385544850262,0.1979774660152408,AIQ
-16,0.25442881716767785,0.023651526373203644,AIQ
-15,0.28548658995908255,0.010259964081861995,AIQ
-14,0.10676382692305814,0.3427962384626159,AIQ
-13,0.019191528339540142,0.8641180438675871,AIQ
-12,0.12089343422433571,0.2762918952741804,AIQ
-11,0.09788383628657371,0.3757212285536555,AIQ
-10,0.04150635352502898,0.7060500014437869,AIQ
-9,0.0351751237261449,0.7478111351891833,AIQ
-8,-0.02219395936770345,0.8383203422598244,AIQ
-7,0.00636242189171686,0.9530859180354627,AIQ
-6,-0.034751787933280376,0.7464599107837058,AIQ
-5,-0.026200727649893882,0.8063561747362263,AIQ
-4,-0.014933216966460966,0.8882709872016189,AIQ
-3,-0.006601753718959193,0.9501991512965114,AIQ
-2,-0.11602116850128252,0.2680863827756187,AIQ
-1,0.0068776030079792435,0.9475454825804455,AIQ
0,0.12478825551280104,0.2282418266623664,AIQ
1,0.10583305624694113,0.3100033273994197,AIQ
2,0.03839497429739963,0.7148167697730365,AIQ
3,0.12723465429574232,0.22680691500687267,AIQ
4,0.1213630437449444,0.25180875495775534,AIQ
5,-0.03303173608597107,0.757267873064044,AIQ
6,-0.08416678648596881,0.43292514509158264,AIQ
7,-0.03412368469483065,0.752288315149842,AIQ
8,0.032570665888880496,0.7645705085069752,AIQ
9,-0.12993009186972548,0.23312305653057552,AIQ
10,-0.02134629718568691,0.8462453607128663,AIQ
11,0.07500336389472592,0.4977253844144942,AIQ
12,0.13039249757435356,0.2400185332580594,AIQ
13,0.03748278183200244,0.738132229882097,AIQ
14,0.06550645116065335,0.5612274673117752,AIQ
15,-0.12490535315828714,0.26962159447119405,AIQ
16,0.03278356590869045,0.7742506617928794,AIQ
17,-0.11617971302035951,0.31108854244754114,AIQ
18,-0.012028069719020505,0.9173096020927222,AIQ
19,0.0789871290466587,0.49761800190107774,AIQ
20,0.10373143866760522,0.375809085563945,AIQ
-17,0.07583234288836153,0.8350673820723946,ARKB
