ETF,R²,Adj_R²,F_p_value,N,Return_lag1,Return_lag1_pval
AIQ,0.9984251577844935,0.998308502805567,1.4544545301977135e-38,30,-22.24042850436958,0.1930852810855462
ARKB,0.9999998435137581,0.9999997652706372,2.4487943885690555e-14,7,0.19531434035890793,0.6528514567786612
ARKF,0.9986872294290611,0.9985778318814829,2.6197870328604917e-35,27,-16.69698905134402,0.09566964795239
ARKG,0.9858284511821869,0.9851017050889657,8.966804163248475e-37,42,-16.58369402021624,0.4660418320808831
ARKK,0.964430119044745,0.9626060225855011,5.573230794504357e-29,42,-53.26364877043687,0.139794869780788
ARKQ,0.9997230497210057,0.9996615052145625,9.790573484526795e-17,12,-4.598615072672544,0.7844376592990011
ARKW,0.9997468623082931,0.9996906094879138,6.532894880058044e-17,12,9.725647424925029,0.3610151364172042
ARKX,0.9995840423503264,0.9995320476441172,8.961752069995748e-28,19,-2.1667848082365495,0.8799618915885736
ARTY,0.998318809363275,0.9981942767235176,3.514220393226163e-38,30,-1.403716385719619,0.9281901931754292
BKGI,0.999750641261164,0.9996952282080893,6.105351430953254e-17,12,38.230399252302846,0.27559592526575094
BLOK,0.9983208295471473,0.9981964465506397,3.4576384545394155e-38,30,-10.107555627682046,0.27178747696875616
BOTZ,0.8840336066545346,0.876785707070443,1.0698291006260578e-15,35,5.012220940716986,0.9714659538545367
BUG,0.9924507731377825,0.9917317991509047,5.2236732596189935e-23,24,-35.80642779596056,0.469840887653899
CGW,0.9705698878735773,0.9691684539627953,6.992464196713421e-33,45,15.280445340568406,0.8373661592901422
DSI,0.9700014958773909,0.9685729956810762,1.0449405478715703e-32,45,14.72144232269369,0.8524528929530644
DTCR,0.9975910768848636,0.9973076741654358,5.565382028603283e-23,20,14.787576195837914,0.7554494441234971
FPX,0.9708362160928502,0.969447464478224,5.7772518974367064e-33,45,-5.192855325259359,0.9242265322027039
GII,0.9697689894287869,0.9683294174968243,1.2288700735458242e-32,45,-12.477750377680081,0.8830272275653357
GNR,0.972034033138269,0.9707023204305675,2.3945649024546197e-33,45,-24.79599818038433,0.6722171052142986
GRID,0.9671749616681805,0.9656118646047606,6.923251049581924e-32,45,-16.609555230126247,0.7840814426677774
GUNR,0.9723016063675942,0.9709826352422416,1.9567991041104927e-33,45,-61.99607482786968,0.29896154052544927
IFRA,0.9955750759587805,0.995247303807579,1.6585500023942658e-32,30,15.754181691133514,0.6692998097877436
IGE,0.9687149722148822,0.9672252089870195,2.5238726968517666e-32,45,-68.86492743924353,0.16064435504264288
IGF,0.9700916132557108,0.9686674043631256,9.809632666561946e-33,45,-15.839547427212722,0.8499982089410484
IZRL,0.9954714681293915,0.9951360213241612,2.2668630592675437e-32,30,-12.618040767050417,0.6552184710276903
JUST,0.9974035515590646,0.9972112220449212,1.2420125679200915e-35,30,-15.290008152602098,0.6136681267486519
KOMP,0.9826903908262358,0.9813056220923346,9.518987970087474e-23,28,-50.70983280332817,0.40940194765271987
LIT,0.9551723301625274,0.9530376792178858,4.8135940007004613e-29,45,-24.185445948630154,0.5983706508937305
MOO,0.9660241215865314,0.9644062226144614,1.427527785312294e-31,45,37.53521449319344,0.6409225224842907
MSOS,0.986329189875084,0.9848102109723156,1.6678164863080517e-17,21,38.41365692313591,0.3035307789730611
NFRA,0.9706776106663103,0.9692813064123251,6.474205396868e-33,45,39.894239219684266,0.682489461177957
PAVE,0.9834498288261334,0.982346484081209,1.9144205560113995e-27,33,0.24248841741902538,0.9963189334746595
PBW,0.9686426930671022,0.9671494879750594,2.6491948184217863e-32,45,-23.225901412311917,0.44130953186750654
PHO,0.968518958725198,0.967019861521636,2.8776029094370313e-32,45,40.9058376938479,0.5790565852552112
PRNT,0.9997677929551791,0.9997161913896634,4.4303624914004184e-17,12,30.817707997307934,0.21780893437946153
PWRD,0.9997288897857539,0.9996837047500462,3.970775021253066e-22,15,12.663278760720488,0.4643679572225775
ROBO,0.96860754834401,0.9671126696937248,2.712251240133876e-32,45,-22.635424761761143,0.6757445603435499
ROBT,0.9977409103018232,0.9975735703241805,1.8971510657797044e-36,30,-0.1929971177776224,0.9918051453991796
SAMT,0.9984346483309687,0.9981737563861302,1.471199348359595e-17,15,-20.875847438605966,0.7306158490894776
SIXG,0.9921046811483064,0.9914467379106653,5.867270130177296e-26,27,16.92802667446324,0.7400698766732619
SUSA,0.9711844404582233,0.9698122709562339,4.489192204707804e-33,45,14.100548558142975,0.8579035186246536
XT,0.9944409010961268,0.9941483169432914,1.4291690910614185e-43,41,22.38191828071561,0.48388918505957934
