model,r2,beta_lag1,beta_lag1_p,f_stat,n_obs,n_etfs,gate_pass,extra_json,experiment_id,factors,freq,flow_unit,benchmark,r2_delta_bp
univariate_r2_by_lag,0.9899643755596512,2.087539100955688,0.48557241823991326,,44,44,False,"{""best_lag"": 7, ""best_r2"": 0.9908979022461251}",N-BE,B+E,ME,raw,SPY,9664.317257721466
multilag_ols,0.9911291829964818,2.9473213634242432,0.3990599501953697,2.738523870551779e-85,4360,44,False,{},N-BE,B+E,ME,raw,SPY,9104.109360349572
multilag_ols_month_fe,0.9918938285468224,3.172544498798978,0.39160056139377564,4.009760790269028e-71,4360,44,False,{},N-BE,B+E,ME,raw,SPY,8027.9258458488175
cross_correlation,,0.012891697559803851,0.29513572868807747,,0,44,False,"{""best_lag"": 11, ""best_corr"": 0.08763388636372021}",N-BE,B+E,ME,raw,SPY,
panel_pooled,0.9621867940292085,0.7592771268701891,0.9042226729975418,27017.69943581441,4360,44,False,"{""r2_overall"": 0.9612633391319549, ""r2_between"": 0.9393572588854582}",N-BE,B+E,ME,raw,SPY,9270.902756623125
panel_entity_fe,0.9621875436322658,0.8631286326186817,0.8900632936456325,27431.12380608706,4360,44,False,"{""r2_overall"": 0.9612625924284662, ""r2_between"": 0.9394992239119554}",N-BE,B+E,ME,raw,SPY,9270.902745110063
panel_entity_time_fe,0.9621608971688659,2.120166607454318,0.8516510038716971,26549.45501195327,4360,44,False,"{""r2_overall"": 0.9612355320166409, ""r2_between"": 0.9394542812874596}",N-BE,B+E,ME,raw,SPY,9276.045185962716
panel_entity_fe_excess,0.9622006112288068,-1.9930530903290653,0.784479793232356,15669.65033248929,4360,44,False,"{""r2_overall"": 0.9612751318521806, ""r2_between"": 0.939538929167663}",N-BE,B+E,ME,raw,SPY,9198.790502738711
panel_entity_fe_controls,0.9621884838657382,0.9294091595888572,0.8827284484000031,21940.376784768054,4360,44,False,"{""r2_overall"": 0.9612742564088127, ""r2_between"": 0.9398750827825271}",N-BE,B+E,ME,raw,SPY,9261.357553937563
asymmetry,0.9942046082719849,-0.2852262149648524,,,4009,44,False,"{""beta_pos_median"": -0.2852262149648524, ""beta_neg_median"": 2.5232710493248054, ""asymmetry_ratio_median"": -0.13196847801707012, ""wald_p_median"": 0.12440598387310461}",N-BE,B+E,ME,raw,SPY,6621.100133225093
relative_performance,0.3299347440139892,,,,4009,44,False,"{""r2_absolute_median"": 0.20497497664449654, ""r2_excess_median"": 0.2182999248853436, ""r2_combined_median"": 0.3299347440139892}",N-BE,B+E,ME,raw,SPY,-254.58697966979582
granger,,,0.4762324312484091,0.5111399058407144,0,41,False,"{""pct_significant_lag1"": 0.07317073170731707}",N-BE,B+E,ME,raw,SPY,
seasonality,,,,,4492,44,False,"{""jan_mean"": 3.385308322207807e-15, ""best_month"": 1, ""worst_month"": 12}",N-BE,B+E,ME,raw,SPY,
drawdown,0.026132931576554608,-1.03100657795921,0.1700080816360915,,729,42,False,"{""1m"": {""beta_depth"": -1.03100657795921, ""beta_depth_p"": 0.1700080816360915, ""r2"": 0.026132931576554608}, ""2m"": {""beta_depth"": -1.191911155240634, ""beta_depth_p"": 0.16145596197340506, ""r2"": 0.016623660925718542}, ""3m"": {""beta_depth"": -1.6162067241785996, ""beta_depth_p"": 0.2854471409497362, ""r2"": 0.00640063520130596}, ""6m"": {""beta_depth"": 1.1075485168709864, ""beta_depth_p"": 0.7254417508695057, ""r2"": 0.0072411221139182524}}",N-BE,B+E,ME,raw,SPY,65.20977424308794
