ETF,R²,Adj_R²,F_p_value,N,Return_lag1,Return_lag1_pval
AIQ,0.33453461370132787,0.2852408813829076,0.004094433830482541,30,135.7599268516435,0.0047392536272052605
ARKB,0.10554184941167422,-0.2522414108236559,0.7566587604604438,8,-0.01776248386902779,0.9988469128062475
ARKF,0.26625331424882204,0.20755357938872776,0.020860605376131755,28,97.67974392632918,0.015671389634953684
ARKG,0.09906507458288949,0.056163411467788915,0.11183091618549429,45,59.892497289574976,0.04183529693718722
ARKK,0.08677030684115938,0.04328317859550024,0.14865533561668762,45,55.01644205611019,0.10229898735895199
ARKQ,0.33770536105567883,0.20524643326681458,0.12742545645250475,13,31.592394081414234,0.04913986116220976
ARKW,0.1065756203546212,-0.07210925557445447,0.5692315935492002,13,6.2201948261437225,0.30217644911051694
ARKX,0.056427169370745545,-0.05458139893857861,0.6103671216951179,20,16.771351859618278,0.6209751886410193
ARTY,0.21774224513975193,0.16186669122116282,0.032129079313504116,31,50.76808677752434,0.06030282918658289
BKGI,0.1312000662834909,-0.04255992045981083,0.4949928155901306,13,43.804259597163224,0.7977933952694347
BLOK,0.03382506081335901,-0.03280769361330571,0.6071676764249205,32,30.336431561608798,0.3662824778970556
BOTZ,0.05909133337488803,0.005325123853453073,0.3444139264855432,38,-69.41545670316493,0.7710094477190711
BUG,0.3360941570137299,0.2757390803786145,0.011045144435261297,25,330.4744334835563,0.057377003613716164
CGW,0.037217017977758005,-0.005573336778786242,0.42597990867451574,48,7.865142779759248,0.2880034116172592
DSI,0.005444920886253035,-0.03875752707435809,0.8844003217492502,48,-4.325173432568647,0.6703117969624222
DTCR,0.026871571622105295,-0.08125380930877202,0.7825848561684371,21,139.9445700100485,0.590992329229558
FPX,0.07880883995331978,0.037867010617911756,0.15771377929109667,48,16.589462833696224,0.11387558216327863
GII,0.04576801295750477,0.0033577024222827268,0.3485092725380777,48,13.826631862857381,0.593656839142026
GNR,0.037939437250695596,-0.004818809982606975,0.4188459058015709,48,15.528153283158161,0.2820722933128983
GRID,0.2959782090499481,0.2646883516743902,0.0003721236633383479,48,125.18162602727801,7.988580388487978e-05
GUNR,0.34367102640546177,0.31450084980126003,7.677776629998264e-05,48,40.67950252779832,0.0007376153004418876
IFRA,0.030468300446256924,-0.038783963807581756,0.6484375932040106,31,45.376838666780344,0.7376672697808728
IGE,0.04627734532047678,0.0038896717791645496,0.34434773186304757,48,21.785497597164003,0.17998591774458453
IGF,0.007951797221492418,-0.036139234013107924,0.8355788332981934,48,10.815394090340703,0.6097750432468902
IZRL,0.012001904051871515,-0.0538646356780037,0.8343372129977473,33,59.18862555520189,0.5915276675137086
JUST,0.07896254072728881,0.013174150779238003,0.3161419377105103,31,5.579388288620077,0.834280431811778
KOMP,0.36101266308332225,0.3118597910128086,0.0029607331845768435,29,232.75461423243945,0.11977291818640554
LIT,0.12613300529534754,0.08729447219736297,0.04814155070348336,48,67.32305811883403,0.026149689689898146
MOO,0.06379527344551339,0.022186174487536126,0.22690478857573695,48,48.87784312762649,0.08692322016060962
MSOS,0.031127537081734102,-0.07085903796229398,0.740513226979443,22,99.40648067517435,0.6692589105055213
NFRA,0.00024162722049059226,-0.0441920782363765,0.994577485810767,48,1.4165910864908262,0.9537865703425772
PAVE,0.0727127005381566,0.01651347026774186,0.2877637870675075,36,65.9900350337148,0.46544951662813183
PBW,0.47909248037854046,0.4559410350620311,4.2375428488925637e-07,48,57.5188572339199,6.962987482948813e-07
PHO,0.04004314939051079,-0.002621599525466589,0.39871587308940803,48,8.038594515235934,0.1961074377514005
PRNT,0.405123071173182,0.28614768540781843,0.07449645894275521,13,9.103470399217418,0.24321282499451277
PWRD,0.022443108077764617,-0.12795025991027154,0.8628260971773716,16,32.61983653953287,0.7015601595750645
ROBO,0.08547773987550278,0.04483230609219169,0.13392798107459714,48,19.93486452812433,0.637355688754996
ROBT,0.059595203276208486,-0.005260299946121982,0.41026561268141215,32,30.903398215547305,0.28067081352012424
SAMT,0.42992658593278665,0.34222298376860005,0.02591493478222944,16,474.7157174181748,0.07665964982213683
SIXG,0.004712847808475251,-0.07491012436684685,0.9426597729581087,28,-42.30147485599123,0.7554649322396327
SUSA,0.032134312704667045,-0.01088194006401455,0.4795563046649086,48,3.853316769331749,0.8415944463916216
XT,0.21147082791238725,0.17300599024957686,0.007669449305977548,44,-0.2031447790596026,0.9866296386051061
