model,r2,beta_lag1,beta_lag1_p,f_stat,n_obs,n_etfs,gate_pass,extra_json,experiment_id,factors,freq,flow_unit,benchmark,r2_delta_bp
univariate_r2_by_lag,0.04854854957682608,130.95360801252443,0.14509300149809357,,44,44,False,"{""best_lag"": 1, ""best_r2"": 0.04854854957682608}",N-C,C,ME,raw,SPY,250.15899789321506
multilag_ols,0.09890817098413351,142.39061696130847,0.0956810570501725,0.1098561283288775,4360,44,False,{},N-C,C,ME,raw,SPY,181.89924022608884
multilag_ols_month_fe,0.20353337999126064,138.12513316133737,0.10725591489513667,0.2439610199407837,4360,44,False,{},N-C,C,ME,raw,SPY,144.3213602932003
cross_correlation,,0.1533907090768255,0.14252281846944925,,0,44,False,"{""best_lag"": 1, ""best_corr"": 0.1533907090768255}",N-C,C,ME,raw,SPY,
panel_pooled,0.03789442206978744,274.75221961282386,0.0001248565301739113,42.653332245092834,4360,44,True,"{""r2_overall"": 0.037699493212958735, ""r2_between"": 0.014420062538548106}",N-C,C,ME,raw,SPY,27.979037028915688
panel_entity_fe,0.037897105158549715,273.24573861853276,0.00010756128254141295,42.46227672732364,4360,44,True,"{""r2_overall"": 0.03769685510143572, ""r2_between"": 0.014203559689846657}",N-C,C,ME,raw,SPY,27.99836037290282
panel_entity_time_fe,0.034556378572594304,292.36803097614387,0.0019114630710339586,34.33308926856886,4360,44,True,"{""r2_overall"": 0.034262303929687765, ""r2_between"": 0.009346687093036987}",N-C,C,ME,raw,SPY,0.0
panel_entity_fe_excess,0.043078389654754745,91.42375020147257,0.06875263097901652,27.711596826376123,4360,44,False,"{""r2_overall"": 0.042818552723694725, ""r2_between"": 0.017575292680569343}",N-C,C,ME,raw,SPY,7.568286998190787
panel_entity_fe_controls,0.04059202954143615,282.4563071292975,4.9855099369500167e-05,36.47921316924027,4360,44,True,"{""r2_overall"": 0.0364639551375856, ""r2_between"": 0.007753895509158504}",N-C,C,ME,raw,SPY,45.393010694543264
asymmetry,0.3787777006486224,104.34613323234356,,,4009,44,False,"{""beta_pos_median"": 104.34613323234356, ""beta_neg_median"": 88.95220313815705, ""asymmetry_ratio_median"": 1.2433417981516794, ""wald_p_median"": 0.01386552096995348}",N-C,C,ME,raw,SPY,466.83105699146853
relative_performance,0.3553934419809688,,,,4009,44,False,"{""r2_absolute_median"": 0.18226400491419226, ""r2_excess_median"": 0.25450406571393897, ""r2_combined_median"": 0.3553934419809688}",N-C,C,ME,raw,SPY,0.0
granger,,,0.28525904670772706,1.1595389660768518,0,41,False,"{""pct_significant_lag1"": 0.17073170731707318}",N-C,C,ME,raw,SPY,
seasonality,,,,,4492,44,False,"{""jan_mean"": 38.08867015706806, ""best_month"": 1, ""worst_month"": 8}",N-C,C,ME,raw,SPY,
drawdown,0.019611954152245814,-0.8469637160412001,0.2587179778887826,,729,42,False,"{""1m"": {""beta_depth"": -0.8469637160412001, ""beta_depth_p"": 0.2587179778887826, ""r2"": 0.019611954152245814}, ""2m"": {""beta_depth"": -1.292655384868348, ""beta_depth_p"": 0.12059698729061025, ""r2"": 0.017557683177877093}, ""3m"": {""beta_depth"": -2.0577090248200682, ""beta_depth_p"": 0.1772912080497078, ""r2"": 0.010327127448528817}, ""6m"": {""beta_depth"": 1.142923952206538, ""beta_depth_p"": 0.7202666986727942, ""r2"": 0.00686137491608807}}",N-C,C,ME,raw,SPY,0.0
