lag,r_squared,coefficient,p_value,f_statistic,f_pvalue,ETF
1,0.33453461370132787,135.7599268516435,0.0047392536272052605,6.786554759951062,0.004094433830482541,AIQ
2,0.10337973420596969,-14.667391789577024,0.7908807715260433,1.5565412304668909,0.2292004337230396,AIQ
3,0.09486471057043722,-8.237465900876138,0.8739720705327226,1.3624938192310472,0.27370042234488234,AIQ
4,0.16371388854625268,-77.90094547410088,0.14998636821777475,2.4470376570893717,0.10701288049220782,AIQ
5,0.2167105174295506,-101.73877839903116,0.056324853692009985,3.320006545499244,0.053341784728283125,AIQ
6,0.11057507433824387,-32.5719678483254,0.5564239011475284,1.4297028542838404,0.25987045438581796,AIQ
7,0.1750321484817161,-70.51096347103758,0.20503202312703606,2.333852925002381,0.12045012960721176,AIQ
8,0.12221403161257594,-4.855276079448663,0.9354757232011015,1.461913698950434,0.25443723054516076,AIQ
9,0.10901403968718693,-21.626299143147985,0.7145550436198138,1.2235214082263832,0.31528884609076974,AIQ
10,0.25671779906927616,76.4145869435047,0.1684697796934307,3.2811482477372405,0.059698093802318476,AIQ
11,0.19387990598667193,1.237533948924188,0.9838717176161202,2.164589577705276,0.1437466465355191,AIQ
12,0.3589244834827524,110.60587710506418,0.05215141086915009,4.758968375797136,0.022841684209776076,AIQ
13,0.23766636037779332,-11.801681805554736,0.8472973919234509,2.494092854100729,0.11406717214246573,AIQ
14,0.24154900788321554,34.66506635768734,0.5825473840233935,2.3885756336978567,0.1257350700917899,AIQ
15,0.24987780668339366,27.55212323876703,0.6725382586163782,2.331812953100414,0.13363619564287213,AIQ
16,0.30371565826344005,-82.37086313197905,0.2802847804824982,2.83526665814249,0.09508523556750566,AIQ
1,0.26625331424882204,97.67974392632918,0.015671389634953684,4.535852076392063,0.020860605376131755,ARKF
2,0.17595620316676885,78.38216693631304,0.09272849496360645,2.562332786334345,0.0980400522023951,ARKF
3,0.09335272457488974,35.379216617338756,0.44357312109457536,1.1840948092055554,0.3239971194361586,ARKF
4,0.0759817305713919,-22.862508935071958,0.6475433858139669,0.9045265271672068,0.41926261482754523,ARKF
5,0.14329226576583598,-32.97931180243696,0.5141289956090717,1.7562217900206725,0.19712568727527457,ARKF
6,0.08552725500094738,-25.618390852123007,0.622232854718362,0.9352630296383085,0.40898526614847414,ARKF
7,0.018228840757952502,-1.2895268205955226,0.9781638269148446,0.17638936076941167,0.8396485939517976,ARKF
8,0.0018720704104437935,4.402083227971997,0.8971501891937605,0.01688023468186348,0.9832769840455365,ARKF
9,0.016851931402703357,2.710402366288249,0.6065008246812003,0.14569668750643802,0.865487715924043,ARKF
10,0.09593859307935271,6.817410343506211,0.2143843006174181,0.8489564301268628,0.4462553562767833,ARKF
11,0.03824917214792034,3.773092256672669,0.4979084930509474,0.2982776648605323,0.7463959359744045,ARKF
12,0.12636742700180303,6.51961176998336,0.18362782368216168,1.0125217584056894,0.38842012793265385,ARKF
13,0.007024601502833128,-1.1471850636827234,0.8333428435247819,0.045982921467661385,0.9552128955077436,ARKF
14,0.016743185988572495,-1.7721059886882085,0.7410204661954216,0.10216976328044822,0.9036531953823144,ARKF
1,0.09906507458288949,59.892497289574976,0.04183529693718722,2.309119679512393,0.11183091618549429,ARKG
2,0.2284189987157973,92.04275110072695,0.00126585616013109,6.068824226983615,0.0049127116177368636,ARKG
3,0.009304055446206161,15.34362461261393,0.6120105534575757,0.18782867735259892,0.8294834091729555,ARKG
4,0.02445063796221436,28.719159273682266,0.35017177222016915,0.48873738102522973,0.617106840288198,ARKG
5,0.0034264436573121504,-6.787016294357595,0.8277813994387873,0.06532626625961202,0.9368667464466077,ARKG
6,0.005197615725535676,-9.246824788732724,0.7733900652506006,0.09665828353692467,0.9080946634738934,ARKG
7,0.031434777381002976,34.73209177717208,0.3153904203365084,0.5841898714141952,0.5627554131814808,ARKG
8,0.028017819077299944,-31.521641137422737,0.36676103402362026,0.504445290743187,0.6081634360832047,ARKG
9,0.0053584070906042,0.0487773412197412,0.998868530715371,0.09158366308995616,0.912709297803104,ARKG
10,0.0068210087647184725,4.891361544613675,0.8908495960605173,0.11331959859307268,0.8932111821665997,ARKG
11,0.0015503125249108907,1.6330940038617194,0.9619859752685764,0.0248435156119902,0.975481339715265,ARKG
12,0.00013971075805307986,-2.151762225556231,0.9499027678358485,0.0021658193380834447,0.9978366753301606,ARKG
13,0.022382065706158638,28.104609391261455,0.4181558482200012,0.3434173758635958,0.7120941219248526,ARKG
14,0.012295597186196328,5.278989335048773,0.8702242670743379,0.18050558313999554,0.8357787994983136,ARKG
15,0.039061417237574614,16.37887540131816,0.6005564886197465,0.5690892749399009,0.5724516823316106,ARKG
16,0.06310609503338427,-21.405187455678707,0.5171621151129819,0.9093156422882742,0.4147826518982995,ARKG
17,0.06112097944859485,-18.56834348720912,0.5884494839684515,0.8462993798339205,0.4404790445021164,ARKG
18,0.06391292425087425,-22.581612583648127,0.5332232437592936,0.8534585871689124,0.43797882487311335,ARKG
19,0.12603837455302047,-52.24694766962092,0.16139186881671463,1.7305799826882695,0.19856758996298074,ARKG
20,0.06790186589585678,-26.10712114511453,0.4993738230402449,0.8377567009646067,0.4454601344799114,ARKG
21,0.08797420003634349,-37.41403575626472,0.34353980969897,1.0610623081477977,0.3631435753213323,ARKG
22,0.09445988778497882,-11.399728284675174,0.7932090515588163,1.095289770561558,0.3528017853459933,ARKG
23,0.03595645291606542,-1.76072443268431,0.9672710412927538,0.3729754016281467,0.6933723512597396,ARKG
1,0.08677030684115938,55.01644205611019,0.10229898735895199,1.9953101145468464,0.14865533561668762,ARKK
2,0.03367996139588714,22.14268052378678,0.5442648755964281,0.7145036644516379,0.49542760884116555,ARKK
3,0.030708551107587745,16.91306968976269,0.6380758060985714,0.6336288459508794,0.5359047766094132,ARKK
4,0.025332184207961905,6.251484002914302,0.8690969016254437,0.5068163573800162,0.6063232181191982,ARKK
5,0.02623230968333845,-8.399224007682923,0.8285428788106122,0.5118406463263837,0.6034646709813046,ARKK
6,0.027652517023336598,0.4416489884048467,0.9911596550564588,0.526120110236358,0.5952475888916479,ARKK
