ETF,Beta_Pos,Beta_Neg,Asymmetry_Ratio,Wald_P,R²,N
AIQ,-101.02809337277644,470.1921777062505,-0.21486553405806144,0.11262097411812141,0.22524996405171815,83
ARKB,353.02258207442094,-925.2021901151363,0.3815626312238725,0.12043259150684957,0.7599800161267293,22
ARKF,216.9704832885583,-6.848455776820477,31.681665233631822,0.06895187267683055,0.29752829854194585,74
ARKG,452.78328865895975,199.63765419407903,2.268025490916576,8.816835636141643e-06,0.412705531053679,126
ARKK,703.5318560035265,69.60200530709595,10.107925093528895,0.00044887693314720693,0.2769256597547669,126
ARKQ,221.74222136358202,57.76190597317848,3.8389007015548824,0.03659494607286875,0.5782814885852383,34
ARKW,12.14075248870379,15.55425411046172,0.7805422492447243,0.8895558372273961,0.41504200874946673,34
ARKX,95.7343253560655,-40.207605219175875,2.381000430993282,0.17656552996110522,0.580638583328067,49
ARTY,47.101221085812305,63.16271684563301,0.7457123986754035,0.0021893576700786634,0.35145271055680505,82
BKGI,-194.98647900375425,590.3443235917816,-0.3302927989845225,0.004553591042942028,0.6569324655403399,33
BLOK,43.905017372731116,27.552132030646916,1.5935252242510483,0.1065071695668822,0.21047092207581797,87
BOTZ,162.6613852982831,226.48960184887804,0.7181847818639224,0.00016039991175466776,0.3224169260699976,103
BUG,153.93557964879304,62.151832582569604,2.476766544965306,0.025857791062606928,0.6276691589478756,66
CGW,11.300618454389543,45.474976902341474,0.2485019064145513,0.007329101549449644,0.20804419008823116,133
DSI,131.3876761259663,80.68793539925208,1.6283435122716519,0.015509015515602999,0.20119773929776286,133
DTCR,283.8697571711193,47.91303848877644,5.924687018912721,0.00022976765294452923,0.6231510600617961,54
EUAD,981.407203477707,-1252.0367046091749,0.7838485883559257,0.8139826784258224,0.3453934424688203,15
FPX,10.240247740994697,101.63630494994271,0.10075383738161438,8.277247995140376e-06,0.33971942055128723,133
GII,14.384937353743863,65.45193470036641,0.21977864244344994,0.004940008444260839,0.2711160622693304,133
GNR,211.92538092288052,138.36694641934312,1.5316185433521587,0.0015894081179739215,0.3013210663685749,133
GRID,136.5383558754505,382.9132811526961,0.3565777490517558,0.007801228234600661,0.14978891870664757,133
GRNY,2349.0830178342403,1308.75324024813,1.7949013959185092,0.007582298790156981,0.7375339508230827,14
GUNR,499.23455864673707,293.62816071778076,1.7002271084161231,9.258265697849493e-06,0.37903815450821,133
IFRA,-116.92400575481525,147.83043360585847,-0.7909332530712512,0.8975502864773693,0.22543313568388035,84
IGE,41.57570153928776,83.5040173240684,0.49788863903323105,0.01968523985008698,0.19265216800752405,133
IGF,545.6111773504931,594.9803797181585,0.9170238144809892,8.414986280026027e-09,0.379511036313555,133
IZRL,78.53979292454949,-50.76524799148416,1.547117290507957,0.08028760932850788,0.6406785121737237,88
JUST,25.1957092273874,4.044537298943964,6.229565303790386,0.08240758141346567,0.24900531739460807,82
KOMP,-61.42248724222362,125.7771761370647,-0.48834366558912834,0.3104313823315936,0.360771310329001,78
LIT,228.47740190465962,129.76991413614925,1.7606346079951207,3.4038160393455147e-12,0.5458695290559241,133
MOO,74.7846847360081,98.41892292061563,0.7598608328230657,0.01978797877897063,0.2752086455087396,133
MSOS,20.198576378592556,61.30282289711737,0.32948851984338795,0.03957656474568388,0.3244697693476638,55
NFRA,116.03399374300476,129.0547596922731,0.8991066584423857,0.09636375991991332,0.16720999182541885,133
PAVE,658.9703287332164,532.6183839958152,1.237227907511345,2.8192743323882305e-05,0.39112336085184307,97
PBW,72.71335024163858,14.425484902548824,5.040617402662903,0.0005000553833749253,0.4773199391145092,133
PHO,91.05207213154976,54.263129588863,1.6779731066274022,6.869352149083474e-07,0.31354956691666325,133
PRNT,-3.7202740278120805,7.618346036042304,-0.48833093301505454,0.7209374415176494,0.5533534207708638,34
PWRD,255.08091997004468,47.766874099029266,5.340121680167229,0.0018751400699918974,0.5589787534229029,40
ROBO,31.48804886665786,208.9966484078105,0.15066293697311323,0.00011947314383920498,0.29247605430022594,133
ROBT,33.7791039264581,3.507030482915438,9.631825012931484,0.04158716974772541,0.2541227475697414,86
SAMT,136.86011620996663,25.39426863155781,5.389409641823221,0.00017300701935808258,0.7100882040622404,41
SIXG,139.1436025548936,26.535991685717203,5.243580274024075,0.04925009081098764,0.22987551776181614,73
SUSA,158.08862044653415,-71.498866393202,2.211064712231088,0.7756048180458336,0.21645852413037903,133
XT,96.28447176051712,142.44053636466512,0.6759625751058473,0.014432495879533814,0.13899731878007704,121
