ETF,R²,Adj_R²,F_p_value,N,Return_lag1,Return_lag1_pval
AIQ,0.334534613701328,0.2852408813829077,0.0040944338304825315,30,135.75992685164374,0.004739253627205257
ARKB,0.1055418494116741,-0.25224141082365614,0.756658760460444,8,-0.017762483869025125,0.9988469128062476
ARKF,0.26625331424882215,0.20755357938872787,0.020860605376131717,28,97.67974392632934,0.015671389634953663
ARKG,0.09906507458288949,0.056163411467788915,0.11183091618549429,45,59.89249728957496,0.041835296937187266
ARKK,0.08677030684115938,0.04328317859550024,0.14865533561668762,45,55.01644205611015,0.10229898735895189
ARKQ,0.33770536105567883,0.20524643326681458,0.12742545645250475,13,31.592394081414255,0.04913986116220972
ARKW,0.1065756203546212,-0.07210925557445447,0.5692315935492002,13,6.220194826143718,0.30217644911051733
ARKX,0.056427169370745545,-0.05458139893857861,0.6103671216951179,20,16.771351859618363,0.620975188641018
ARTY,0.21774224513975193,0.16186669122116282,0.032129079313504116,31,50.76808677752423,0.06030282918658293
BKGI,0.1312000662834909,-0.04255992045981083,0.4949928155901306,13,43.80425959716328,0.7977933952694345
BLOK,0.03382506081335901,-0.03280769361330571,0.6071676764249205,32,30.336431561608833,0.36628247789705537
BOTZ,0.059091333374888366,0.005325123853453406,0.34441392648554175,38,-69.41545670316498,0.7710094477190712
BUG,0.3360941570137299,0.2757390803786145,0.011045144435261297,25,330.47443348355614,0.0573770036137161
CGW,0.037217017977757894,-0.005573336778786242,0.42597990867451796,48,7.865142779759243,0.2880034116172595
DSI,0.005444920886252813,-0.03875752707435831,0.8844003217492546,48,-4.3251734325686675,0.6703117969624222
DTCR,0.02687157162210574,-0.08125380930877135,0.7825848561684347,21,139.94457001004898,0.5909923292295558
FPX,0.07880883995331978,0.037867010617911756,0.15771377929109667,48,16.58946283369625,0.11387558216327848
GII,0.04576801295750499,0.003357702422282949,0.3485092725380776,48,13.826631862857255,0.5936568391420276
GNR,0.037939437250695596,-0.004818809982606975,0.4188459058015709,48,15.528153283158156,0.2820722933128984
GRID,0.295978209049948,0.2646883516743901,0.00037212366333834923,48,125.18162602727813,7.988580388487932e-05
GUNR,0.34367102640546177,0.31450084980126003,7.677776629998264e-05,48,40.6795025277984,0.0007376153004418727
IFRA,0.030468300446256924,-0.038783963807581756,0.6484375932040106,31,45.37683866678026,0.7376672697808724
IGE,0.04627734532047678,0.0038896717791645496,0.34434773186304757,48,21.78549759716397,0.17998591774458533
IGF,0.00795179722149264,-0.0361392340131077,0.8355788332981913,48,10.815394090340703,0.6097750432468909
IZRL,0.012001904051871182,-0.05386463567800415,0.8343372129977515,33,59.1886255552018,0.5915276675137086
JUST,0.07896254072728892,0.013174150779238114,0.3161419377105092,31,5.579388288620077,0.8342804318117778
KOMP,0.36101266308332225,0.3118597910128086,0.0029607331845768435,29,232.75461423243985,0.11977291818640516
LIT,0.12613300529534754,0.08729447219736297,0.04814155070348336,48,67.3230581188342,0.026149689689897854
MOO,0.06379527344551306,0.022186174487535792,0.22690478857573876,48,48.87784312762648,0.08692322016060995
MSOS,0.031127537081734102,-0.07085903796229398,0.740513226979443,22,99.40648067517469,0.6692589105055206
NFRA,0.0002416272204907033,-0.0441920782363765,0.9945774858107645,48,1.4165910864909836,0.9537865703425721
PAVE,0.0727127005381566,0.01651347026774186,0.2877637870675075,36,65.99003503371479,0.4654495166281316
PBW,0.47909248037854046,0.4559410350620311,4.2375428488925637e-07,48,57.5188572339199,6.962987482948813e-07
PHO,0.04004314939051057,-0.002621599525466811,0.39871587308940915,48,8.038594515235948,0.1961074377514005
PRNT,0.405123071173182,0.28614768540781843,0.07449645894275528,13,9.103470399217418,0.24321282499451286
PWRD,0.022443108077764506,-0.12795025991027154,0.8628260971773721,16,32.61983653953305,0.7015601595750648
ROBO,0.085477739875503,0.04483230609219191,0.13392798107459641,48,19.934864528124272,0.6373556887549967
ROBT,0.059595203276208486,-0.005260299946121982,0.41026561268141215,32,30.903398215547316,0.2806708135201247
SAMT,0.42992658593278676,0.34222298376860016,0.02591493478222944,16,474.71571741817786,0.0766596498221369
SIXG,0.00471284780847514,-0.07491012436684685,0.94265977295811,28,-42.301474855991216,0.7554649322396324
SUSA,0.032134312704667045,-0.01088194006401455,0.4795563046649086,48,3.853316769331762,0.8415944463916214
XT,0.21147082791238725,0.17300599024957686,0.007669449305977548,44,-0.2031447790596035,0.9866296386051061
