ETF,R²,Adj_R²,F_p_value,N,Return_lag1,Return_lag1_pval,Return_lag2,Return_lag2_pval,Return_lag3,Return_lag3_pval
AIQ,0.21852017176961447,0.06428073198730144,0.16140831813680365,92,459.0212164111729,0.16522708110924575,-25.349824162948558,0.9380082661566925,571.3597252363321,0.0817654357719758
ARKB,0.7312751314005526,0.22741600277658858,0.3041804725742285,24,-592.3227088836927,0.2659244807501215,461.93753085342996,0.22301687813700133,315.5369639276452,0.36446167134921725
ARKF,0.17622563369517286,-0.008201463238743711,0.5101230782738224,83,188.04530021156046,0.43602181289858355,311.71628074477894,0.1958301943749629,213.73738136217358,0.38460329153233674
ARKG,0.21510884990637025,0.11617299065087072,0.010727203981309599,135,930.9722667245292,0.003047855967687319,966.3759685020732,0.002101421283037549,522.2896001869477,0.0924066580301111
ARKK,0.1935311363648916,0.09187539725122251,0.029122008759871656,135,880.1122914953072,0.05733487948565533,1368.6209727602977,0.0034299235770287977,502.9821082054421,0.2760200184715399
ARKQ,0.3063060650426511,-0.14610302297301114,0.780349875546217,39,72.56216361596012,0.5064745508901001,-43.01094198524389,0.679701061703895,209.12120969690136,0.057922913098185626
ARKW,0.4832565950841854,0.14625002666082798,0.21227423093979625,39,115.81525288391515,0.21724137869045898,42.311925126333215,0.6331888221039885,119.61696008260974,0.1984327641357996
ARKX,0.27864691685731857,0.021020815734932308,0.40080951091214434,58,22.221129089645096,0.7604974029533361,-103.67329435933631,0.16087259090189082,121.35550317941501,0.10134000222985623
ARTY,0.18301794239845437,0.019621530878145332,0.3541105500990901,91,141.27524489714543,0.026913780980097446,78.02108786331486,0.2183715332419154,107.20056000319738,0.08930012012373331
BKGI,0.24614349054470364,-0.26784958408390747,0.9270723456721522,38,277.019288222284,0.10828758006159316,239.604452487783,0.22340887658447164,122.49562541350991,0.4993116688409981
BLOK,0.1634970184280211,0.006652709383275113,0.4225772293136306,96,243.03661644089487,0.004575514763825738,-31.309364012294466,0.7132181055850692,19.150534221985588,0.8198037194035666
BOTZ,0.18674183210840334,0.059670243375341325,0.13223807521794614,112,272.26704328058133,0.08033598448207531,142.63180653550967,0.3540173973382542,293.91270360853764,0.05716488963813723
BUG,0.30040486860412074,0.12254169960516836,0.07835898012775948,75,185.95728798718972,0.24468525876214509,555.0173299154303,0.0009629196024355725,206.48766846053695,0.20617457386817933
CGW,0.14831612026633179,0.04692518220279984,0.12913946358680842,142,50.37492174377661,0.06137380313670137,13.946313643339924,0.6009255817480461,18.900812053505504,0.4718098228864278
DSI,0.2394599934797692,0.148919516513075,0.0016489846530909629,142,-80.6917436982968,0.43650599219578134,36.40798857358943,0.7255057660457385,99.96417187087188,0.3273932978287313
DTCR,0.2586111823022852,0.021997729845567804,0.38814944096262444,63,91.93379770883573,0.2854150502212721,-12.957747628350077,0.8776757883090063,152.32024559546767,0.09325157760064835
EUAD,1.0,,,15,1936.6414178464622,,-1303.6975385502512,,-1412.2927783250786,
FPX,0.29462981908034036,0.21065717849466659,5.020484640435174e-05,142,99.80110615301507,0.012078060319243456,91.47136096566125,0.020032827698531038,53.887538090829956,0.16769108750699843
GII,0.0869192896109009,-0.02178079495922991,0.676184185184376,142,60.50933020839912,0.07768966321133414,44.78078738147173,0.19309511365102275,35.85583513958439,0.29502890519097263
GNR,0.17639849476330094,0.0783506965208367,0.041521671639917365,142,502.7347006629117,0.0007442824389028499,396.4700891294451,0.008225129601724746,241.0611071511745,0.10237076767979449
GRID,0.08446242225667644,-0.024530146522290686,0.7029252900496857,142,513.6867454402326,0.03229853250696821,240.8235678550817,0.31844178092040704,163.2293337350875,0.4953994234149196
GRNY,1.0,,,14,778.9934690841557,,-513.4199579395984,,1228.4283626814408,
GUNR,0.31347841946452637,0.23174965987696994,1.3312793418438408e-05,142,791.0731218733195,0.0007833929379434455,790.6759098566998,0.0008898036202198366,687.1742904587072,0.0036196189775101672
IFRA,0.18214664771706812,0.022824566103510024,0.3343090092202728,93,255.86599942531475,0.32248630452133176,589.4927766137159,0.027936106909286794,224.68753335268562,0.3818887445939294
IGE,0.08860745516361823,-0.019891657316903455,0.6575365943844504,142,128.95009064801465,0.1062242497286813,-51.10781608235685,0.5274985539004553,86.17781965739023,0.2847381276831568
IGF,0.10655663018137829,0.00019432425058996117,0.4576026004572627,142,225.79589055798505,0.3574937238941692,132.1399287244731,0.5899062137940547,309.7112694308753,0.20860151529544035
IZRL,0.21353562361763,0.06789407243570966,0.1380595490977831,97,76.30810318997914,0.04773422414665806,81.83613785804276,0.03602769468324259,48.44565308681424,0.21235047953199118
JUST,0.16450012315363916,-0.0025998522156329695,0.4798745668261103,91,23.105496641234996,0.5053428274318014,-35.756886602593,0.3005487330856063,45.288039751625334,0.18096940003320108
KOMP,0.13376455062580705,-0.049242938678599746,0.7454293317552496,87,-121.3279507482672,0.28662491340640345,77.57055586029952,0.4939790543195195,-53.75073218418352,0.6345612647661347
LIT,0.29448214068416445,0.21049191933704114,5.071610354957372e-05,142,431.82647725330696,3.607807325003642e-05,340.6460019992958,0.0009554044703582109,262.71601842706565,0.010479123657010961
MOO,0.21384931191215084,0.12025994428264497,0.006785045272690039,142,499.086480121013,0.0015224721214730098,304.16020292864744,0.053091596545950845,210.01868812959646,0.17802319870929056
