ETF,Beta_Pos,Beta_Neg,Asymmetry_Ratio,Wald_P,R²,N
AIQ,-217.22774559592006,367.66435948414437,-0.5908316647844352,0.5195092194274452,0.43896929375113314,83
ARKB,505.8932623549038,-1213.0271337816387,0.41705024419179354,0.024760315491866997,0.9363111947917636,22
ARKF,310.30629563141844,-228.94285975391628,1.3553875231791777,0.42174350056550736,0.7009844503775675,74
ARKG,106.94423219344185,37.67236940021901,2.8387976093911447,0.2953564405994718,0.6381531751077048,126
ARKK,-1.8146925172669246,127.83254819299691,-0.014195856555461666,0.5219703818408625,0.6149397904470275,126
ARKQ,76.08433778172514,-94.97190007795729,0.8011247297281788,0.8656909240293613,0.8483767012714063,34
ARKW,-7.74752792365895,227.76389592809426,-0.03401561029718629,0.28206825604209135,0.7133822679985156,34
ARKX,46.956325128200966,10.762847565005261,4.3628161455037775,0.2488743730701641,0.786114216412776,49
ARTY,12.50612237102518,71.10242026629241,0.17588884209830433,0.0401752397157844,0.4481993431747784,82
BKGI,-368.29225692363116,470.45095459084996,-0.782849419965433,0.4705607260971645,0.8664132609233017,33
BLOK,33.53337408460066,3.6729906775298873,9.129719356421589,0.4136479071536443,0.3662726383103704,87
BOTZ,127.38049167234688,185.90771828270604,0.6851812977374182,0.007510903281242841,0.39579450655505855,103
BUG,36.17554520162048,121.85587377625994,0.2968715752516169,0.07133808493902623,0.7681264732917777,66
CGW,9.484162538780971,45.019401017407375,0.2106683413027594,0.011161551112002304,0.24696565741404541,133
DSI,97.3102472410399,72.27072480830512,1.3464684005750738,0.04632072883069599,0.34768944786475176,133
DTCR,241.29703520448143,25.867416586608282,9.328223187521647,0.002319420397741528,0.7898152898406887,54
EUAD,688.3994037062954,-1260.7560372084924,0.5460211043133432,0.7499841829141813,0.5953408514254647,15
FPX,-0.1309611605598775,78.12690901260272,-0.0016762618951013668,0.0037363360931246376,0.4202518443908093,133
GII,5.753719090149029,76.02579245534504,0.07568114588912135,0.0034815878924162823,0.32300219148735465,133
GNR,192.4870491101868,143.64161077655692,1.3400507559721804,0.0026040736359682873,0.32332252194851363,133
GRID,218.1981011386679,452.59637209076897,0.48210307150873033,0.004131067868969134,0.16914082531798824,133
GRNY,1838.777495276646,4375.884552999763,0.42020703997232384,0.011088830671476532,0.9690261434636672,14
GUNR,595.0167709688833,249.53499574931337,2.3845022986941924,1.7752364656736262e-06,0.4444779464590637,133
IFRA,-116.55362002541322,205.7589624241301,-0.566457075075844,0.7175190233786904,0.26350774119471776,84
IGE,1.3105024782794736,118.18861957887738,0.011088228993188834,0.02634994749699343,0.2476967934341553,133
IGF,509.6273283196678,636.1258455169193,0.8011423084146847,9.024131463240187e-09,0.40171702265554443,133
IZRL,27.466356880832947,-33.33167720581267,0.8240316474696666,0.7096098547627576,0.773200835400311,88
JUST,15.14657891450611,6.028082747520386,2.512669375803867,0.26591959394678727,0.27043485056098937,82
KOMP,-52.59043086642379,138.90993507346522,-0.37859373297244947,0.2542301158527617,0.40303045728365605,78
LIT,162.01133315752847,97.91245373006939,1.6546550207409827,6.240636950155003e-07,0.6157958100464012,133
MOO,16.99969444968625,87.75210475149176,0.19372406505608356,0.19836195110742472,0.3057447491715499,133
MSOS,43.49426326462963,60.164015993280735,0.7229281913209912,0.02792784234428756,0.41200298921852574,55
NFRA,84.04294772009024,118.87788967475608,0.7069687050302417,0.16496193084426788,0.22232437466345967,133
PAVE,682.577904940804,473.68847961222826,1.4409848124226647,4.221112622176314e-05,0.45594036950018735,97
PBW,-13.569380191450747,-25.01307325520175,-0.5424915224533172,0.14328547115344017,0.6636076118186003,133
PHO,94.53660840459149,53.81627831326602,1.756654517324504,9.687382755943535e-07,0.3253690334743362,133
PRNT,4.131329730981963,9.300715154785944,0.4441948454744441,0.1739061631491952,0.7950015619746313,34
PWRD,106.52395622573547,129.27888639833765,0.8239857195049696,0.006195779603947666,0.8196881530082741,40
ROBO,15.388034641369366,170.23621655293974,0.09039224997451717,0.013565694100981126,0.35979381731137605,133
ROBT,36.32859367119672,8.213479051013685,4.423045757535979,0.04674572579823289,0.31621969950721895,86
SAMT,123.61241080293595,12.410341341324346,9.9604360108394,0.004390829970197382,0.845752297376747,41
SIXG,6.863968935975677,21.800150637545595,0.3148587846982175,0.7033430510569016,0.5824186091022734,73
SUSA,2.9542634471822,-137.9079168935087,0.021422000373361134,0.6675455653532723,0.3163527215815002,133
XT,93.54434536114593,125.5935584951489,0.7448180183919155,0.06180162735302298,0.14592584147265852,121
