lag,correlation,p_value,ETF
-20.0,,,AIQ
-19.0,,,AIQ
-18.0,,,AIQ
-17.0,,,AIQ
-16.0,,,AIQ
-15.0,,,AIQ
-14.0,,,AIQ
-13.0,,,AIQ
-12.0,,,AIQ
-11.0,,,AIQ
-10.0,,,AIQ
-9.0,,,AIQ
-8.0,,,AIQ
-7.0,,,AIQ
-6.0,,,AIQ
-5.0,,,AIQ
-4.0,,,AIQ
-3.0,,,AIQ
-2.0,,,AIQ
-1.0,,,AIQ
0.0,,,AIQ
1.0,0.5402889268845061,0.001703589655551067,AIQ
2.0,0.0846710015996611,0.6564234231973192,AIQ
3.0,0.02209776580851955,0.9094127775197812,AIQ
4.0,-0.33636325362669994,0.08009698663280623,AIQ
5.0,-0.33850952405820567,0.08414524862314054,AIQ
6.0,-0.13256966139678128,0.5185454250695847,AIQ
7.0,-0.2992273104017237,0.14620247663989858,AIQ
8.0,-0.13292515603488297,0.5357899953141418,AIQ
9.0,-0.13985658029827192,0.5244736658988771,AIQ
10.0,0.21008109597196362,0.34804912450121817,AIQ
11.0,0.1593045220998965,0.49035248074922894,AIQ
12.0,0.46093816180954794,0.04081012822843003,AIQ
13.0,-0.047958346314220704,0.8454202739596395,AIQ
14.0,0.13712557765967026,0.5874172796243371,AIQ
15.0,0.10049138148631592,0.7011633961205239,AIQ
16.0,-0.12291891940025555,0.6501753656167447,AIQ
17.0,0.35267593137201975,0.19728648042691632,AIQ
18.0,-0.3967180498071107,0.160194194698219,AIQ
19.0,-0.07439314195879874,0.8091407783549361,AIQ
20.0,-0.09199476822829658,0.7761418795090422,AIQ
-19.0,0.5147515722358098,0.12790000413017857,ARKF
-18.0,-0.19999572395449539,0.5554540721898504,ARKF
-17.0,0.06293832121270901,0.8459278734637433,ARKF
-16.0,0.28599215164611747,0.3435104171160055,ARKF
-15.0,-0.22624482891820058,0.43670285801511793,ARKF
-14.0,-0.12429382279592355,0.6589640999439461,ARKF
-13.0,-0.5522958489352937,0.02652706529740575,ARKF
-12.0,-0.3110824601908598,0.22422500198610393,ARKF
-11.0,-0.1713342490420246,0.49664516088648775,ARKF
-10.0,-0.08858006523916234,0.7183918203064676,ARKF
-9.0,0.048901606037564785,0.8377793061559312,ARKF
-8.0,-0.004743140796976301,0.9837204114454189,ARKF
-7.0,0.17462334350990208,0.4370132862115258,ARKF
-6.0,0.1512115622083539,0.49099905540748207,ARKF
-5.0,0.36642582359394876,0.07821698294428335,ARKF
-4.0,-0.19838755707070643,0.3417824219191332,ARKF
-3.0,0.052994470877079404,0.7970934116112107,ARKF
-2.0,-0.0792425432697731,0.6943997016112952,ARKF
-1.0,0.02238206811817721,0.9099917364680424,ARKF
0.0,0.04393822490939288,0.8209559628237216,ARKF
1.0,0.39975152424545146,0.03506321928600888,ARKF
2.0,0.19018298671035377,0.3420261938769919,ARKF
3.0,0.08442153660584391,0.681784281341594,ARKF
4.0,-0.1137294110606526,0.5883036017859855,ARKF
5.0,-0.06974853925805105,0.7460513710206136,ARKF
6.0,-0.052351723076605544,0.8124775531278552,ARKF
7.0,0.05708198980148679,0.8007974285264938,ARKF
8.0,0.04269264915056706,0.8542129946583192,ARKF
9.0,0.128368975903268,0.5896393841147447,ARKF
10.0,0.30669853586849516,0.20154659626612279,ARKF
11.0,0.1505784086363649,0.5509059102273594,ARKF
12.0,0.3289090759268344,0.19737836403270345,ARKF
13.0,-0.06626556623134433,0.8073639353883474,ARKF
14.0,-0.09064908323859536,0.7479931878783505,ARKF
15.0,-0.36240961027728597,0.20286933127193651,ARKF
16.0,-0.2162647929085664,0.47791916292069614,ARKF
17.0,0.061050686355131,0.850502215931075,ARKF
18.0,0.18626676876981768,0.5834347640844703,ARKF
19.0,-0.04762695308206756,0.8960520419253813,ARKF
-20.0,-0.06658913042941535,0.7465443182891488,ARKG
-19.0,-0.1303177076641676,0.5170621341422219,ARKG
-18.0,-0.21498210458081896,0.2719330152779863,ARKG
-17.0,-0.3967131262211663,0.03311339005523156,ARKG
-16.0,-0.31886663413644556,0.08589687443520395,ARKG
-15.0,-0.3467853868408182,0.0559709626463094,ARKG
-14.0,-0.12112645979920292,0.5090152775323983,ARKG
-13.0,-0.04847397604395469,0.7887900279708838,ARKG
-12.0,0.2814597177495895,0.10683527612639039,ARKG
-11.0,0.17009148822546744,0.3286323662160769,ARKG
-10.0,0.282457991940467,0.09509348075800096,ARKG
-9.0,0.3310603328972342,0.04534040646849102,ARKG
-8.0,-0.04128286003887248,0.8056138270905231,ARKG
-7.0,0.03701090798520147,0.8229988817358836,ARKG
-6.0,-0.29197360260228244,0.06753299739858444,ARKG
-5.0,-0.25543718920844183,0.10698751868168747,ARKG
-4.0,-0.09097312715092609,0.5666643260466336,ARKG
-3.0,-0.07898059765263996,0.6146572441742626,ARKG
-2.0,0.10134179444390087,0.5127500651731559,ARKG
-1.0,0.1812985218181326,0.23331162098470612,ARKG
0.0,0.5494455660869837,7.664096601755044e-05,ARKG
1.0,0.30514503972139606,0.04152283230102425,ARKG
2.0,0.47522560071249476,0.0011147865872937117,ARKG
3.0,0.08493893451458574,0.5881288862454982,ARKG
4.0,0.14317604090581207,0.3657000912316313,ARKG
5.0,-0.03494970757196203,0.8282607274840164,ARKG
6.0,-0.0563446247331222,0.7298468791670478,ARKG
7.0,0.12987093324614662,0.4306956348616027,ARKG
8.0,-0.16709073096656,0.3160151820568706,ARKG
9.0,-0.016279648485646003,0.9238123294293195,ARKG
10.0,0.0008323661259831416,0.9961558579169885,ARKG
11.0,0.010736910375747099,0.9511878282239941,ARKG
12.0,-0.01157419637491396,0.9482008426804438,ARKG
13.0,0.14298789097064368,0.4272987178401597,ARKG
14.0,0.03190859501906128,0.8623647420424967,ARKG
15.0,0.09066440831104021,0.6276374606658214,ARKG
16.0,-0.1630018106371915,0.3894372487029237,ARKG
17.0,-0.08903006447312535,0.6460430762693341,ARKG
18.0,-0.15730419802588425,0.42404616102833415,ARKG
19.0,-0.302156714462838,0.1255670123927272,ARKG
20.0,-0.16095591056380135,0.43216312043055316,ARKG
-20.0,-0.3759767139829751,0.05836433003105985,ARKK
-19.0,-0.41580718566141384,0.030996366820648238,ARKK
-18.0,-0.3924158864488074,0.03887768701138051,ARKK
-17.0,-0.4138041714355,0.02564922363858531,ARKK
-16.0,-0.22242477881691355,0.2374539495351342,ARKK
-15.0,-0.23259788168778728,0.20796290528018246,ARKK
-14.0,0.19347071978989552,0.2887092345762154,ARKK
-13.0,0.20162964603982136,0.26049693708913757,ARKK
-12.0,0.5516560516365928,0.0007198137625160831,ARKK
-11.0,0.2971589135992119,0.08299401472467721,ARKK
-10.0,0.2439251027326185,0.15166963917220264,ARKK
-9.0,0.035188658237026244,0.8361960475945026,ARKK
-8.0,-0.14205033658383256,0.394918382623597,ARKK
-7.0,-0.08928642145839537,0.5888291413782741,ARKK
-6.0,-0.2531043947119975,0.11507354573455802,ARKK
-5.0,-0.18175747819594756,0.25540085891998016,ARKK
-4.0,-0.08871237511996002,0.5763835501612846,ARKK
-3.0,-0.005217693414675175,0.9735097641531698,ARKK
-2.0,0.06597957421960685,0.6704549323557634,ARKK
-1.0,0.2203269363635954,0.14585008258260512,ARKK
0.0,0.31857298736714723,0.030945516717372196,ARKK
1.0,0.26093831226555586,0.08339728403860058,ARKK
2.0,0.13950408599064945,0.36644468078409376,ARKK
3.0,0.10330713953135677,0.5097444335521937,ARKK
4.0,0.016783822215634833,0.9159819608723495,ARKK
5.0,-0.03585909257515166,0.8238616792918584,ARKK
6.0,-0.021679469888033084,0.8943668703830198,ARKK
7.0,-0.054173680553139494,0.7432534751245683,ARKK
8.0,-0.022983284235555866,0.8910595348448047,ARKK
9.0,-0.059772373387228274,0.7252758364026424,ARKK
10.0,0.002508237757332523,0.9884164742771464,ARKK
11.0,0.05071359053015464,0.7723398119307602,ARKK
12.0,0.08487669172165996,0.6331749364389908,ARKK
13.0,0.18507389245370587,0.30248627214437296,ARKK
14.0,0.0664857238894903,0.7176980473789744,ARKK
15.0,0.033670313348115016,0.8572976221316704,ARKK
16.0,-0.09966828145138314,0.6002666143676805,ARKK
