ETF,R²,Adj_R²,F_p_value,N,Return_lag1,Return_lag1_pval,Return_lag2,Return_lag2_pval,Return_lag3,Return_lag3_pval
AIQ,0.1960324546881237,0.049856537358691555,0.2038163355256452,92,542.5132318773982,0.09929774879478433,38.533324597602586,0.905772194831882,626.5230112903414,0.0569966688005973
ARKB,0.7225705029615765,0.29101350756847344,0.22036856720938255,24,-482.89156435776056,0.28774683734755974,402.3079356264549,0.23435098060034443,289.0302656545712,0.37606820332980495
ARKF,0.1414637392287975,-0.0352937262240971,0.6655960788051535,83,182.7501155700951,0.4548894969420355,278.3697157340667,0.25196358150133097,158.09304531809607,0.5212548768077814
ARKG,0.19172953901881828,0.09743131857101373,0.020536424809386895,135,927.1386655267564,0.003478645942297948,929.76861445247,0.003286027469772061,495.15047361142865,0.1137229469725185
ARKK,0.10679348834911773,0.0025860619898481207,0.4337042830239342,135,746.096031545715,0.12192484582182853,1193.3069709517135,0.013815622780657953,329.3063579349455,0.4930997219478672
ARKQ,0.30443896281837335,-0.10130497553757545,0.7073100416498783,39,75.38695734894233,0.47890101012496156,-44.1736050538251,0.6648921136802537,209.23503854094218,0.0528046613896634
ARKW,0.4733969104403405,0.1662117748638725,0.17030443903998874,39,122.99483127134019,0.18241988512528143,37.92788963318793,0.6638874832112187,115.29869146738386,0.20763988769290392
ARKX,0.27295697095817406,0.03624528708409125,0.34377032662748597,58,35.240059653184396,0.6083400230538298,-90.46552013729317,0.19280506755137375,132.88806240502709,0.061016601074755546
ARTY,0.17639578733437533,0.02467922184333926,0.3210325921527406,91,147.44202677870516,0.01978047004332857,86.41611883703905,0.16585757363993472,111.79285279767953,0.07457863512522492
BKGI,0.22707044286201095,-0.243408418004591,0.9197524532523946,38,249.41664206000073,0.1320659185908793,180.57017810411696,0.30586160702589515,74.4296708135205,0.6555100687941973
BLOK,0.14757615189305373,0.00024363493629753208,0.45989422137525565,96,233.31790338604785,0.00630411907457425,-47.946795351719,0.5700727428900911,8.32478510718985,0.9209249208320343
BOTZ,0.1601954769794406,0.03898657674966921,0.20890400654851934,112,320.837679901673,0.0388989451084243,189.65956107710892,0.21654666300793066,325.34416349216906,0.03634889449354088
BUG,0.28626239341532245,0.11972361854556435,0.07538462368566012,75,183.2196721409244,0.2522366882036254,558.1933767250117,0.0009109063623446425,190.49596294474242,0.24178538414516468
CGW,0.14552269595768763,0.05132834748058235,0.1043677554140153,142,54.54480136123732,0.03664777148799036,16.97810035589583,0.516752571821022,20.4660517060035,0.4329252144916753
DSI,0.23062748705701042,0.14581476909479107,0.0015629858566235592,142,-111.3795504387423,0.26934236008299556,10.27679335815229,0.9194071944200843,79.54606481343288,0.42987037337016054
DTCR,0.22761903055175303,0.0023412477960143008,0.4590458182507769,63,126.08394436564836,0.1322399615389055,8.00947994838019,0.9237146798088496,179.22356000652127,0.04644808897890413
EUAD,1.0,,,15,2916.557564494361,,-687.3164361796748,,-655.6047562944523,
FPX,0.22845553783025208,0.14340339239421684,0.0017743966617895337,142,122.95650164549343,0.002722984789844051,107.33988331036204,0.008515621901146086,68.10969714063603,0.09285646489362287
GII,0.0825035914117952,-0.018637744968006853,0.6509146811700062,142,53.988712264847386,0.10353520863287638,39.132697391438306,0.2435168096799823,31.247760266552262,0.3531708053410523
GNR,0.1585293357019104,0.0657687900312548,0.06140062941573021,142,452.9465032903119,0.0019567812434607736,344.16664016392536,0.019282044591455893,206.92770343734134,0.1589165690435558
GRID,0.08085657165697291,-0.02046632595564435,0.669860690175981,142,535.1941859389718,0.02435332236510929,261.93824194993636,0.2733259351585979,177.71679715862066,0.45543350507450464
GRNY,1.0,,,14,-5190.033619661954,,-350.24005753887445,,5114.029624441506,
GUNR,0.2817871089293468,0.20261403432313296,6.037461149790213e-05,142,893.3218952631383,0.00016556337744929965,893.0474610978612,0.0001939373831885335,749.8343395340861,0.0017583469512883804
IFRA,0.17662887956853757,0.02884431949109556,0.29611415938151886,93,205.00462463595915,0.40778636151306247,539.2902871739201,0.03613860652649392,188.9767656531614,0.45172976988152513
IGE,0.08173102535218846,-0.019495475790090033,0.6598225853066877,142,116.89516618160137,0.13778164826452202,-64.151077827595,0.42139930415085336,78.25946259168485,0.32854407649944317
IGF,0.09723020332734622,-0.002287727014521179,0.48046112162776367,142,155.59059913528117,0.5126846559457401,75.62346926853462,0.7530286490532025,259.18081342840355,0.2849144371068088
IZRL,0.19334882176263668,0.05562788889284298,0.17015646191097591,97,70.2878030645672,0.06779822405388744,74.89872935513839,0.05410316227302037,40.11872007942132,0.2986309560583997
JUST,0.13538084203514422,-0.023891108116276483,0.6140577372074587,91,6.701055496250962,0.841262051186006,-49.31869638115466,0.14640340307401406,34.22561092377792,0.30556857655285674
KOMP,0.10253918884933622,-0.07196707998551499,0.8662306144640196,87,-137.60204314988445,0.23039970168017784,57.38458122445609,0.6141341133308784,-71.9064721935791,0.5274087673949207
LIT,0.29404407269612354,0.21622215945002687,2.5716754425263118e-05,142,430.7336798739212,3.479464807003995e-05,340.403092007023,0.0009218823279590353,263.8249742250151,0.009837090052589686
MOO,0.20690155384222164,0.11947337867522245,0.0059317087950816055,142,471.49434440002244,0.002340660464155558,278.2595146025707,0.07296387676140342,200.73095502760327,0.1973108644001531
MSOS,0.2067328688282194,-0.01991488293514654,0.552088969587218,64,68.6686631809292,0.23487495770456734,83.21867985513369,0.1488434875338227,28.904404862375316,0.6140387768093853
NFRA,0.12674523234748047,0.03048092725192708,0.2064223258125668,142,-15.357325495173143,0.9091649755307478,24.767655566864345,0.8583126008037285,94.43959510058365,0.49335968883515424
PAVE,0.2422094202830105,0.12562625417270457,0.020187754044085564,106,706.2139360121885,0.02819509894259946,911.3639783606855,0.005861248226880543,512.8151196203736,0.11211005023202575
PBW,0.2820003348653596,0.20285076548043857,5.949923655831553e-05,142,213.6244593380968,0.00014515540592022511,209.2667613094322,0.00015848874134781834,135.4100361755864,0.0146861978488627
PHO,0.18647294890506294,0.0967928015402667,0.01699862184587592,142,139.4089585956581,0.00039187886340761886,63.68640163231648,0.10305302917890681,46.720347948078995,0.22390805346541692
PRNT,0.4370649709306137,0.10868620397347173,0.26055792901820196,39,-3.170437779622582,0.6253953372542251,1.6838206332954953,0.7806589736765522,4.178260558668122,0.4987328447328696
PWRD,0.23005921843457877,-0.10678987350029301,0.7734118501493407,47,139.2390082425807,0.13008938590766897,102.84258607354165,0.26227090224157884,39.769937814915735,0.6591170472605952
ROBO,0.14178615250045534,0.047179901594993745,0.12051670929078781,142,214.06856485816178,0.0159690591105839,156.77842255890914,0.07777495799949861,142.8877430177435,0.10728854386463695
ROBT,0.16252656461824433,0.01596871342643702,0.36320236782664833,95,49.98160755224343,0.039738826407436166,43.25790187399578,0.07433561676738151,57.28216282663065,0.01909131444406904
SAMT,0.15998386570984846,-0.19638661550415537,0.9439958718198826,48,48.81530927968789,0.4515472488537412,42.41185374207305,0.5198562702158233,65.28561399768984,0.3151315699064446
SIXG,0.12477083060034078,-0.05811287643839402,0.7834061614879206,82,106.2764198508275,0.18557391841522708,63.23527555713879,0.43347202769320425,49.47403827189739,0.5344851981564742
SUSA,0.15102873193235,0.05744134805087675,0.0838377726769773,142,-513.2612475846456,0.1794038313280752,-514.1207733487554,0.18212010013460223,300.9161989343958,0.4302075162913219
XT,0.03559773030605906,-0.08180776339581208,0.9926875548142635,130,51.3177584084299,0.6892176172755125,139.76103769402073,0.28034324183699044,88.2331211746427,0.49224321019658646
