model,r2,beta_lag1,beta_lag1_p,f_stat,n_obs,n_etfs,gate_pass,extra_json,experiment_id,factors,freq,flow_unit,benchmark,r2_delta_bp
univariate_r2_by_lag,,,,,0,44,False,{},N-CE,C+E,W,raw,SPY,
multilag_ols,,,,,0,44,False,{},N-CE,C+E,W,raw,SPY,
multilag_ols_month_fe,,,,,0,44,False,{},N-CE,C+E,W,raw,SPY,
cross_correlation,,0.09505143323791503,0.03206395679651217,,0,44,True,"{""best_lag"": 1, ""best_corr"": 0.09505143323791503}",N-CE,C+E,W,raw,SPY,
panel_pooled,,,,,0,44,False,{},N-CE,C+E,W,raw,SPY,
panel_entity_fe,,,,,0,44,False,{},N-CE,C+E,W,raw,SPY,
panel_entity_time_fe,,,,,0,44,False,{},N-CE,C+E,W,raw,SPY,
panel_entity_fe_excess,,,,,0,44,False,{},N-CE,C+E,W,raw,SPY,
panel_entity_fe_controls,,,,,0,44,False,{},N-CE,C+E,W,raw,SPY,
asymmetry,,,,,0,44,False,{},N-CE,C+E,W,raw,SPY,
relative_performance,0.11855447262282831,,,,18860,44,False,"{""r2_absolute_median"": 0.07236990540243804, ""r2_excess_median"": 0.0866866093604679, ""r2_combined_median"": 0.11855447262282831}",N-CE,C+E,W,raw,SPY,0.0
granger,,,0.04692043713657984,3.9752963285998297,0,44,False,"{""pct_significant_lag1"": 0.5227272727272727}",N-CE,C+E,W,raw,SPY,
seasonality,,,,,19388,44,False,"{""jan_mean"": 7.028632016756434, ""best_month"": 2, ""worst_month"": 8}",N-CE,C+E,W,raw,SPY,
drawdown,0.021493362543475003,-0.09753344105065337,0.8613012068206904,,1132,44,False,"{""1m"": {""beta_depth"": -0.09753344105065337, ""beta_depth_p"": 0.8613012068206904, ""r2"": 0.021493362543475003}, ""2m"": {""beta_depth"": 1.3871725318856598, ""beta_depth_p"": 0.45983480538274635, ""r2"": 0.01163687069651187}, ""3m"": {""beta_depth"": 1.6936866955290637, ""beta_depth_p"": 0.6177766702366211, ""r2"": 0.007527255245607711}, ""6m"": {""beta_depth"": 4.239456329375718, ""beta_depth_p"": 0.45005778669615726, ""r2"": 0.011154632227185046}}",N-CE,C+E,W,raw,SPY,0.0
panel_entity_fe_cum,,,,,0,44,False,{},N-CE,C+E,W,raw,SPY,
panel_entity_fe_cum_long,,,,,0,44,False,{},N-CE,C+E,W,raw,SPY,
panel_entity_time_fe_cum,,,,,0,44,False,{},N-CE,C+E,W,raw,SPY,
panel_gmm_ab,,,,,0,44,False,{},N-CE,C+E,W,raw,SPY,
panel_gmm_bb,,,,,0,44,False,{},N-CE,C+E,W,raw,SPY,
panel_entity_fe_trend,,,,,0,44,False,{},N-CE,C+E,W,raw,SPY,
univariate_r2_by_lag,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,SPY,
multilag_ols,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,SPY,
multilag_ols_month_fe,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,SPY,
cross_correlation,,0.10070082106990683,0.03651552586986663,,0,44,True,"{""best_lag"": 1, ""best_corr"": 0.10070082106990683}",N-CE,C+E,W,pct_aum,SPY,
panel_pooled,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,SPY,
panel_entity_fe,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,SPY,
panel_entity_time_fe,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,SPY,
panel_entity_fe_excess,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,SPY,
panel_entity_fe_controls,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,SPY,
asymmetry,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,SPY,
relative_performance,0.10689477529722263,,,,18851,44,False,"{""r2_absolute_median"": 0.07091941680307007, ""r2_excess_median"": 0.08095711612915718, ""r2_combined_median"": 0.10689477529722263}",N-CE,C+E,W,pct_aum,SPY,0.0
granger,,,0.06761467712754694,3.3776021788347954,0,42,False,"{""pct_significant_lag1"": 0.4523809523809524}",N-CE,C+E,W,pct_aum,SPY,
seasonality,,,,,19343,44,False,"{""jan_mean"": NaN, ""best_month"": 1, ""worst_month"": 8}",N-CE,C+E,W,pct_aum,SPY,
drawdown,0.012514274460384,0.05987541433776075,0.287420605350821,,1132,44,False,"{""1m"": {""beta_depth"": 0.05987541433776075, ""beta_depth_p"": 0.287420605350821, ""r2"": 0.012514274460384}, ""2m"": {""beta_depth"": 0.07546031525188286, ""beta_depth_p"": 0.47662197803829287, ""r2"": 0.013309085517576924}, ""3m"": {""beta_depth"": -0.04755392680779939, ""beta_depth_p"": 0.7701642196953337, ""r2"": 0.012541957638266599}, ""6m"": {""beta_depth"": -0.1264421034687851, ""beta_depth_p"": 0.6449391696976454, ""r2"": 0.016432820845811436}}",N-CE,C+E,W,pct_aum,SPY,0.0
panel_entity_fe_cum,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,SPY,
panel_entity_fe_cum_long,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,SPY,
panel_entity_time_fe_cum,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,SPY,
panel_gmm_ab,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,SPY,
panel_gmm_bb,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,SPY,
panel_entity_fe_trend,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,SPY,
univariate_r2_by_lag,,,,,0,44,False,{},N-CE,C+E,W,raw,QQQ,
multilag_ols,,,,,0,44,False,{},N-CE,C+E,W,raw,QQQ,
multilag_ols_month_fe,,,,,0,44,False,{},N-CE,C+E,W,raw,QQQ,
cross_correlation,,0.09505143323791503,0.03206395679651217,,0,44,True,"{""best_lag"": 1, ""best_corr"": 0.09505143323791503}",N-CE,C+E,W,raw,QQQ,
panel_pooled,,,,,0,44,False,{},N-CE,C+E,W,raw,QQQ,
panel_entity_fe,,,,,0,44,False,{},N-CE,C+E,W,raw,QQQ,
panel_entity_time_fe,,,,,0,44,False,{},N-CE,C+E,W,raw,QQQ,
panel_entity_fe_excess,,,,,0,44,False,{},N-CE,C+E,W,raw,QQQ,
panel_entity_fe_controls,,,,,0,44,False,{},N-CE,C+E,W,raw,QQQ,
asymmetry,,,,,0,44,False,{},N-CE,C+E,W,raw,QQQ,
relative_performance,0.12843535009386803,,,,18736,42,False,"{""r2_absolute_median"": 0.06813001725098228, ""r2_excess_median"": 0.08985577338579259, ""r2_combined_median"": 0.12843535009386803}",N-CE,C+E,W,raw,QQQ,0.0
granger,,,0.04692043713657984,3.9752963285998297,0,44,False,"{""pct_significant_lag1"": 0.5227272727272727}",N-CE,C+E,W,raw,QQQ,
seasonality,,,,,19388,44,False,"{""jan_mean"": 7.028632016756434, ""best_month"": 2, ""worst_month"": 8}",N-CE,C+E,W,raw,QQQ,
drawdown,0.021493362543475003,-0.09753344105065337,0.8613012068206904,,1132,44,False,"{""1m"": {""beta_depth"": -0.09753344105065337, ""beta_depth_p"": 0.8613012068206904, ""r2"": 0.021493362543475003}, ""2m"": {""beta_depth"": 1.3871725318856598, ""beta_depth_p"": 0.45983480538274635, ""r2"": 0.01163687069651187}, ""3m"": {""beta_depth"": 1.6936866955290637, ""beta_depth_p"": 0.6177766702366211, ""r2"": 0.007527255245607711}, ""6m"": {""beta_depth"": 4.239456329375718, ""beta_depth_p"": 0.45005778669615726, ""r2"": 0.011154632227185046}}",N-CE,C+E,W,raw,QQQ,0.0
panel_entity_fe_cum,,,,,0,44,False,{},N-CE,C+E,W,raw,QQQ,
panel_entity_fe_cum_long,,,,,0,44,False,{},N-CE,C+E,W,raw,QQQ,
panel_entity_time_fe_cum,,,,,0,44,False,{},N-CE,C+E,W,raw,QQQ,
panel_gmm_ab,,,,,0,44,False,{},N-CE,C+E,W,raw,QQQ,
panel_gmm_bb,,,,,0,44,False,{},N-CE,C+E,W,raw,QQQ,
panel_entity_fe_trend,,,,,0,44,False,{},N-CE,C+E,W,raw,QQQ,
univariate_r2_by_lag,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,QQQ,
multilag_ols,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,QQQ,
multilag_ols_month_fe,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,QQQ,
cross_correlation,,0.10070082106990683,0.03651552586986663,,0,44,True,"{""best_lag"": 1, ""best_corr"": 0.10070082106990683}",N-CE,C+E,W,pct_aum,QQQ,
panel_pooled,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,QQQ,
panel_entity_fe,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,QQQ,
panel_entity_time_fe,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,QQQ,
panel_entity_fe_excess,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,QQQ,
panel_entity_fe_controls,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,QQQ,
asymmetry,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,QQQ,
relative_performance,0.18433707177078212,,,,18727,42,False,"{""r2_absolute_median"": 0.06465582385676, ""r2_excess_median"": 0.09431881146443954, ""r2_combined_median"": 0.18433707177078212}",N-CE,C+E,W,pct_aum,QQQ,0.0
granger,,,0.06761467712754694,3.3776021788347954,0,42,False,"{""pct_significant_lag1"": 0.4523809523809524}",N-CE,C+E,W,pct_aum,QQQ,
seasonality,,,,,19343,44,False,"{""jan_mean"": NaN, ""best_month"": 1, ""worst_month"": 8}",N-CE,C+E,W,pct_aum,QQQ,
drawdown,0.012514274460384,0.05987541433776075,0.287420605350821,,1132,44,False,"{""1m"": {""beta_depth"": 0.05987541433776075, ""beta_depth_p"": 0.287420605350821, ""r2"": 0.012514274460384}, ""2m"": {""beta_depth"": 0.07546031525188286, ""beta_depth_p"": 0.47662197803829287, ""r2"": 0.013309085517576924}, ""3m"": {""beta_depth"": -0.04755392680779939, ""beta_depth_p"": 0.7701642196953337, ""r2"": 0.012541957638266599}, ""6m"": {""beta_depth"": -0.1264421034687851, ""beta_depth_p"": 0.6449391696976454, ""r2"": 0.016432820845811436}}",N-CE,C+E,W,pct_aum,QQQ,0.0
panel_entity_fe_cum,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,QQQ,
panel_entity_fe_cum_long,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,QQQ,
panel_entity_time_fe_cum,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,QQQ,
panel_gmm_ab,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,QQQ,
panel_gmm_bb,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,QQQ,
panel_entity_fe_trend,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,QQQ,
univariate_r2_by_lag,,,,,0,44,False,{},N-CE,C+E,W,raw,peer_avg,
multilag_ols,,,,,0,44,False,{},N-CE,C+E,W,raw,peer_avg,
multilag_ols_month_fe,,,,,0,44,False,{},N-CE,C+E,W,raw,peer_avg,
cross_correlation,,0.09505143323791503,0.03206395679651217,,0,44,True,"{""best_lag"": 1, ""best_corr"": 0.09505143323791503}",N-CE,C+E,W,raw,peer_avg,
panel_pooled,,,,,0,44,False,{},N-CE,C+E,W,raw,peer_avg,
panel_entity_fe,,,,,0,44,False,{},N-CE,C+E,W,raw,peer_avg,
panel_entity_time_fe,,,,,0,44,False,{},N-CE,C+E,W,raw,peer_avg,
panel_entity_fe_excess,,,,,0,44,False,{},N-CE,C+E,W,raw,peer_avg,
panel_entity_fe_controls,,,,,0,44,False,{},N-CE,C+E,W,raw,peer_avg,
asymmetry,,,,,0,44,False,{},N-CE,C+E,W,raw,peer_avg,
relative_performance,0.12267012612353223,,,,18860,44,False,"{""r2_absolute_median"": 0.07236990540243804, ""r2_excess_median"": 0.06143898660009217, ""r2_combined_median"": 0.12267012612353223}",N-CE,C+E,W,raw,peer_avg,0.0
granger,,,0.04692043713657984,3.9752963285998297,0,44,False,"{""pct_significant_lag1"": 0.5227272727272727}",N-CE,C+E,W,raw,peer_avg,
seasonality,,,,,19388,44,False,"{""jan_mean"": 7.028632016756434, ""best_month"": 2, ""worst_month"": 8}",N-CE,C+E,W,raw,peer_avg,
drawdown,0.021493362543475003,-0.09753344105065337,0.8613012068206904,,1132,44,False,"{""1m"": {""beta_depth"": -0.09753344105065337, ""beta_depth_p"": 0.8613012068206904, ""r2"": 0.021493362543475003}, ""2m"": {""beta_depth"": 1.3871725318856598, ""beta_depth_p"": 0.45983480538274635, ""r2"": 0.01163687069651187}, ""3m"": {""beta_depth"": 1.6936866955290637, ""beta_depth_p"": 0.6177766702366211, ""r2"": 0.007527255245607711}, ""6m"": {""beta_depth"": 4.239456329375718, ""beta_depth_p"": 0.45005778669615726, ""r2"": 0.011154632227185046}}",N-CE,C+E,W,raw,peer_avg,0.0
panel_entity_fe_cum,,,,,0,44,False,{},N-CE,C+E,W,raw,peer_avg,
panel_entity_fe_cum_long,,,,,0,44,False,{},N-CE,C+E,W,raw,peer_avg,
panel_entity_time_fe_cum,,,,,0,44,False,{},N-CE,C+E,W,raw,peer_avg,
panel_gmm_ab,,,,,0,44,False,{},N-CE,C+E,W,raw,peer_avg,
panel_gmm_bb,,,,,0,44,False,{},N-CE,C+E,W,raw,peer_avg,
panel_entity_fe_trend,,,,,0,44,False,{},N-CE,C+E,W,raw,peer_avg,
univariate_r2_by_lag,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,peer_avg,
multilag_ols,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,peer_avg,
multilag_ols_month_fe,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,peer_avg,
cross_correlation,,0.10070082106990683,0.03651552586986663,,0,44,True,"{""best_lag"": 1, ""best_corr"": 0.10070082106990683}",N-CE,C+E,W,pct_aum,peer_avg,
panel_pooled,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,peer_avg,
panel_entity_fe,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,peer_avg,
panel_entity_time_fe,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,peer_avg,
panel_entity_fe_excess,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,peer_avg,
panel_entity_fe_controls,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,peer_avg,
asymmetry,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,peer_avg,
relative_performance,0.11989675918359322,,,,18851,44,False,"{""r2_absolute_median"": 0.07091941680307007, ""r2_excess_median"": 0.05679781040057169, ""r2_combined_median"": 0.11989675918359322}",N-CE,C+E,W,pct_aum,peer_avg,0.0
granger,,,0.06761467712754694,3.3776021788347954,0,42,False,"{""pct_significant_lag1"": 0.4523809523809524}",N-CE,C+E,W,pct_aum,peer_avg,
seasonality,,,,,19343,44,False,"{""jan_mean"": NaN, ""best_month"": 1, ""worst_month"": 8}",N-CE,C+E,W,pct_aum,peer_avg,
drawdown,0.012514274460384,0.05987541433776075,0.287420605350821,,1132,44,False,"{""1m"": {""beta_depth"": 0.05987541433776075, ""beta_depth_p"": 0.287420605350821, ""r2"": 0.012514274460384}, ""2m"": {""beta_depth"": 0.07546031525188286, ""beta_depth_p"": 0.47662197803829287, ""r2"": 0.013309085517576924}, ""3m"": {""beta_depth"": -0.04755392680779939, ""beta_depth_p"": 0.7701642196953337, ""r2"": 0.012541957638266599}, ""6m"": {""beta_depth"": -0.1264421034687851, ""beta_depth_p"": 0.6449391696976454, ""r2"": 0.016432820845811436}}",N-CE,C+E,W,pct_aum,peer_avg,0.0
panel_entity_fe_cum,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,peer_avg,
panel_entity_fe_cum_long,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,peer_avg,
panel_entity_time_fe_cum,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,peer_avg,
panel_gmm_ab,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,peer_avg,
panel_gmm_bb,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,peer_avg,
panel_entity_fe_trend,,,,,0,44,False,{},N-CE,C+E,W,pct_aum,peer_avg,
univariate_r2_by_lag,0.2680413564311599,112.74286389752335,0.37609880604182333,,41,44,False,"{""best_lag"": 4, ""best_r2"": 0.27201558594442665}",N-CE,C+E,QE,raw,SPY,2193.537945171059
multilag_ols,0.2749503231971167,110.90482362569225,0.3980336719629936,0.05319799779286419,1461,42,False,{},N-CE,C+E,QE,raw,SPY,2274.244380902111
multilag_ols_month_fe,0.30840316695832937,99.3507782505432,0.434782544684952,0.10907525357556722,1461,42,False,{},N-CE,C+E,QE,raw,SPY,1724.027220865967
cross_correlation,,0.21532349685939317,0.2143441578052406,,0,41,False,"{""best_lag"": 1, ""best_corr"": 0.21532349685939317}",N-CE,C+E,QE,raw,SPY,
panel_pooled,0.08446134567568864,417.2835443446198,0.0007762735096863427,43.820787708756555,1471,44,True,"{""r2_overall"": 0.0822430143861228, ""r2_between"": 0.048526178401545716}",N-CE,C+E,QE,raw,SPY,362.3012619659416
panel_entity_fe,0.08446563460181,415.1867023668457,0.00036475101200039717,43.7919347865094,1471,44,True,"{""r2_overall"": 0.08223881635344965, ""r2_between"": 0.048416699889303305}",N-CE,C+E,QE,raw,SPY,362.34144745698416
panel_entity_time_fe,-120.55603205248798,6.979862976653916,0.8145878359726015,12374.478061294092,1471,44,False,"{""r2_overall"": -116.0052231725678, ""r2_between"": -18.41209126269592}",N-CE,C+E,QE,raw,SPY,-1206031.5752249865
panel_entity_fe_excess,0.09511843978636148,-18.1137198455301,0.7701043897728939,37.395374645505,1471,44,False,"{""r2_overall"": 0.09276450295650285, ""r2_between"": 0.05305866171381379}",N-CE,C+E,QE,raw,SPY,373.14062565274367
panel_entity_fe_controls,0.08747038484326208,398.83661054992115,0.00028719244353769824,33.069921534263884,1428,44,True,"{""r2_overall"": 0.08610272456978074, ""r2_between"": 0.05087440491194506}",N-CE,C+E,QE,raw,SPY,268.39195483067124
asymmetry,0.7160513773933859,69.16450381117174,,,1229,42,False,"{""beta_pos_median"": 69.16450381117174, ""beta_neg_median"": 59.80353816035621, ""asymmetry_ratio_median"": 0.49367066336711213, ""wald_p_median"": 0.3024645968372277}",N-CE,C+E,QE,raw,SPY,1029.6749578463193
relative_performance,0.5696660889451532,,,,1229,42,False,"{""r2_absolute_median"": 0.33256917880503833, ""r2_excess_median"": 0.3628543835473018, ""r2_combined_median"": 0.5696660889451532}",N-CE,C+E,QE,raw,SPY,0.0
granger,,,0.2171952777971799,1.5817091936510814,0,28,False,"{""pct_significant_lag1"": 0.25}",N-CE,C+E,QE,raw,SPY,
seasonality,,,,,1516,44,False,"{""error"": ""single positional indexer is out-of-bounds""}",N-CE,C+E,QE,raw,SPY,
drawdown,,,,,213,35,False,"{""3m"": {""beta_depth"": -1.3702175377872097, ""beta_depth_p"": 0.45872078699033747, ""r2"": 0.007503675756340589}, ""6m"": {""beta_depth"": 3.0288558651971864, ""beta_depth_p"": 0.32307070176659025, ""r2"": 0.016872007422692792}}",N-CE,C+E,QE,raw,SPY,
panel_entity_fe_cum,0.052435202776679124,63.996908367900886,0.7532181870009795,3.2372027447879077,385,28,False,"{""r2_overall"": 0.05516007850319615, ""r2_between"": 0.10932159455128443, ""CumRet_5_coef"": 25.490365569047302, ""CumRet_5_pval"": 0.8176750192205575, ""CumRet_20_coef"": 50.530644265908414, ""CumRet_20_pval"": 0.5963358182657224, ""CumRet_60_coef"": -16.12764748554551, ""CumRet_60_pval"": 0.9532265104485456}",N-CE,C+E,QE,raw,SPY,372.4505337215889
panel_entity_fe_cum_long,,,,,0,44,False,{},N-CE,C+E,QE,raw,SPY,
panel_entity_time_fe_cum,-83.08393528975363,-13.716132930593012,0.4122351727416147,11660.140890174765,385,28,False,"{""r2_overall"": -76.96918114216669, ""r2_between"": -120.53443383733683, ""CumRet_5_coef"": -16.838475005665135, ""CumRet_5_pval"": 0.3040779858138738, ""CumRet_20_coef"": -2.512203752054006, ""CumRet_20_pval"": 0.8519591827043826, ""CumRet_60_coef"": 26.74633508814065, ""CumRet_60_pval"": 0.3107178582247745}",N-CE,C+E,QE,raw,SPY,-830495.806225357
panel_gmm_ab,,263.400687832771,0.06345203776471285,,44,44,False,"{""sargan_stat"": 43.06873422635811, ""sargan_p"": 1.0, ""ar1_stat"": -3.2031088363990423, ""ar1_p"": 0.0013595259093120567, ""ar2_stat"": -1.0613696149394127, ""ar2_p"": 0.288521959989515, ""transformation"": ""d""}",N-CE,C+E,QE,raw,SPY,
panel_gmm_bb,,247.15244486836636,0.001803574536027697,,44,44,True,"{""sargan_stat"": 42.55476186176833, ""sargan_p"": 1.0, ""ar1_stat"": -2.625887248741607, ""ar1_p"": 0.008642343973955727, ""ar2_stat"": -1.0109068038774853, ""ar2_p"": 0.3120610372638028, ""transformation"": ""ld""}",N-CE,C+E,QE,raw,SPY,
panel_entity_fe_trend,0.09023370504708372,401.42796253299736,0.0009919599095763716,45.6243593018651,1471,44,True,"{""r2_overall"": 0.18398672453363984}",N-CE,C+E,QE,raw,SPY,418.5221863901556
univariate_r2_by_lag,,,,,0,44,False,"{""error"": ""exog contains inf or nans""}",N-CE,C+E,QE,pct_aum,SPY,
multilag_ols,,,,,0,44,False,"{""error"": ""exog contains inf or nans""}",N-CE,C+E,QE,pct_aum,SPY,
multilag_ols_month_fe,,,,,0,44,False,"{""error"": ""exog contains inf or nans""}",N-CE,C+E,QE,pct_aum,SPY,
cross_correlation,,0.17491278695916967,0.3197592061499466,,0,41,False,"{""best_lag"": 1, ""best_corr"": 0.17491278695916967}",N-CE,C+E,QE,pct_aum,SPY,
panel_pooled,,,,,0,44,False,"{""error"": ""array must not contain infs or NaNs""}",N-CE,C+E,QE,pct_aum,SPY,
panel_entity_fe,,,,,0,44,False,"{""error"": ""array must not contain infs or NaNs""}",N-CE,C+E,QE,pct_aum,SPY,
panel_entity_time_fe,,,,,0,44,False,"{""error"": ""array must not contain infs or NaNs""}",N-CE,C+E,QE,pct_aum,SPY,
panel_entity_fe_excess,,,,,0,44,False,"{""error"": ""array must not contain infs or NaNs""}",N-CE,C+E,QE,pct_aum,SPY,
panel_entity_fe_controls,,,,,0,44,False,"{""error"": ""array must not contain infs or NaNs""}",N-CE,C+E,QE,pct_aum,SPY,
asymmetry,,,,,0,44,False,"{""error"": ""exog contains inf or nans""}",N-CE,C+E,QE,pct_aum,SPY,
relative_performance,0.49885471055112124,,,,1229,42,False,"{""r2_absolute_median"": 0.24393388026318719, ""r2_excess_median"": 0.26997899719053364, ""r2_combined_median"": 0.49885471055112124}",N-CE,C+E,QE,pct_aum,SPY,0.0
granger,,,0.44272775142937437,0.6049947591115756,0,26,False,"{""pct_significant_lag1"": 0.11538461538461539}",N-CE,C+E,QE,pct_aum,SPY,
seasonality,,,,,1515,44,False,"{""error"": ""single positional indexer is out-of-bounds""}",N-CE,C+E,QE,pct_aum,SPY,
