model,r2,beta_lag1,beta_lag1_p,f_stat,n_obs,n_etfs,gate_pass,extra_json,experiment_id,factors,freq,flow_unit,benchmark,r2_delta_bp
univariate_r2_by_lag,0.024810053954298805,67.01961447448681,0.0318469727856098,,44,44,True,"{""best_lag"": 1, ""best_r2"": 0.024810053954298805}",N-D,D,W,raw,SPY,157.59487680717166
multilag_ols,0.08284985724998883,69.1292339001177,0.030569744310199144,0.007874108537206756,18860,44,True,{},N-D,D,W,raw,SPY,104.79951847550795
multilag_ols_month_fe,0.10868461330399043,62.238274705299844,0.03549795968322662,0.032130677962917395,18860,44,True,{},N-D,D,W,raw,SPY,68.6193067606522
cross_correlation,,0.09505143323791503,0.03206395679651217,,0,44,True,"{""best_lag"": 1, ""best_corr"": 0.09505143323791503}",N-D,D,W,raw,SPY,
panel_pooled,0.014628082237192475,75.06618056064407,0.06508009466128328,18.73152834972832,18860,44,False,"{""r2_overall"": 0.0146914155823471, ""r2_between"": 0.005926669153994535}",N-D,D,W,raw,SPY,1.0464690666689425
panel_entity_fe,0.014628263479927517,75.20890550583435,0.0673430461643374,18.607257308285494,18860,44,False,"{""r2_overall"": 0.01469123428543162, ""r2_between"": 0.005817024177770191}",N-D,D,W,raw,SPY,1.0466278912180105
panel_entity_time_fe,0.012952290808542988,91.63505405431523,0.13774325680148714,17.090396683206695,18860,44,False,"{""r2_overall"": 0.01300900057900034, ""r2_between"": 0.0028558616125431424}",N-D,D,W,raw,SPY,0.0
panel_entity_fe_excess,0.01928722753430978,23.715561014502914,0.38981929076013166,13.660233406869526,18825,44,False,"{""r2_overall"": 0.019383569078447627, ""r2_between"": 0.020315716319357358}",N-D,D,W,raw,SPY,1.7209939767426352
panel_entity_fe_controls,0.01573970283787629,75.21977028330446,0.06679210759681276,18.789898249302578,18860,44,False,"{""r2_overall"": 0.01615733965176014, ""r2_between"": -0.020886214782919854}",N-D,D,W,raw,SPY,1.3007374883422518
asymmetry,0.12180980956423942,33.78254588366117,,,18860,44,False,"{""beta_pos_median"": 33.78254588366117, ""beta_neg_median"": 28.54520601951785, ""asymmetry_ratio_median"": 0.8745920893783613, ""wald_p_median"": 0.000474501001716393}",N-D,D,W,raw,SPY,127.18977770309392
