lag,r_squared,coefficient,p_value,f_statistic,f_pvalue,ETF
1,0.29191212451401094,5.135172092163696,0.083728409278055,11.955368682306752,0.0017035896555510745,AIQ
2,0.007169178511889807,8.739688852843651,0.017169022972217476,0.20218650951230271,0.6564234231973212,AIQ
3,0.0004883112537282797,9.761691892823348,0.009396679201996843,0.013190845088766098,0.9094127775197802,AIQ
4,0.11314023839033938,12.061394004636853,0.0013210880379109296,3.3169237409189725,0.08009698663280683,AIQ
5,0.11458869787811299,12.597719970929562,0.0013338989579239247,3.2354651901184606,0.08414524862314043,AIQ
6,0.017574715122857132,11.829386109557626,0.004527001098460257,0.4293386677250654,0.5185454250695858,AIQ
7,0.0895369832902495,13.180057220908935,0.0019082502065933414,2.261871792571939,0.14620247663989835,AIQ
8,0.017669097106898013,12.684121802149495,0.004645813771042794,0.39571201028789943,0.5357899953141413,AIQ
9,0.01955986305272761,13.234850358462225,0.004300913657938427,0.4189517632215919,0.5244736658988706,AIQ
10,0.0441340668847815,10.439322531658725,0.01893155669739113,0.9234363388377331,0.3480491245012175,AIQ
11,0.025377930761476764,10.253857998844826,0.02899964470918713,0.49473606199456166,0.490352480749226,AIQ
12,0.21246398901236507,8.85977060677393,0.04297653779478038,4.856097688061933,0.04081012822843005,AIQ
13,0.0023000029811948153,12.199155819550729,0.017446774533962896,0.03919018823007556,0.8454202739596339,AIQ
14,0.01880342404849822,12.15051070973152,0.022622547636180282,0.3066202962278195,0.5874172796243375,AIQ
15,0.01009851775302828,12.867849229826657,0.023934865078520728,0.1530230725097878,0.7011633961205241,AIQ
16,0.015109060746526515,15.012313002007456,0.01727794913641099,0.21477185140083058,0.6501753656167437,AIQ
1,0.15980128113656178,5.781815630421139,0.21585576554724145,4.945060277134168,0.03506321928600889,ARKF
2,0.036169568434070265,6.827635330295343,0.1939273012500765,0.9381725054921155,0.3420261938769943,ARKF
3,0.007126995842891892,7.801659125541876,0.1594275462296204,0.17227570848762797,0.6817842813415927,ARKF
4,0.012934378940202884,9.249117321712111,0.10568151676046945,0.3013889950956391,0.5883036017859854,ARKF
5,0.004864858728632071,8.890773206640091,0.13837947404117346,0.10755010811211971,0.7460513710206118,ARKF
6,0.002740702909089676,7.056700487254258,0.23129885782679474,0.057712935100003956,0.8124775531278516,ARKF
7,0.003258353559697058,3.0851517489647113,0.5113433069861827,0.06538010268425538,0.8007974285264932,ARKF
8,0.0018226622914936375,-0.23339688560768468,0.94101302127259,0.034693818653385985,0.8542129946583101,ARKF
9,0.01647859397445406,-3.1062295932038033,2.4695640910852974e-05,0.3015843780551822,0.5896393841147416,ARKF
10,0.09406399190387871,-3.1633502198933785,2.461011366043393e-05,1.765122313359104,0.20154659626612276,ARKF
11,0.022673857147460064,-2.990956763094963,0.0001129051650961456,0.37119820953576743,0.5509059102273606,ARKF
12,0.10818118022704426,-2.7384729141902047,9.719311829136301e-05,1.8195598337101528,0.19737836403270348,ARKF
13,0.004391125267960483,-2.707810861480026,0.0003758173440766592,0.06174689208951859,0.8073639353883538,ARKF
14,0.008217256291997765,-2.881734501414468,0.00030341145405504623,0.10770940760330709,0.747993187878349,ARKF
1,0.09311349526657242,8.744924395150216,0.0029224547311707066,4.414973952710347,0.04152283230102405,ARKG
2,0.22583937157255152,7.672730870800795,0.004346752127520489,12.252306895682036,0.0011147865872937108,ARKG
3,0.007214622596473097,8.72698626546751,0.005046553245166118,0.29794911688668646,0.5881288862455006,ARKG
4,0.02049937868946261,8.85198232788627,0.005038967590520343,0.8371359136877403,0.3657000912316334,ARKG
5,0.001221482059365786,9.43906964304865,0.003981031591780341,0.0476960601970999,0.8282607274840088,ARKG
6,0.0031747167363163076,9.736598968110966,0.0037719594819304904,0.12102345115589253,0.7298468791670509,ARKG
7,0.016866459302224857,9.52637470083863,0.005129067743783756,0.6347652362052439,0.43069563486160367,ARKG
8,0.027919312374939498,10.591207726134773,0.0025848647261264533,1.0339627752027665,0.3160151820568675,ARKG
9,0.0002650269548161166,10.248864101957594,0.004965298728538557,0.00927840244531147,0.9238123294293297,ARKG
10,6.928333677880261e-07,10.313578293791783,0.005794880815196947,2.355635082460583e-05,0.996155857916701,ARKG
11,0.00011528124441695375,9.405073263090566,0.011244384331084175,0.003804719678578091,0.951187828223969,ARKG
12,0.00013396202172499816,8.78599363205761,0.01799161322118572,0.0042873590384840295,0.9482008426804572,ARKG
13,0.02044553696423268,7.8658525678387905,0.03477509754705656,0.6470407412845103,0.4272987178401587,ARKG
14,0.0010181584360907658,6.807466267564195,0.05571875014404142,0.030575884177137837,0.8623647420424763,ARKG
15,0.008220034934391163,5.709520606807928,0.10213944503218554,0.24035675401203999,0.6276374606658175,ARKG
16,0.026569590271002697,6.087664477407495,0.0883537054757339,0.7642544553289533,0.3894372487029252,ARKG
17,0.007926352380088986,5.989719935667288,0.1126230287741487,0.21572139807950555,0.6460430762693323,ARKG
18,0.02474461071656664,6.350622588301935,0.10659731280268771,0.6596834897815211,0.4240461610283336,ARKG
19,0.09129868009497721,7.6329354462055985,0.05991429720295188,2.511790125509,0.12556701239272647,ARKG
20,0.02590680514542243,6.757706388203047,0.11792142275698118,0.6382996275658832,0.4321631204305544,ARKG
21,0.04499218500790303,7.31063066532386,0.10469062664487147,1.0835725519066388,0.3087189982393079,ARKG
22,0.00893457196372649,6.148041666477882,0.18668031186252468,0.19833260009024217,0.6604214516528881,ARKG
23,0.0001795843612933945,4.014190660457544,0.3668897339582088,0.0037719489702074532,0.9516085306708324,ARKG
1,0.06808880280799645,8.991391335302172,0.0106135011048017,3.14173553184663,0.08339728403860122,ARKK
2,0.019461390008086443,9.387535587195407,0.011222122585447192,0.8336014227388465,0.3664446807840953,ARKK
3,0.01067236507815117,9.88849565746752,0.009110952788638603,0.44228721887341704,0.5097444335521946,ARKK
4,0.00028169668816580007,10.48801461245905,0.006943746547196132,0.011271042541987852,0.9159819608724016,ARKK
5,0.0012858745203133681,11.021006615484353,0.00592810127369874,0.05021367477718934,0.8238616792918532,ARKK
6,0.00046999941462622097,11.205402445666667,0.006087275551865519,0.017868375882001956,0.8943668703830103,ARKK
7,0.0029347876646738102,11.48517127014138,0.006066348071922281,0.10890676181410089,0.7432534751245583,ARKK
8,0.0005282313542523953,11.640742719245267,0.00691123939522607,0.01902637908307523,0.8910595348448117,ARKK
9,0.0035727366203420763,11.75447930105701,0.007966854329265988,0.12549413921879707,0.7252758364026525,ARKK
10,6.291256647195098e-06,11.339128496838622,0.01198221111885204,0.00021390407173035414,0.9884164742772507,ARKK
11,0.0025718682644602087,8.343197333193206,0.014513811202197531,0.08509049426900427,0.7723398119307592,ARKK
12,0.007204052797613825,6.576448166772345,0.024378449650840097,0.23220248851061112,0.6331749364389878,ARKK
