ETF,Beta_Pos,Beta_Neg,Asymmetry_Ratio,Wald_P,R²,N
AIQ,-94.18472801662381,448.4909551986284,-0.21000362866829972,0.15813634278981206,0.30707134332804653,83
ARKB,421.7187132283505,-1073.8612088280056,0.392712493720308,0.03551401543621111,0.9191594609956609,22
ARKF,89.34054743874263,-144.08038910877244,0.6200743070682273,0.5465277893372167,0.6574131046258933,74
ARKG,109.62772563781523,-5.033826521696786,21.778208916278324,0.4532981373094438,0.6199792494760983,126
ARKK,52.969677763042114,-111.01385680774835,0.47714473928037626,0.7855647436268126,0.5237746679959439,126
ARKQ,65.86095858974025,-26.800785979017647,2.457426384483755,0.705771516545629,0.8299243630868397,34
ARKW,21.941384855577766,63.018398742276204,0.3481742680468693,0.6397239226014237,0.6688981463731039,34
ARKX,31.874018585287644,-8.148313959192583,3.9117317698993084,0.5535999334914947,0.7713391723436287,49
ARTY,43.908065335749484,64.96789995564366,0.6758424601338104,0.00689807174471022,0.4061023265685276,82
BKGI,-186.75533290530075,428.27276434339905,-0.4360663307451323,0.13539957965877586,0.7909627906291274,33
BLOK,26.443771869120408,1.3745219081220827,19.23852338246741,0.5119805814662967,0.36233237661493534,87
BOTZ,161.33327119490812,221.1836050654986,0.7294088146683967,0.000735661400750037,0.3699908791626869,103
BUG,52.98985575498538,81.77070173684336,0.6480298521286846,0.14657153035439452,0.7252312361738171,66
CGW,9.880603952519275,44.519488002787234,0.22193884960897753,0.010885397857464263,0.24681854520713276,133
DSI,96.93274789391546,72.60890471777087,1.3349980731797402,0.045253642839914884,0.347687486295539,133
DTCR,188.0461983482593,21.183783298313983,8.87689397593233,0.011183003872791813,0.7584014791704117,54
EUAD,1160.3372668495083,-1176.537283592414,0.9862307663608917,0.991009216619708,0.5508478393732847,15
FPX,-3.4176000987568287,97.04302900557921,-0.0352173683548186,0.00044541808925965094,0.392475105350649,133
GII,7.236115400499467,74.6502621661927,0.09693355643399909,0.003312205401821318,0.3218568442709887,133
GNR,200.16566724499822,138.0764662192276,1.4496725816200278,0.0023061180102165973,0.3226617669399212,133
GRID,214.6273210075349,456.10366660200543,0.47056697133465053,0.003958828990655312,0.1690673237330147,133
GRNY,2453.8105132387577,631.5997151622631,3.8850722290277693,0.08477034352311756,0.8357380747314337,14
GUNR,484.187596557905,296.5433016912106,1.632771989104268,1.1955639624277466e-05,0.4061629746519838,133
IFRA,-112.6114739719065,176.9312973502698,-0.6364700630040047,0.790779488543179,0.25749550392122256,84
IGE,33.17429188264109,100.80121251642545,0.3291060797233503,0.012582878445560075,0.22753232618918995,133
IGF,546.9573133007489,599.0277193111409,0.9130751310302117,1.007982094141727e-08,0.39009545666605505,133
IZRL,23.246530491570763,-34.35586206544088,0.6766394173806753,0.451644754506896,0.7697179171900108,88
JUST,16.651063093083334,5.0797666806893025,3.2779188769402015,0.2475152107226668,0.2691222531743914,82
KOMP,-66.76837856426664,144.62800359961554,-0.46165595114696123,0.30129097032467955,0.38870211854556325,78
LIT,154.51069105625442,106.93465478963611,1.4449075592960092,5.034626172914336e-07,0.6136548741045811,133
MOO,26.33868150857366,83.23237019740803,0.3164475725742805,0.17487986853433793,0.3035827500180516,133
MSOS,30.069190952999293,53.52348272141821,0.5617943643448049,0.0374495095144727,0.39419627154171943,55
NFRA,84.11476486535038,118.79705326202759,0.7080543040055095,0.16291593001348365,0.22232421605943076,133
PAVE,656.8902448198464,529.6091428939397,1.2403302579528845,1.8595132718498562e-05,0.4531066667625052,97
PBW,-6.606251898698981,-28.792239828847613,-0.2294455706804729,0.17871353077864954,0.6578612519530749,133
PHO,92.74292728888277,56.30833763769104,1.6470549687619185,7.24003930082954e-07,0.3247776034562284,133
PRNT,1.5704758692146394,9.531011812378512,0.16477535650254527,0.24846233090512262,0.7741502316111264,34
PWRD,129.30091114777497,47.36052219210898,2.7301411632095256,0.03248035955775262,0.7669071052198301,40
ROBO,23.145488788162485,202.33613825830503,0.11439127477373638,0.002295657101074225,0.3354306534546,133
ROBT,43.54115336946578,8.37605240466717,5.198290467381087,0.021802562904229026,0.2738418686749641,86
SAMT,94.61273813593688,25.97616678741797,3.6422902158822095,0.012733855359295741,0.8102040328388689,41
SIXG,-38.68820677608634,17.166138599858055,-2.253751276155154,0.7736663099299504,0.5352771127616323,73
SUSA,-10.089272325341975,-127.52072500014408,-0.07911868698464955,0.6594659280608042,0.3161868892891929,133
XT,91.73941353641987,140.1918097270227,0.6543849723821393,0.04610022856464837,0.13928493091430327,121
