model,r2,beta_lag1,beta_lag1_p,f_stat,n_obs,n_etfs,gate_pass,extra_json,experiment_id,factors,freq,flow_unit,benchmark,r2_delta_bp
univariate_r2_by_lag,0.14907818178346033,3.9852859521873825,0.1674962344960898,,44,44,False,"{""best_lag"": 4, ""best_r2"": 0.15680581847377673}",N-DE,D+E,ME,raw,SPY,1255.4553199595575
multilag_ols,0.18295984192559617,101.25856800714853,0.12730886779309142,0.00588975450246889,4360,44,False,{},N-DE,D+E,ME,raw,SPY,1022.4159496407153
multilag_ols_month_fe,0.2642891663047153,98.94697809325925,0.15098801631290415,0.052211720174168204,4360,44,False,{},N-DE,D+E,ME,raw,SPY,751.8792234277466
cross_correlation,,0.1533907090768255,0.14252281846944925,,0,44,False,"{""best_lag"": 1, ""best_corr"": 0.1533907090768255}",N-DE,D+E,ME,raw,SPY,
panel_pooled,0.0681937399346737,194.04859111119183,0.00037085968433658856,52.32942634797967,4360,44,True,"{""r2_overall"": 0.06727622352071949, ""r2_between"": 0.05777732332463359}",N-DE,D+E,ME,raw,SPY,330.97221567777837
panel_entity_fe,0.06819550780713701,191.50905873849774,0.00028642934664246944,52.572301219729454,4360,44,True,"{""r2_overall"": 0.06727449034945099, ""r2_between"": 0.05759864321920616}",N-DE,D+E,ME,raw,SPY,330.9823868587758
panel_entity_time_fe,-109.32281808031783,2.1201666074543133,0.8516510038716953,26549.45501195327,4360,44,False,"{""r2_overall"": -106.75290203323209, ""r2_between"": -17.768281580474977}",N-DE,D+E,ME,raw,SPY,-1093573.744588904
panel_entity_fe_excess,0.07607467577905236,-13.30970482792344,0.7824745842403404,39.40357275286358,4360,44,False,"{""r2_overall"": 0.07523675600856605, ""r2_between"": 0.0664629127774713}",N-DE,D+E,ME,raw,SPY,337.53114824116693
panel_entity_fe_controls,0.06888782482097944,193.98557415857226,0.0001712512121865295,45.542715331883,4360,44,True,"{""r2_overall"": 0.06647209683378175, ""r2_between"": 0.06253982306882144}",N-DE,D+E,ME,raw,SPY,328.35096348997615
asymmetry,0.40014929905512353,48.4388715493958,,,4009,44,False,"{""beta_pos_median"": 48.4388715493958, ""beta_neg_median"": 63.99314934895993, ""asymmetry_ratio_median"": 0.6651137162579749, ""wald_p_median"": 0.06543528604388296}",N-DE,D+E,ME,raw,SPY,680.5470410564801
relative_performance,0.3553934419809688,,,,4009,44,False,"{""r2_absolute_median"": 0.18226400491419226, ""r2_excess_median"": 0.25450406571393897, ""r2_combined_median"": 0.3553934419809688}",N-DE,D+E,ME,raw,SPY,0.0
granger,,,0.28525904670772706,1.1595389660768518,0,41,False,"{""pct_significant_lag1"": 0.17073170731707318}",N-DE,D+E,ME,raw,SPY,
seasonality,,,,,4492,44,False,"{""jan_mean"": 38.08867015706806, ""best_month"": 1, ""worst_month"": 8}",N-DE,D+E,ME,raw,SPY,
drawdown,0.019611954152245814,-0.8469637160412001,0.2587179778887826,,729,42,False,"{""1m"": {""beta_depth"": -0.8469637160412001, ""beta_depth_p"": 0.2587179778887826, ""r2"": 0.019611954152245814}, ""2m"": {""beta_depth"": -1.292655384868348, ""beta_depth_p"": 0.12059698729061025, ""r2"": 0.017557683177877093}, ""3m"": {""beta_depth"": -2.0577090248200682, ""beta_depth_p"": 0.1772912080497078, ""r2"": 0.010327127448528817}, ""6m"": {""beta_depth"": 1.142923952206538, ""beta_depth_p"": 0.7202666986727942, ""r2"": 0.00686137491608807}}",N-DE,D+E,ME,raw,SPY,0.0
