ETF,R²,Adj_R²,F_p_value,N,Return_lag1,Return_lag1_pval
AIQ,0.9987636267687278,0.9985454432573267,6.58622082247551e-25,21,-27.683643523370066,0.3602406352466654
ARKB,0.9999998777601014,0.9999997555202027,7.255516118730488e-11,7,0.08673776656572052,0.85219048297999
ARKF,0.999411804389234,0.9992941652670808,1.9146179406020648e-24,19,7.866919018494457,0.5463352109776427
ARKG,0.9858948686974224,0.9844843555671646,7.742639228090906e-28,34,-24.058791377473618,0.4681322503508991
ARKK,0.9666549650681358,0.9633204615749493,3.0881152834967417e-22,34,-93.33238916981418,0.08537641191936891
ARKQ,0.9999018016187001,0.9998428825899202,1.9465953966689165e-10,9,-2.5743563486169236,0.8625637414275804
ARKW,0.9999059179090002,0.9998494686544003,1.7489722186693626e-10,9,6.257192097433972,0.5383138710502615
ARKX,0.9996297986874813,0.999506398249975,9.347264891935478e-16,13,-0.28866392082816883,0.9899573809097997
ARTY,0.9984049507037249,0.9981391091543458,2.353334557730452e-25,22,0.7950767026791112,0.9759319519437584
BKGI,0.9999402589332022,0.9999044142931235,5.619572373597389e-11,9,44.60636493936943,0.09416086675509075
BLOK,0.9985723019123883,0.9983343522311197,8.679142812964538e-26,22,-9.966531990439151,0.43443598050595056
BOTZ,0.8881675550783426,0.8735807144363872,4.280726590521983e-11,27,35.9220484713704,0.8805228694777198
BUG,0.9979991763699189,0.9974989704623985,1.8799032292178964e-16,16,-72.87240363787964,0.17764588181809823
CGW,0.9714962262186189,0.9689049740566751,1.4819910035564648e-25,37,15.329989012015915,0.8935321537670815
DSI,0.9709019311213569,0.9682566521323894,2.082525230557764e-25,37,13.673168402896238,0.9172165159491118
DTCR,0.9983550408474908,0.9978615531017381,3.258149343616335e-14,14,65.12687527555715,0.38966358080937324
FPX,0.97236019966139,0.9698474905396982,8.922039989842855e-26,37,-16.547395796297323,0.8406959349023057
GII,0.9697887436288122,0.967042265776886,3.8670697102330576e-25,37,-34.374181311510426,0.818512762347714
GNR,0.9730567248467819,0.9706073361964893,5.857550520842053e-26,37,-73.73752109377048,0.4324441326686652
GRID,0.9683141419332462,0.9654336093817231,8.48332928670372e-25,37,-34.23403910856969,0.6988619085984134
GUNR,0.9738143507128366,0.9714338371412763,3.660066708871491e-26,37,-142.79600224889748,0.15265699191212825
IFRA,0.9976064964237445,0.9972075791610353,9.07542734809678e-24,22,-102.05426635749708,0.04959129327450333
IGE,0.9724672240031318,0.9699642443670529,8.369235956508896e-26,37,-158.7859633743631,0.04577410548366743
IGF,0.9705490060313272,0.9678716429432661,2.5404256061408814e-25,37,-47.02606756471329,0.7465245497809373
IZRL,0.9973146825435454,0.9968671296341363,2.5554295497068033e-23,22,-110.96681615182024,0.015592888662892074
JUST,0.9984286270501121,0.9981667315584641,2.057002278679299e-25,22,-85.0076694036448,0.0791205985409677
KOMP,0.9862609085667325,0.9836848289229949,4.212532858711854e-15,20,-61.4767375763484,0.48768157640097565
LIT,0.9550449572187492,0.9509581351477263,2.705896048013229e-22,37,-31.58706779044237,0.5963220340794504
MOO,0.9684627129729075,0.9655956868795355,7.850889047965705e-25,37,51.3319204823975,0.6837494960243489
MSOS,0.9932422397030592,0.99139921416753,3.2601540960522542e-12,15,24.29075745530315,0.5336736720350185
NFRA,0.9719139810452716,0.9693607065948417,1.1618030422562364e-25,37,74.84999699487219,0.6325132923006137
PAVE,0.985449716735157,0.9833711048401794,1.9289939209667631e-19,25,-17.559959751791947,0.83375765036235
PBW,0.9710514941104513,0.968419811756856,1.9129099426420046e-25,37,-24.247980701018914,0.519262245914109
PHO,0.9700180101593197,0.9672923747192578,3.4106944070531276e-25,37,58.1399972479598,0.5738886562568937
PRNT,0.9999037799191071,0.9998460478705713,1.8500329809034393e-10,9,11.62862225435083,0.6563662007189988
PWRD,0.9999044985416613,0.9998471976666581,1.815684125772634e-10,9,2.998859131081403,0.8828747827734349
ROBO,0.9689715658022309,0.9661507990569791,6.004300628495134e-25,37,-37.9560524600855,0.642736480488202
ROBT,0.9981137246772968,0.9977993454568462,1.0644013753216757e-24,22,-15.481793741461587,0.6095110021380687
SAMT,0.9999052775378173,0.9998484440605078,1.7788849256015324e-10,9,-2.1032864584406354,0.9536957717154414
SIXG,0.9926810214364183,0.991217225723702,3.1099483090753164e-16,19,67.45049190827672,0.4718918755662578
SUSA,0.9725213111169047,0.9700232484911687,8.102261819252319e-26,37,17.08744062393947,0.8955011153412871
XT,0.9946977777034721,0.9941492719486589,4.4430313932802635e-33,33,30.08554147214585,0.5570840589138529
