Variable,Coefficient,Std_Error,t_stat,p_value,r2_within,r2_between,r2_overall,f_statistic,f_pvalue,n_obs,n_entities
Return_lag1,-1.5209448381330404,1.1265715814330524,-1.3500649787369272,0.17713326560635534,,,,,,,
Return_lag2,3.2598448652506606,0.7987427003310886,4.0812202276144935,4.638981387494745e-05,,,,,,,
Return_lag3,-2.0955931315561673,1.299351567429109,-1.612799171591795,0.10693079316650955,,,,,,,
CumRet_5,-0.05397503716845732,0.6084650984989336,-0.08870687456291615,0.9293228991017217,,,,,,,
CumRet_20,1.7496023480896887,0.39571399789757067,4.421380990779527,1.0281795033595387e-05,,,,,,,
CumRet_60,-2.361980099158137,0.8599929864599742,-2.746510885956008,0.006072075561468049,,,,,,,
VIX_Close,-0.14830383640724396,0.027041137385875956,-5.484378644690647,4.6224499561375865e-08,,,,,,,
month_end,3.126954693241709,0.8631036758281219,3.6229189850703514,0.0002978610799044823,,,,,,,
quarter_end,0.5600706953481865,0.07108220945137789,7.879196491933607,5.10702591327572e-15,,,,,,,
january,0.0041277171133952215,0.23968683702428265,0.017221292435750418,0.986261628903919,,,,,,,
Peer_Agg_Flow,-30.836891002249434,0.9197840908098139,-33.52622785103777,0.0,,,,,,,
_SUMMARY_,,,,,0.9357612453488534,0.952254439892197,0.936196825451551,3222.2042378505503,1.1102230246251565e-16,2263.0,41.0
